Instance,Configuration,Value,Time_Seconds
instance-11.txt,STANDARD+ALPHA,14525.00,600
instance-13.txt,STANDARD+ALPHA,97989.00,600
instance-14.txt,STANDARD+ALPHA,96544.97,602
