(Iter. 0 | Time: 15.826) BestSol = Solution: cost=[12316.0], size=[244]
(Iter. 1 | Time: 31.318) BestSol = Solution: cost=[12424.0], size=[244]
(Iter. 2 | Time: 46.701) BestSol = Solution: cost=[12535.0], size=[244]
(Iter. 3 | Time: 62.086) BestSol = Solution: cost=[12623.0], size=[244]
(Iter. 4 | Time: 77.257) BestSol = Solution: cost=[12697.0], size=[244]
(Iter. 5 | Time: 92.486) BestSol = Solution: cost=[12762.0], size=[244]
(Iter. 6 | Time: 107.886) BestSol = Solution: cost=[12804.0], size=[243]
(Iter. 7 | Time: 123.471) BestSol = Solution: cost=[12833.0], size=[243]
(Iter. 8 | Time: 138.836) BestSol = Solution: cost=[12860.0], size=[243]
(Iter. 9 | Time: 153.762) BestSol = Solution: cost=[12890.0], size=[243]
(Iter. 10 | Time: 168.778) BestSol = Solution: cost=[12914.0], size=[243]
(Iter. 11 | Time: 183.899) BestSol = Solution: cost=[12939.0], size=[243]
(Iter. 12 | Time: 199.443) BestSol = Solution: cost=[12960.0], size=[243]
(Iter. 13 | Time: 214.556) BestSol = Solution: cost=[12993.0], size=[243]
(Iter. 14 | Time: 229.728) BestSol = Solution: cost=[13029.0], size=[243]
(Iter. 15 | Time: 244.845) BestSol = Solution: cost=[13065.0], size=[243]
(Iter. 16 | Time: 259.955) BestSol = Solution: cost=[13103.0], size=[243]
(Iter. 17 | Time: 275.105) BestSol = Solution: cost=[13138.0], size=[243]
(Iter. 18 | Time: 290.064) BestSol = Solution: cost=[13182.0], size=[243]
(Iter. 19 | Time: 305.272) BestSol = Solution: cost=[13223.0], size=[243]
(Iter. 20 | Time: 320.241) BestSol = Solution: cost=[13269.0], size=[243]
(Iter. 21 | Time: 335.143) BestSol = Solution: cost=[13310.0], size=[243]
(Iter. 22 | Time: 349.873) BestSol = Solution: cost=[13337.0], size=[243]
(Iter. 23 | Time: 364.71) BestSol = Solution: cost=[13367.0], size=[243]
(Iter. 24 | Time: 379.673) BestSol = Solution: cost=[13395.0], size=[243]
(Iter. 25 | Time: 394.711) BestSol = Solution: cost=[13409.0], size=[243]
(Iter. 26 | Time: 409.733) BestSol = Solution: cost=[13428.0], size=[243]
(Iter. 27 | Time: 424.531) BestSol = Solution: cost=[13445.0], size=[243]
(Iter. 28 | Time: 439.337) BestSol = Solution: cost=[13474.0], size=[243]
(Iter. 29 | Time: 454.613) BestSol = Solution: cost=[13479.0], size=[242]
(Iter. 30 | Time: 469.407) BestSol = Solution: cost=[13484.0], size=[242]
(Iter. 31 | Time: 484.413) BestSol = Solution: cost=[13493.0], size=[243]
(Iter. 32 | Time: 499.235) BestSol = Solution: cost=[13498.0], size=[244]
(Iter. 34 | Time: 529.047) BestSol = Solution: cost=[13505.0], size=[245]
(Iter. 35 | Time: 543.94) BestSol = Solution: cost=[13507.0], size=[246]
(Iter. 36 | Time: 558.778) BestSol = Solution: cost=[13509.0], size=[247]
(Iter. 37 | Time: 573.78) BestSol = Solution: cost=[13510.0], size=[247]
(Iter. 38 | Time: 588.799) BestSol = Solution: cost=[13519.0], size=[247]
(Iter. 39 | Time: 603.87) BestSol = Solution: cost=[13533.0], size=[247]
>>> Tempo limite atingido (600s)
Best solution = Solution: cost=[13533.0], size=[247]
Time = 612.725 seg
