(Iter. 0 | Time: 15.657) BestSol = Solution: cost=[12316.0], size=[244]
(Iter. 1 | Time: 32.479) BestSol = Solution: cost=[12424.0], size=[244]
(Iter. 2 | Time: 49.404) BestSol = Solution: cost=[12535.0], size=[244]
(Iter. 3 | Time: 65.721) BestSol = Solution: cost=[12623.0], size=[244]
(Iter. 4 | Time: 81.861) BestSol = Solution: cost=[12697.0], size=[244]
(Iter. 5 | Time: 97.749) BestSol = Solution: cost=[12762.0], size=[244]
(Iter. 6 | Time: 113.67) BestSol = Solution: cost=[12804.0], size=[243]
(Iter. 7 | Time: 129.661) BestSol = Solution: cost=[12833.0], size=[243]
(Iter. 8 | Time: 145.42) BestSol = Solution: cost=[12860.0], size=[243]
(Iter. 9 | Time: 161.404) BestSol = Solution: cost=[12890.0], size=[243]
(Iter. 10 | Time: 177.838) BestSol = Solution: cost=[12914.0], size=[243]
(Iter. 11 | Time: 194.232) BestSol = Solution: cost=[12939.0], size=[243]
(Iter. 12 | Time: 210.594) BestSol = Solution: cost=[12960.0], size=[243]
(Iter. 13 | Time: 226.971) BestSol = Solution: cost=[12993.0], size=[243]
(Iter. 14 | Time: 243.69) BestSol = Solution: cost=[13029.0], size=[243]
(Iter. 15 | Time: 259.806) BestSol = Solution: cost=[13065.0], size=[243]
(Iter. 16 | Time: 275.471) BestSol = Solution: cost=[13103.0], size=[243]
(Iter. 17 | Time: 290.963) BestSol = Solution: cost=[13138.0], size=[243]
(Iter. 18 | Time: 306.803) BestSol = Solution: cost=[13182.0], size=[243]
(Iter. 19 | Time: 322.736) BestSol = Solution: cost=[13223.0], size=[243]
(Iter. 20 | Time: 338.614) BestSol = Solution: cost=[13269.0], size=[243]
(Iter. 21 | Time: 354.019) BestSol = Solution: cost=[13310.0], size=[243]
(Iter. 22 | Time: 369.372) BestSol = Solution: cost=[13337.0], size=[243]
(Iter. 23 | Time: 384.702) BestSol = Solution: cost=[13367.0], size=[243]
(Iter. 24 | Time: 400.159) BestSol = Solution: cost=[13395.0], size=[243]
(Iter. 25 | Time: 415.958) BestSol = Solution: cost=[13409.0], size=[243]
(Iter. 26 | Time: 432.215) BestSol = Solution: cost=[13428.0], size=[243]
(Iter. 27 | Time: 447.904) BestSol = Solution: cost=[13445.0], size=[243]
(Iter. 28 | Time: 463.62) BestSol = Solution: cost=[13474.0], size=[243]
(Iter. 29 | Time: 479.258) BestSol = Solution: cost=[13479.0], size=[242]
(Iter. 30 | Time: 494.888) BestSol = Solution: cost=[13484.0], size=[242]
(Iter. 31 | Time: 510.542) BestSol = Solution: cost=[13493.0], size=[243]
(Iter. 32 | Time: 526.221) BestSol = Solution: cost=[13498.0], size=[244]
(Iter. 34 | Time: 557.988) BestSol = Solution: cost=[13505.0], size=[245]
(Iter. 35 | Time: 573.837) BestSol = Solution: cost=[13507.0], size=[246]
(Iter. 36 | Time: 589.658) BestSol = Solution: cost=[13509.0], size=[247]
(Iter. 37 | Time: 605.852) BestSol = Solution: cost=[13510.0], size=[247]
>>> Tempo limite atingido (600s)
Best solution = Solution: cost=[13510.0], size=[247]
Time = 611.117 seg
