(Iter. 0 | Time: 8.949) BestSol = Solution: cost=[14337.0], size=[248]
(Iter. 1 | Time: 17.603) BestSol = Solution: cost=[14410.0], size=[248]
(Iter. 2 | Time: 26.148) BestSol = Solution: cost=[14472.0], size=[248]
(Iter. 3 | Time: 34.826) BestSol = Solution: cost=[14514.0], size=[248]
(Iter. 4 | Time: 43.134) BestSol = Solution: cost=[14534.0], size=[248]
(Iter. 5 | Time: 51.306) BestSol = Solution: cost=[14567.0], size=[248]
(Iter. 6 | Time: 59.176) BestSol = Solution: cost=[14585.0], size=[248]
(Iter. 7 | Time: 67.048) BestSol = Solution: cost=[14611.0], size=[248]
(Iter. 8 | Time: 75.282) BestSol = Solution: cost=[14623.0], size=[247]
(Iter. 9 | Time: 83.651) BestSol = Solution: cost=[14637.0], size=[247]
(Iter. 10 | Time: 91.972) BestSol = Solution: cost=[14644.0], size=[247]
(Iter. 11 | Time: 100.298) BestSol = Solution: cost=[14650.0], size=[248]
(Iter. 12 | Time: 108.754) BestSol = Solution: cost=[14661.0], size=[248]
(Iter. 13 | Time: 117.23) BestSol = Solution: cost=[14679.0], size=[248]
(Iter. 14 | Time: 125.726) BestSol = Solution: cost=[14683.0], size=[248]
(Iter. 15 | Time: 134.173) BestSol = Solution: cost=[14692.0], size=[248]
(Iter. 16 | Time: 142.621) BestSol = Solution: cost=[14703.0], size=[248]
(Iter. 17 | Time: 150.796) BestSol = Solution: cost=[14713.0], size=[247]
(Iter. 18 | Time: 159.152) BestSol = Solution: cost=[14720.0], size=[247]
(Iter. 19 | Time: 167.444) BestSol = Solution: cost=[14726.0], size=[246]
(Iter. 20 | Time: 175.748) BestSol = Solution: cost=[14739.0], size=[245]
(Iter. 21 | Time: 183.863) BestSol = Solution: cost=[14743.0], size=[244]
(Iter. 22 | Time: 191.85) BestSol = Solution: cost=[14752.0], size=[243]
(Iter. 23 | Time: 199.82) BestSol = Solution: cost=[14753.0], size=[242]
(Iter. 24 | Time: 207.865) BestSol = Solution: cost=[14765.0], size=[242]
(Iter. 25 | Time: 215.88) BestSol = Solution: cost=[14780.0], size=[242]
(Iter. 26 | Time: 223.655) BestSol = Solution: cost=[14790.0], size=[242]
(Iter. 27 | Time: 231.463) BestSol = Solution: cost=[14793.0], size=[243]
(Iter. 28 | Time: 239.271) BestSol = Solution: cost=[14800.0], size=[243]
(Iter. 29 | Time: 247.499) BestSol = Solution: cost=[14811.0], size=[243]
(Iter. 30 | Time: 255.329) BestSol = Solution: cost=[14827.0], size=[242]
(Iter. 32 | Time: 271.166) BestSol = Solution: cost=[14833.0], size=[242]
(Iter. 34 | Time: 286.915) BestSol = Solution: cost=[14835.0], size=[240]
(Iter. 64 | Time: 523.342) BestSol = Solution: cost=[14853.0], size=[244]
(Iter. 65 | Time: 531.257) BestSol = Solution: cost=[14866.0], size=[244]
(Iter. 66 | Time: 539.595) BestSol = Solution: cost=[14869.0], size=[243]
(Iter. 69 | Time: 564.146) BestSol = Solution: cost=[14872.0], size=[244]
(Iter. 70 | Time: 572.097) BestSol = Solution: cost=[14885.0], size=[244]
(Iter. 72 | Time: 587.879) BestSol = Solution: cost=[14893.0], size=[246]
(Iter. 73 | Time: 595.987) BestSol = Solution: cost=[14904.0], size=[246]
(Iter. 74 | Time: 604.672) BestSol = Solution: cost=[14922.0], size=[246]
>>> Tempo limite atingido (600s)
Best solution = Solution: cost=[14922.0], size=[246]
Time = 611.925 seg
