(Iter. 0 | Time: 15.708) BestSol = Solution: cost=[12316.0], size=[244]
(Iter. 1 | Time: 31.716) BestSol = Solution: cost=[12424.0], size=[244]
(Iter. 2 | Time: 47.556) BestSol = Solution: cost=[12535.0], size=[244]
(Iter. 3 | Time: 63.348) BestSol = Solution: cost=[12623.0], size=[244]
(Iter. 4 | Time: 79.021) BestSol = Solution: cost=[12697.0], size=[244]
(Iter. 5 | Time: 94.666) BestSol = Solution: cost=[12762.0], size=[244]
(Iter. 6 | Time: 110.225) BestSol = Solution: cost=[12804.0], size=[243]
(Iter. 7 | Time: 125.863) BestSol = Solution: cost=[12833.0], size=[243]
(Iter. 8 | Time: 141.559) BestSol = Solution: cost=[12860.0], size=[243]
(Iter. 9 | Time: 157.406) BestSol = Solution: cost=[12890.0], size=[243]
(Iter. 10 | Time: 173.336) BestSol = Solution: cost=[12914.0], size=[243]
(Iter. 11 | Time: 188.945) BestSol = Solution: cost=[12939.0], size=[243]
(Iter. 12 | Time: 204.529) BestSol = Solution: cost=[12960.0], size=[243]
(Iter. 13 | Time: 219.971) BestSol = Solution: cost=[12993.0], size=[243]
(Iter. 14 | Time: 235.259) BestSol = Solution: cost=[13029.0], size=[243]
(Iter. 15 | Time: 250.583) BestSol = Solution: cost=[13065.0], size=[243]
(Iter. 16 | Time: 266.178) BestSol = Solution: cost=[13103.0], size=[243]
(Iter. 17 | Time: 281.761) BestSol = Solution: cost=[13138.0], size=[243]
(Iter. 18 | Time: 297.545) BestSol = Solution: cost=[13182.0], size=[243]
(Iter. 19 | Time: 312.627) BestSol = Solution: cost=[13223.0], size=[243]
(Iter. 20 | Time: 328.129) BestSol = Solution: cost=[13269.0], size=[243]
(Iter. 21 | Time: 343.657) BestSol = Solution: cost=[13310.0], size=[243]
(Iter. 22 | Time: 359.13) BestSol = Solution: cost=[13337.0], size=[243]
(Iter. 23 | Time: 374.317) BestSol = Solution: cost=[13367.0], size=[243]
(Iter. 24 | Time: 389.535) BestSol = Solution: cost=[13395.0], size=[243]
(Iter. 25 | Time: 404.604) BestSol = Solution: cost=[13409.0], size=[243]
(Iter. 26 | Time: 419.81) BestSol = Solution: cost=[13428.0], size=[243]
(Iter. 27 | Time: 434.855) BestSol = Solution: cost=[13445.0], size=[243]
(Iter. 28 | Time: 450.121) BestSol = Solution: cost=[13474.0], size=[243]
(Iter. 29 | Time: 464.971) BestSol = Solution: cost=[13479.0], size=[242]
(Iter. 30 | Time: 480.157) BestSol = Solution: cost=[13484.0], size=[242]
(Iter. 31 | Time: 495.075) BestSol = Solution: cost=[13493.0], size=[243]
(Iter. 32 | Time: 510.661) BestSol = Solution: cost=[13498.0], size=[244]
(Iter. 34 | Time: 540.886) BestSol = Solution: cost=[13505.0], size=[245]
(Iter. 35 | Time: 556.266) BestSol = Solution: cost=[13507.0], size=[246]
(Iter. 36 | Time: 571.578) BestSol = Solution: cost=[13509.0], size=[247]
(Iter. 37 | Time: 586.604) BestSol = Solution: cost=[13510.0], size=[247]
(Iter. 38 | Time: 601.639) BestSol = Solution: cost=[13519.0], size=[247]
>>> Tempo limite atingido (600s)
Best solution = Solution: cost=[13519.0], size=[247]
Time = 610.253 seg
