(Iter. 0 | Time: 7.97) BestSol = Solution: cost=[14337.0], size=[248]
(Iter. 1 | Time: 16.161) BestSol = Solution: cost=[14410.0], size=[248]
(Iter. 2 | Time: 24.025) BestSol = Solution: cost=[14472.0], size=[248]
(Iter. 3 | Time: 30.059) BestSol = Solution: cost=[14514.0], size=[248]
(Iter. 4 | Time: 35.945) BestSol = Solution: cost=[14534.0], size=[248]
(Iter. 5 | Time: 41.816) BestSol = Solution: cost=[14567.0], size=[248]
(Iter. 6 | Time: 47.829) BestSol = Solution: cost=[14585.0], size=[248]
(Iter. 7 | Time: 53.857) BestSol = Solution: cost=[14611.0], size=[248]
(Iter. 8 | Time: 59.99) BestSol = Solution: cost=[14623.0], size=[247]
(Iter. 9 | Time: 65.944) BestSol = Solution: cost=[14637.0], size=[247]
(Iter. 10 | Time: 71.775) BestSol = Solution: cost=[14644.0], size=[247]
(Iter. 11 | Time: 77.611) BestSol = Solution: cost=[14650.0], size=[248]
(Iter. 12 | Time: 85.028) BestSol = Solution: cost=[14661.0], size=[248]
(Iter. 13 | Time: 92.842) BestSol = Solution: cost=[14679.0], size=[248]
(Iter. 14 | Time: 100.642) BestSol = Solution: cost=[14683.0], size=[248]
(Iter. 15 | Time: 108.55) BestSol = Solution: cost=[14692.0], size=[248]
(Iter. 16 | Time: 116.648) BestSol = Solution: cost=[14703.0], size=[248]
(Iter. 17 | Time: 124.448) BestSol = Solution: cost=[14713.0], size=[247]
(Iter. 18 | Time: 132.247) BestSol = Solution: cost=[14720.0], size=[247]
(Iter. 19 | Time: 140.14) BestSol = Solution: cost=[14726.0], size=[246]
(Iter. 20 | Time: 147.957) BestSol = Solution: cost=[14739.0], size=[245]
(Iter. 21 | Time: 155.623) BestSol = Solution: cost=[14743.0], size=[244]
(Iter. 22 | Time: 162.279) BestSol = Solution: cost=[14752.0], size=[243]
(Iter. 23 | Time: 168.147) BestSol = Solution: cost=[14753.0], size=[242]
(Iter. 24 | Time: 174.237) BestSol = Solution: cost=[14765.0], size=[242]
(Iter. 25 | Time: 182.129) BestSol = Solution: cost=[14780.0], size=[242]
(Iter. 26 | Time: 189.876) BestSol = Solution: cost=[14790.0], size=[242]
(Iter. 27 | Time: 197.635) BestSol = Solution: cost=[14793.0], size=[243]
(Iter. 28 | Time: 205.395) BestSol = Solution: cost=[14800.0], size=[243]
(Iter. 29 | Time: 213.276) BestSol = Solution: cost=[14811.0], size=[243]
(Iter. 30 | Time: 221.161) BestSol = Solution: cost=[14827.0], size=[242]
(Iter. 32 | Time: 234.695) BestSol = Solution: cost=[14833.0], size=[242]
(Iter. 34 | Time: 246.297) BestSol = Solution: cost=[14835.0], size=[240]
(Iter. 64 | Time: 464.603) BestSol = Solution: cost=[14853.0], size=[244]
(Iter. 65 | Time: 471.001) BestSol = Solution: cost=[14866.0], size=[244]
(Iter. 66 | Time: 476.879) BestSol = Solution: cost=[14869.0], size=[243]
(Iter. 69 | Time: 498.366) BestSol = Solution: cost=[14872.0], size=[244]
(Iter. 70 | Time: 504.187) BestSol = Solution: cost=[14885.0], size=[244]
(Iter. 72 | Time: 516.768) BestSol = Solution: cost=[14893.0], size=[246]
(Iter. 73 | Time: 524.622) BestSol = Solution: cost=[14904.0], size=[246]
(Iter. 74 | Time: 532.516) BestSol = Solution: cost=[14922.0], size=[246]
>>> Tempo limite atingido (600s)
Best solution = Solution: cost=[14922.0], size=[246]
Time = 607.701 seg
