(Iter. 0 | Time: 16.242) BestSol = Solution: cost=[12316.0], size=[244]
(Iter. 1 | Time: 32.552) BestSol = Solution: cost=[12424.0], size=[244]
(Iter. 2 | Time: 48.716) BestSol = Solution: cost=[12535.0], size=[244]
(Iter. 3 | Time: 64.922) BestSol = Solution: cost=[12623.0], size=[244]
(Iter. 4 | Time: 80.783) BestSol = Solution: cost=[12697.0], size=[244]
(Iter. 5 | Time: 96.719) BestSol = Solution: cost=[12762.0], size=[244]
(Iter. 6 | Time: 112.448) BestSol = Solution: cost=[12804.0], size=[243]
(Iter. 7 | Time: 128.464) BestSol = Solution: cost=[12833.0], size=[243]
(Iter. 8 | Time: 144.32) BestSol = Solution: cost=[12860.0], size=[243]
(Iter. 9 | Time: 160.339) BestSol = Solution: cost=[12890.0], size=[243]
(Iter. 10 | Time: 176.328) BestSol = Solution: cost=[12914.0], size=[243]
(Iter. 11 | Time: 192.211) BestSol = Solution: cost=[12939.0], size=[243]
(Iter. 12 | Time: 208.119) BestSol = Solution: cost=[12960.0], size=[243]
(Iter. 13 | Time: 224.114) BestSol = Solution: cost=[12993.0], size=[243]
(Iter. 14 | Time: 239.702) BestSol = Solution: cost=[13029.0], size=[243]
(Iter. 15 | Time: 255.719) BestSol = Solution: cost=[13065.0], size=[243]
(Iter. 16 | Time: 271.721) BestSol = Solution: cost=[13103.0], size=[243]
(Iter. 17 | Time: 287.313) BestSol = Solution: cost=[13138.0], size=[243]
(Iter. 18 | Time: 303.199) BestSol = Solution: cost=[13182.0], size=[243]
(Iter. 19 | Time: 318.75) BestSol = Solution: cost=[13223.0], size=[243]
(Iter. 20 | Time: 334.146) BestSol = Solution: cost=[13269.0], size=[243]
(Iter. 21 | Time: 349.665) BestSol = Solution: cost=[13310.0], size=[243]
(Iter. 22 | Time: 365.307) BestSol = Solution: cost=[13337.0], size=[243]
(Iter. 23 | Time: 380.643) BestSol = Solution: cost=[13367.0], size=[243]
(Iter. 24 | Time: 396.047) BestSol = Solution: cost=[13395.0], size=[243]
(Iter. 25 | Time: 411.68) BestSol = Solution: cost=[13409.0], size=[243]
(Iter. 26 | Time: 427.246) BestSol = Solution: cost=[13428.0], size=[243]
(Iter. 27 | Time: 442.709) BestSol = Solution: cost=[13445.0], size=[243]
(Iter. 28 | Time: 458.246) BestSol = Solution: cost=[13474.0], size=[243]
(Iter. 29 | Time: 473.944) BestSol = Solution: cost=[13479.0], size=[242]
(Iter. 30 | Time: 489.732) BestSol = Solution: cost=[13484.0], size=[242]
(Iter. 31 | Time: 505.469) BestSol = Solution: cost=[13493.0], size=[243]
(Iter. 32 | Time: 521.139) BestSol = Solution: cost=[13498.0], size=[244]
(Iter. 34 | Time: 552.58) BestSol = Solution: cost=[13505.0], size=[245]
(Iter. 35 | Time: 568.443) BestSol = Solution: cost=[13507.0], size=[246]
(Iter. 36 | Time: 584.142) BestSol = Solution: cost=[13509.0], size=[247]
(Iter. 37 | Time: 599.814) BestSol = Solution: cost=[13510.0], size=[247]
(Iter. 38 | Time: 616.458) BestSol = Solution: cost=[13519.0], size=[247]
>>> Tempo limite atingido (600s)
Best solution = Solution: cost=[13519.0], size=[247]
Time = 623.984 seg
