(Iter. 0 | Time: 15.537) BestSol = Solution: cost=[12316.0], size=[244]
(Iter. 1 | Time: 30.844) BestSol = Solution: cost=[12424.0], size=[244]
(Iter. 2 | Time: 46.024) BestSol = Solution: cost=[12535.0], size=[244]
(Iter. 3 | Time: 62.455) BestSol = Solution: cost=[12623.0], size=[244]
(Iter. 4 | Time: 78.095) BestSol = Solution: cost=[12697.0], size=[244]
(Iter. 5 | Time: 93.466) BestSol = Solution: cost=[12762.0], size=[244]
(Iter. 6 | Time: 108.586) BestSol = Solution: cost=[12804.0], size=[243]
(Iter. 7 | Time: 123.85) BestSol = Solution: cost=[12833.0], size=[243]
(Iter. 8 | Time: 139.299) BestSol = Solution: cost=[12860.0], size=[243]
(Iter. 9 | Time: 154.869) BestSol = Solution: cost=[12890.0], size=[243]
(Iter. 10 | Time: 170.289) BestSol = Solution: cost=[12914.0], size=[243]
(Iter. 11 | Time: 185.561) BestSol = Solution: cost=[12939.0], size=[243]
(Iter. 12 | Time: 200.675) BestSol = Solution: cost=[12960.0], size=[243]
(Iter. 13 | Time: 215.738) BestSol = Solution: cost=[12993.0], size=[243]
(Iter. 14 | Time: 230.771) BestSol = Solution: cost=[13029.0], size=[243]
(Iter. 15 | Time: 246.111) BestSol = Solution: cost=[13065.0], size=[243]
(Iter. 16 | Time: 261.441) BestSol = Solution: cost=[13103.0], size=[243]
(Iter. 17 | Time: 276.52) BestSol = Solution: cost=[13138.0], size=[243]
(Iter. 18 | Time: 291.848) BestSol = Solution: cost=[13182.0], size=[243]
(Iter. 19 | Time: 307.094) BestSol = Solution: cost=[13223.0], size=[243]
(Iter. 20 | Time: 322.533) BestSol = Solution: cost=[13269.0], size=[243]
(Iter. 21 | Time: 338.068) BestSol = Solution: cost=[13310.0], size=[243]
(Iter. 22 | Time: 353.236) BestSol = Solution: cost=[13337.0], size=[243]
(Iter. 23 | Time: 368.534) BestSol = Solution: cost=[13367.0], size=[243]
(Iter. 24 | Time: 383.676) BestSol = Solution: cost=[13395.0], size=[243]
(Iter. 25 | Time: 398.698) BestSol = Solution: cost=[13409.0], size=[243]
(Iter. 26 | Time: 414.366) BestSol = Solution: cost=[13428.0], size=[243]
(Iter. 27 | Time: 429.707) BestSol = Solution: cost=[13445.0], size=[243]
(Iter. 28 | Time: 444.903) BestSol = Solution: cost=[13474.0], size=[243]
(Iter. 29 | Time: 460.106) BestSol = Solution: cost=[13479.0], size=[242]
(Iter. 30 | Time: 474.98) BestSol = Solution: cost=[13484.0], size=[242]
(Iter. 31 | Time: 490.196) BestSol = Solution: cost=[13493.0], size=[243]
(Iter. 32 | Time: 505.492) BestSol = Solution: cost=[13498.0], size=[244]
(Iter. 34 | Time: 535.929) BestSol = Solution: cost=[13505.0], size=[245]
(Iter. 35 | Time: 550.906) BestSol = Solution: cost=[13507.0], size=[246]
(Iter. 36 | Time: 566.156) BestSol = Solution: cost=[13509.0], size=[247]
(Iter. 37 | Time: 581.894) BestSol = Solution: cost=[13510.0], size=[247]
(Iter. 38 | Time: 597.194) BestSol = Solution: cost=[13519.0], size=[247]
(Iter. 39 | Time: 612.645) BestSol = Solution: cost=[13533.0], size=[247]
>>> Tempo limite atingido (600s)
Best solution = Solution: cost=[13533.0], size=[247]
Time = 617.695 seg
