(Iter. 0 | Time: 8.761) BestSol = Solution: cost=[14337.0], size=[248]
(Iter. 1 | Time: 16.288) BestSol = Solution: cost=[14410.0], size=[248]
(Iter. 2 | Time: 23.503) BestSol = Solution: cost=[14472.0], size=[248]
(Iter. 3 | Time: 29.691) BestSol = Solution: cost=[14514.0], size=[248]
(Iter. 4 | Time: 35.79) BestSol = Solution: cost=[14534.0], size=[248]
(Iter. 5 | Time: 41.92) BestSol = Solution: cost=[14567.0], size=[248]
(Iter. 6 | Time: 48.156) BestSol = Solution: cost=[14585.0], size=[248]
(Iter. 7 | Time: 54.167) BestSol = Solution: cost=[14611.0], size=[248]
(Iter. 8 | Time: 60.129) BestSol = Solution: cost=[14623.0], size=[247]
(Iter. 9 | Time: 66.416) BestSol = Solution: cost=[14637.0], size=[247]
(Iter. 10 | Time: 72.661) BestSol = Solution: cost=[14644.0], size=[247]
(Iter. 11 | Time: 79.037) BestSol = Solution: cost=[14650.0], size=[248]
(Iter. 12 | Time: 85.025) BestSol = Solution: cost=[14661.0], size=[248]
(Iter. 13 | Time: 91.621) BestSol = Solution: cost=[14679.0], size=[248]
(Iter. 14 | Time: 99.426) BestSol = Solution: cost=[14683.0], size=[248]
(Iter. 15 | Time: 107.228) BestSol = Solution: cost=[14692.0], size=[248]
(Iter. 16 | Time: 115.03) BestSol = Solution: cost=[14703.0], size=[248]
(Iter. 17 | Time: 123.262) BestSol = Solution: cost=[14713.0], size=[247]
(Iter. 18 | Time: 131.159) BestSol = Solution: cost=[14720.0], size=[247]
(Iter. 19 | Time: 139.213) BestSol = Solution: cost=[14726.0], size=[246]
(Iter. 20 | Time: 147.167) BestSol = Solution: cost=[14739.0], size=[245]
(Iter. 21 | Time: 154.981) BestSol = Solution: cost=[14743.0], size=[244]
(Iter. 22 | Time: 163.046) BestSol = Solution: cost=[14752.0], size=[243]
(Iter. 23 | Time: 171.005) BestSol = Solution: cost=[14753.0], size=[242]
(Iter. 24 | Time: 178.862) BestSol = Solution: cost=[14765.0], size=[242]
(Iter. 25 | Time: 186.78) BestSol = Solution: cost=[14780.0], size=[242]
(Iter. 26 | Time: 194.836) BestSol = Solution: cost=[14790.0], size=[242]
(Iter. 27 | Time: 202.588) BestSol = Solution: cost=[14793.0], size=[243]
(Iter. 28 | Time: 210.441) BestSol = Solution: cost=[14800.0], size=[243]
(Iter. 29 | Time: 218.477) BestSol = Solution: cost=[14811.0], size=[243]
(Iter. 30 | Time: 226.423) BestSol = Solution: cost=[14827.0], size=[242]
(Iter. 32 | Time: 242.016) BestSol = Solution: cost=[14833.0], size=[242]
(Iter. 34 | Time: 257.979) BestSol = Solution: cost=[14835.0], size=[240]
(Iter. 64 | Time: 471.97) BestSol = Solution: cost=[14853.0], size=[244]
(Iter. 65 | Time: 479.591) BestSol = Solution: cost=[14866.0], size=[244]
(Iter. 66 | Time: 487.535) BestSol = Solution: cost=[14869.0], size=[243]
(Iter. 69 | Time: 510.009) BestSol = Solution: cost=[14872.0], size=[244]
(Iter. 70 | Time: 518.001) BestSol = Solution: cost=[14885.0], size=[244]
(Iter. 72 | Time: 532.559) BestSol = Solution: cost=[14893.0], size=[246]
(Iter. 73 | Time: 538.507) BestSol = Solution: cost=[14904.0], size=[246]
(Iter. 74 | Time: 544.789) BestSol = Solution: cost=[14922.0], size=[246]
>>> Tempo limite atingido (600s)
Best solution = Solution: cost=[14922.0], size=[246]
Time = 609.053 seg
