(Iter. 0 | Time: 8.696) BestSol = Solution: cost=[14337.0], size=[248]
(Iter. 1 | Time: 17.137) BestSol = Solution: cost=[14410.0], size=[248]
(Iter. 2 | Time: 25.398) BestSol = Solution: cost=[14472.0], size=[248]
(Iter. 3 | Time: 33.312) BestSol = Solution: cost=[14514.0], size=[248]
(Iter. 4 | Time: 40.939) BestSol = Solution: cost=[14534.0], size=[248]
(Iter. 5 | Time: 48.881) BestSol = Solution: cost=[14567.0], size=[248]
(Iter. 6 | Time: 56.897) BestSol = Solution: cost=[14585.0], size=[248]
(Iter. 7 | Time: 65.155) BestSol = Solution: cost=[14611.0], size=[248]
(Iter. 8 | Time: 73.178) BestSol = Solution: cost=[14623.0], size=[247]
(Iter. 9 | Time: 81.348) BestSol = Solution: cost=[14637.0], size=[247]
(Iter. 10 | Time: 89.53) BestSol = Solution: cost=[14644.0], size=[247]
(Iter. 11 | Time: 97.509) BestSol = Solution: cost=[14650.0], size=[248]
(Iter. 12 | Time: 105.572) BestSol = Solution: cost=[14661.0], size=[248]
(Iter. 13 | Time: 113.679) BestSol = Solution: cost=[14679.0], size=[248]
(Iter. 14 | Time: 121.688) BestSol = Solution: cost=[14683.0], size=[248]
(Iter. 15 | Time: 129.572) BestSol = Solution: cost=[14692.0], size=[248]
(Iter. 16 | Time: 137.613) BestSol = Solution: cost=[14703.0], size=[248]
(Iter. 17 | Time: 145.77) BestSol = Solution: cost=[14713.0], size=[247]
(Iter. 18 | Time: 153.792) BestSol = Solution: cost=[14720.0], size=[247]
(Iter. 19 | Time: 161.814) BestSol = Solution: cost=[14726.0], size=[246]
(Iter. 20 | Time: 169.837) BestSol = Solution: cost=[14739.0], size=[245]
(Iter. 21 | Time: 177.853) BestSol = Solution: cost=[14743.0], size=[244]
(Iter. 22 | Time: 185.862) BestSol = Solution: cost=[14752.0], size=[243]
(Iter. 23 | Time: 193.944) BestSol = Solution: cost=[14753.0], size=[242]
(Iter. 24 | Time: 202.282) BestSol = Solution: cost=[14765.0], size=[242]
(Iter. 25 | Time: 210.263) BestSol = Solution: cost=[14780.0], size=[242]
(Iter. 26 | Time: 218.254) BestSol = Solution: cost=[14790.0], size=[242]
(Iter. 27 | Time: 226.251) BestSol = Solution: cost=[14793.0], size=[243]
(Iter. 28 | Time: 234.24) BestSol = Solution: cost=[14800.0], size=[243]
(Iter. 29 | Time: 242.234) BestSol = Solution: cost=[14811.0], size=[243]
(Iter. 30 | Time: 250.526) BestSol = Solution: cost=[14827.0], size=[242]
(Iter. 32 | Time: 266.597) BestSol = Solution: cost=[14833.0], size=[242]
(Iter. 34 | Time: 282.552) BestSol = Solution: cost=[14835.0], size=[240]
(Iter. 64 | Time: 523.108) BestSol = Solution: cost=[14853.0], size=[244]
(Iter. 65 | Time: 531.015) BestSol = Solution: cost=[14866.0], size=[244]
(Iter. 66 | Time: 539.509) BestSol = Solution: cost=[14869.0], size=[243]
(Iter. 69 | Time: 564.534) BestSol = Solution: cost=[14872.0], size=[244]
(Iter. 70 | Time: 572.529) BestSol = Solution: cost=[14885.0], size=[244]
(Iter. 72 | Time: 589.09) BestSol = Solution: cost=[14893.0], size=[246]
(Iter. 73 | Time: 597.557) BestSol = Solution: cost=[14904.0], size=[246]
(Iter. 74 | Time: 606.224) BestSol = Solution: cost=[14922.0], size=[246]
>>> Tempo limite atingido (600s)
Best solution = Solution: cost=[14922.0], size=[246]
Time = 612.854 seg
