(Iter. 0 | Time: 8.145) BestSol = Solution: cost=[14337.0], size=[248]
(Iter. 1 | Time: 16.838) BestSol = Solution: cost=[14410.0], size=[248]
(Iter. 2 | Time: 25.153) BestSol = Solution: cost=[14472.0], size=[248]
(Iter. 3 | Time: 33.124) BestSol = Solution: cost=[14514.0], size=[248]
(Iter. 4 | Time: 41.454) BestSol = Solution: cost=[14534.0], size=[248]
(Iter. 5 | Time: 49.582) BestSol = Solution: cost=[14567.0], size=[248]
(Iter. 6 | Time: 57.988) BestSol = Solution: cost=[14585.0], size=[248]
(Iter. 7 | Time: 66.556) BestSol = Solution: cost=[14611.0], size=[248]
(Iter. 8 | Time: 74.157) BestSol = Solution: cost=[14623.0], size=[247]
(Iter. 9 | Time: 81.222) BestSol = Solution: cost=[14637.0], size=[247]
(Iter. 10 | Time: 88.353) BestSol = Solution: cost=[14644.0], size=[247]
(Iter. 11 | Time: 94.502) BestSol = Solution: cost=[14650.0], size=[248]
(Iter. 12 | Time: 102.412) BestSol = Solution: cost=[14661.0], size=[248]
(Iter. 13 | Time: 109.384) BestSol = Solution: cost=[14679.0], size=[248]
(Iter. 14 | Time: 115.645) BestSol = Solution: cost=[14683.0], size=[248]
(Iter. 15 | Time: 121.946) BestSol = Solution: cost=[14692.0], size=[248]
(Iter. 16 | Time: 128.31) BestSol = Solution: cost=[14703.0], size=[248]
(Iter. 17 | Time: 134.489) BestSol = Solution: cost=[14713.0], size=[247]
(Iter. 18 | Time: 140.919) BestSol = Solution: cost=[14720.0], size=[247]
(Iter. 19 | Time: 148.364) BestSol = Solution: cost=[14726.0], size=[246]
(Iter. 20 | Time: 154.559) BestSol = Solution: cost=[14739.0], size=[245]
(Iter. 21 | Time: 160.75) BestSol = Solution: cost=[14743.0], size=[244]
(Iter. 22 | Time: 166.892) BestSol = Solution: cost=[14752.0], size=[243]
(Iter. 23 | Time: 172.973) BestSol = Solution: cost=[14753.0], size=[242]
(Iter. 24 | Time: 179.05) BestSol = Solution: cost=[14765.0], size=[242]
(Iter. 25 | Time: 185.791) BestSol = Solution: cost=[14780.0], size=[242]
(Iter. 26 | Time: 191.929) BestSol = Solution: cost=[14790.0], size=[242]
(Iter. 27 | Time: 198.059) BestSol = Solution: cost=[14793.0], size=[243]
(Iter. 28 | Time: 204.22) BestSol = Solution: cost=[14800.0], size=[243]
(Iter. 29 | Time: 210.174) BestSol = Solution: cost=[14811.0], size=[243]
(Iter. 30 | Time: 216.371) BestSol = Solution: cost=[14827.0], size=[242]
(Iter. 32 | Time: 228.481) BestSol = Solution: cost=[14833.0], size=[242]
(Iter. 34 | Time: 243.691) BestSol = Solution: cost=[14835.0], size=[240]
(Iter. 64 | Time: 468.325) BestSol = Solution: cost=[14853.0], size=[244]
(Iter. 65 | Time: 476.673) BestSol = Solution: cost=[14866.0], size=[244]
(Iter. 66 | Time: 485.031) BestSol = Solution: cost=[14869.0], size=[243]
(Iter. 69 | Time: 509.658) BestSol = Solution: cost=[14872.0], size=[244]
(Iter. 70 | Time: 515.614) BestSol = Solution: cost=[14885.0], size=[244]
(Iter. 72 | Time: 529.972) BestSol = Solution: cost=[14893.0], size=[246]
(Iter. 73 | Time: 538.34) BestSol = Solution: cost=[14904.0], size=[246]
(Iter. 74 | Time: 546.784) BestSol = Solution: cost=[14922.0], size=[246]
>>> Tempo limite atingido (600s)
Best solution = Solution: cost=[14922.0], size=[246]
Time = 610.159 seg
