(Iter. 0 | Time: 16.034) BestSol = Solution: cost=[12316.0], size=[244]
(Iter. 1 | Time: 32.645) BestSol = Solution: cost=[12424.0], size=[244]
(Iter. 2 | Time: 50.333) BestSol = Solution: cost=[12535.0], size=[244]
(Iter. 3 | Time: 67.218) BestSol = Solution: cost=[12623.0], size=[244]
(Iter. 4 | Time: 83.947) BestSol = Solution: cost=[12697.0], size=[244]
(Iter. 5 | Time: 100.547) BestSol = Solution: cost=[12762.0], size=[244]
(Iter. 6 | Time: 116.962) BestSol = Solution: cost=[12804.0], size=[243]
(Iter. 7 | Time: 133.561) BestSol = Solution: cost=[12833.0], size=[243]
(Iter. 8 | Time: 149.907) BestSol = Solution: cost=[12860.0], size=[243]
(Iter. 9 | Time: 166.056) BestSol = Solution: cost=[12890.0], size=[243]
(Iter. 10 | Time: 181.853) BestSol = Solution: cost=[12914.0], size=[243]
(Iter. 11 | Time: 197.554) BestSol = Solution: cost=[12939.0], size=[243]
(Iter. 12 | Time: 213.797) BestSol = Solution: cost=[12960.0], size=[243]
(Iter. 13 | Time: 229.842) BestSol = Solution: cost=[12993.0], size=[243]
(Iter. 14 | Time: 245.79) BestSol = Solution: cost=[13029.0], size=[243]
(Iter. 15 | Time: 261.486) BestSol = Solution: cost=[13065.0], size=[243]
(Iter. 16 | Time: 277.53) BestSol = Solution: cost=[13103.0], size=[243]
(Iter. 17 | Time: 293.509) BestSol = Solution: cost=[13138.0], size=[243]
(Iter. 18 | Time: 309.348) BestSol = Solution: cost=[13182.0], size=[243]
(Iter. 19 | Time: 325.129) BestSol = Solution: cost=[13223.0], size=[243]
(Iter. 20 | Time: 340.819) BestSol = Solution: cost=[13269.0], size=[243]
(Iter. 21 | Time: 356.199) BestSol = Solution: cost=[13310.0], size=[243]
(Iter. 22 | Time: 371.553) BestSol = Solution: cost=[13337.0], size=[243]
(Iter. 23 | Time: 387.256) BestSol = Solution: cost=[13367.0], size=[243]
(Iter. 24 | Time: 402.989) BestSol = Solution: cost=[13395.0], size=[243]
(Iter. 25 | Time: 418.605) BestSol = Solution: cost=[13409.0], size=[243]
(Iter. 26 | Time: 434.009) BestSol = Solution: cost=[13428.0], size=[243]
(Iter. 27 | Time: 449.511) BestSol = Solution: cost=[13445.0], size=[243]
(Iter. 28 | Time: 465.24) BestSol = Solution: cost=[13474.0], size=[243]
(Iter. 29 | Time: 480.883) BestSol = Solution: cost=[13479.0], size=[242]
(Iter. 30 | Time: 496.548) BestSol = Solution: cost=[13484.0], size=[242]
(Iter. 31 | Time: 512.134) BestSol = Solution: cost=[13493.0], size=[243]
(Iter. 32 | Time: 527.892) BestSol = Solution: cost=[13498.0], size=[244]
(Iter. 34 | Time: 559.944) BestSol = Solution: cost=[13505.0], size=[245]
(Iter. 35 | Time: 575.913) BestSol = Solution: cost=[13507.0], size=[246]
(Iter. 36 | Time: 591.831) BestSol = Solution: cost=[13509.0], size=[247]
(Iter. 37 | Time: 608.297) BestSol = Solution: cost=[13510.0], size=[247]
>>> Tempo limite atingido (600s)
Best solution = Solution: cost=[13510.0], size=[247]
Time = 614.877 seg
