(Iter. 0 | Time: 16.802) BestSol = Solution: cost=[12316.0], size=[244]
(Iter. 1 | Time: 33.574) BestSol = Solution: cost=[12424.0], size=[244]
(Iter. 2 | Time: 49.905) BestSol = Solution: cost=[12535.0], size=[244]
(Iter. 3 | Time: 65.918) BestSol = Solution: cost=[12623.0], size=[244]
(Iter. 4 | Time: 82.107) BestSol = Solution: cost=[12697.0], size=[244]
(Iter. 5 | Time: 98.184) BestSol = Solution: cost=[12762.0], size=[244]
(Iter. 6 | Time: 114.456) BestSol = Solution: cost=[12804.0], size=[243]
(Iter. 7 | Time: 130.501) BestSol = Solution: cost=[12833.0], size=[243]
(Iter. 8 | Time: 146.662) BestSol = Solution: cost=[12860.0], size=[243]
(Iter. 9 | Time: 162.453) BestSol = Solution: cost=[12890.0], size=[243]
(Iter. 10 | Time: 178.284) BestSol = Solution: cost=[12914.0], size=[243]
(Iter. 11 | Time: 194.495) BestSol = Solution: cost=[12939.0], size=[243]
(Iter. 12 | Time: 210.712) BestSol = Solution: cost=[12960.0], size=[243]
(Iter. 13 | Time: 226.741) BestSol = Solution: cost=[12993.0], size=[243]
(Iter. 14 | Time: 242.431) BestSol = Solution: cost=[13029.0], size=[243]
(Iter. 15 | Time: 258.549) BestSol = Solution: cost=[13065.0], size=[243]
(Iter. 16 | Time: 274.219) BestSol = Solution: cost=[13103.0], size=[243]
(Iter. 17 | Time: 289.753) BestSol = Solution: cost=[13138.0], size=[243]
(Iter. 18 | Time: 305.507) BestSol = Solution: cost=[13182.0], size=[243]
(Iter. 19 | Time: 321.218) BestSol = Solution: cost=[13223.0], size=[243]
(Iter. 20 | Time: 337.056) BestSol = Solution: cost=[13269.0], size=[243]
(Iter. 21 | Time: 352.92) BestSol = Solution: cost=[13310.0], size=[243]
(Iter. 22 | Time: 368.47) BestSol = Solution: cost=[13337.0], size=[243]
(Iter. 23 | Time: 384.347) BestSol = Solution: cost=[13367.0], size=[243]
(Iter. 24 | Time: 400.383) BestSol = Solution: cost=[13395.0], size=[243]
(Iter. 25 | Time: 415.995) BestSol = Solution: cost=[13409.0], size=[243]
(Iter. 26 | Time: 431.569) BestSol = Solution: cost=[13428.0], size=[243]
(Iter. 27 | Time: 447.242) BestSol = Solution: cost=[13445.0], size=[243]
(Iter. 28 | Time: 463.055) BestSol = Solution: cost=[13474.0], size=[243]
(Iter. 29 | Time: 478.917) BestSol = Solution: cost=[13479.0], size=[242]
(Iter. 30 | Time: 494.85) BestSol = Solution: cost=[13484.0], size=[242]
(Iter. 31 | Time: 511.182) BestSol = Solution: cost=[13493.0], size=[243]
(Iter. 32 | Time: 526.961) BestSol = Solution: cost=[13498.0], size=[244]
(Iter. 34 | Time: 559.777) BestSol = Solution: cost=[13505.0], size=[245]
(Iter. 35 | Time: 576.102) BestSol = Solution: cost=[13507.0], size=[246]
(Iter. 36 | Time: 592.138) BestSol = Solution: cost=[13509.0], size=[247]
(Iter. 37 | Time: 608.859) BestSol = Solution: cost=[13510.0], size=[247]
>>> Tempo limite atingido (600s)
Best solution = Solution: cost=[13510.0], size=[247]
Time = 617.818 seg
