(Iter. 0 | Time: 16.177) BestSol = Solution: cost=[12316.0], size=[244]
(Iter. 1 | Time: 32.524) BestSol = Solution: cost=[12424.0], size=[244]
(Iter. 2 | Time: 48.489) BestSol = Solution: cost=[12535.0], size=[244]
(Iter. 3 | Time: 64.307) BestSol = Solution: cost=[12623.0], size=[244]
(Iter. 4 | Time: 80.094) BestSol = Solution: cost=[12697.0], size=[244]
(Iter. 5 | Time: 95.937) BestSol = Solution: cost=[12762.0], size=[244]
(Iter. 6 | Time: 112.251) BestSol = Solution: cost=[12804.0], size=[243]
(Iter. 7 | Time: 128.667) BestSol = Solution: cost=[12833.0], size=[243]
(Iter. 8 | Time: 144.592) BestSol = Solution: cost=[12860.0], size=[243]
(Iter. 9 | Time: 160.31) BestSol = Solution: cost=[12890.0], size=[243]
(Iter. 10 | Time: 175.888) BestSol = Solution: cost=[12914.0], size=[243]
(Iter. 11 | Time: 191.492) BestSol = Solution: cost=[12939.0], size=[243]
(Iter. 12 | Time: 207.103) BestSol = Solution: cost=[12960.0], size=[243]
(Iter. 13 | Time: 222.585) BestSol = Solution: cost=[12993.0], size=[243]
(Iter. 14 | Time: 238.156) BestSol = Solution: cost=[13029.0], size=[243]
(Iter. 15 | Time: 253.485) BestSol = Solution: cost=[13065.0], size=[243]
(Iter. 16 | Time: 269.016) BestSol = Solution: cost=[13103.0], size=[243]
(Iter. 17 | Time: 284.562) BestSol = Solution: cost=[13138.0], size=[243]
(Iter. 18 | Time: 300.299) BestSol = Solution: cost=[13182.0], size=[243]
(Iter. 19 | Time: 316.055) BestSol = Solution: cost=[13223.0], size=[243]
(Iter. 20 | Time: 331.594) BestSol = Solution: cost=[13269.0], size=[243]
(Iter. 21 | Time: 347.167) BestSol = Solution: cost=[13310.0], size=[243]
(Iter. 22 | Time: 362.831) BestSol = Solution: cost=[13337.0], size=[243]
(Iter. 23 | Time: 378.163) BestSol = Solution: cost=[13367.0], size=[243]
(Iter. 24 | Time: 393.509) BestSol = Solution: cost=[13395.0], size=[243]
(Iter. 25 | Time: 408.886) BestSol = Solution: cost=[13409.0], size=[243]
(Iter. 26 | Time: 424.483) BestSol = Solution: cost=[13428.0], size=[243]
(Iter. 27 | Time: 440.232) BestSol = Solution: cost=[13445.0], size=[243]
(Iter. 28 | Time: 455.794) BestSol = Solution: cost=[13474.0], size=[243]
(Iter. 29 | Time: 471.342) BestSol = Solution: cost=[13479.0], size=[242]
(Iter. 30 | Time: 486.974) BestSol = Solution: cost=[13484.0], size=[242]
(Iter. 31 | Time: 502.607) BestSol = Solution: cost=[13493.0], size=[243]
(Iter. 32 | Time: 518.323) BestSol = Solution: cost=[13498.0], size=[244]
(Iter. 34 | Time: 549.229) BestSol = Solution: cost=[13505.0], size=[245]
(Iter. 35 | Time: 565.245) BestSol = Solution: cost=[13507.0], size=[246]
(Iter. 36 | Time: 581.014) BestSol = Solution: cost=[13509.0], size=[247]
(Iter. 37 | Time: 596.806) BestSol = Solution: cost=[13510.0], size=[247]
(Iter. 38 | Time: 613.06) BestSol = Solution: cost=[13519.0], size=[247]
>>> Tempo limite atingido (600s)
Best solution = Solution: cost=[13519.0], size=[247]
Time = 620.909 seg
