(Iter. 0 | Time: 8.566) BestSol = Solution: cost=[14337.0], size=[248]
(Iter. 1 | Time: 17.119) BestSol = Solution: cost=[14410.0], size=[248]
(Iter. 2 | Time: 25.584) BestSol = Solution: cost=[14472.0], size=[248]
(Iter. 3 | Time: 34.141) BestSol = Solution: cost=[14514.0], size=[248]
(Iter. 4 | Time: 42.167) BestSol = Solution: cost=[14534.0], size=[248]
(Iter. 5 | Time: 50.403) BestSol = Solution: cost=[14567.0], size=[248]
(Iter. 6 | Time: 58.671) BestSol = Solution: cost=[14585.0], size=[248]
(Iter. 7 | Time: 66.783) BestSol = Solution: cost=[14611.0], size=[248]
(Iter. 8 | Time: 75.059) BestSol = Solution: cost=[14623.0], size=[247]
(Iter. 9 | Time: 83.424) BestSol = Solution: cost=[14637.0], size=[247]
(Iter. 10 | Time: 91.959) BestSol = Solution: cost=[14644.0], size=[247]
(Iter. 11 | Time: 100.046) BestSol = Solution: cost=[14650.0], size=[248]
(Iter. 12 | Time: 108.133) BestSol = Solution: cost=[14661.0], size=[248]
(Iter. 13 | Time: 115.99) BestSol = Solution: cost=[14679.0], size=[248]
(Iter. 14 | Time: 123.905) BestSol = Solution: cost=[14683.0], size=[248]
(Iter. 15 | Time: 132.016) BestSol = Solution: cost=[14692.0], size=[248]
(Iter. 16 | Time: 139.864) BestSol = Solution: cost=[14703.0], size=[248]
(Iter. 17 | Time: 147.787) BestSol = Solution: cost=[14713.0], size=[247]
(Iter. 18 | Time: 155.995) BestSol = Solution: cost=[14720.0], size=[247]
(Iter. 19 | Time: 163.846) BestSol = Solution: cost=[14726.0], size=[246]
(Iter. 20 | Time: 171.702) BestSol = Solution: cost=[14739.0], size=[245]
(Iter. 21 | Time: 179.817) BestSol = Solution: cost=[14743.0], size=[244]
(Iter. 22 | Time: 187.724) BestSol = Solution: cost=[14752.0], size=[243]
(Iter. 23 | Time: 195.628) BestSol = Solution: cost=[14753.0], size=[242]
(Iter. 24 | Time: 203.616) BestSol = Solution: cost=[14765.0], size=[242]
(Iter. 25 | Time: 211.753) BestSol = Solution: cost=[14780.0], size=[242]
(Iter. 26 | Time: 219.612) BestSol = Solution: cost=[14790.0], size=[242]
(Iter. 27 | Time: 227.505) BestSol = Solution: cost=[14793.0], size=[243]
(Iter. 28 | Time: 235.459) BestSol = Solution: cost=[14800.0], size=[243]
(Iter. 29 | Time: 243.618) BestSol = Solution: cost=[14811.0], size=[243]
(Iter. 30 | Time: 251.681) BestSol = Solution: cost=[14827.0], size=[242]
(Iter. 32 | Time: 267.929) BestSol = Solution: cost=[14833.0], size=[242]
(Iter. 34 | Time: 284.17) BestSol = Solution: cost=[14835.0], size=[240]
(Iter. 64 | Time: 526.554) BestSol = Solution: cost=[14853.0], size=[244]
(Iter. 65 | Time: 534.471) BestSol = Solution: cost=[14866.0], size=[244]
(Iter. 66 | Time: 542.797) BestSol = Solution: cost=[14869.0], size=[243]
(Iter. 69 | Time: 567.289) BestSol = Solution: cost=[14872.0], size=[244]
(Iter. 70 | Time: 575.198) BestSol = Solution: cost=[14885.0], size=[244]
(Iter. 72 | Time: 591.335) BestSol = Solution: cost=[14893.0], size=[246]
(Iter. 73 | Time: 599.643) BestSol = Solution: cost=[14904.0], size=[246]
(Iter. 74 | Time: 608.321) BestSol = Solution: cost=[14922.0], size=[246]
>>> Tempo limite atingido (600s)
Best solution = Solution: cost=[14922.0], size=[246]
Time = 614.992 seg
