(Iter. 0 | Time: 15.707) BestSol = Solution: cost=[12316.0], size=[244]
(Iter. 1 | Time: 31.69) BestSol = Solution: cost=[12424.0], size=[244]
(Iter. 2 | Time: 47.645) BestSol = Solution: cost=[12535.0], size=[244]
(Iter. 3 | Time: 63.267) BestSol = Solution: cost=[12623.0], size=[244]
(Iter. 4 | Time: 78.856) BestSol = Solution: cost=[12697.0], size=[244]
(Iter. 5 | Time: 94.698) BestSol = Solution: cost=[12762.0], size=[244]
(Iter. 6 | Time: 110.262) BestSol = Solution: cost=[12804.0], size=[243]
(Iter. 7 | Time: 125.695) BestSol = Solution: cost=[12833.0], size=[243]
(Iter. 8 | Time: 141.009) BestSol = Solution: cost=[12860.0], size=[243]
(Iter. 9 | Time: 156.51) BestSol = Solution: cost=[12890.0], size=[243]
(Iter. 10 | Time: 171.989) BestSol = Solution: cost=[12914.0], size=[243]
(Iter. 11 | Time: 187.275) BestSol = Solution: cost=[12939.0], size=[243]
(Iter. 12 | Time: 202.62) BestSol = Solution: cost=[12960.0], size=[243]
(Iter. 13 | Time: 218.05) BestSol = Solution: cost=[12993.0], size=[243]
(Iter. 14 | Time: 233.196) BestSol = Solution: cost=[13029.0], size=[243]
(Iter. 15 | Time: 248.293) BestSol = Solution: cost=[13065.0], size=[243]
(Iter. 16 | Time: 263.587) BestSol = Solution: cost=[13103.0], size=[243]
(Iter. 17 | Time: 278.806) BestSol = Solution: cost=[13138.0], size=[243]
(Iter. 18 | Time: 294.16) BestSol = Solution: cost=[13182.0], size=[243]
(Iter. 19 | Time: 309.345) BestSol = Solution: cost=[13223.0], size=[243]
(Iter. 20 | Time: 324.462) BestSol = Solution: cost=[13269.0], size=[243]
(Iter. 21 | Time: 339.637) BestSol = Solution: cost=[13310.0], size=[243]
(Iter. 22 | Time: 354.81) BestSol = Solution: cost=[13337.0], size=[243]
(Iter. 23 | Time: 369.982) BestSol = Solution: cost=[13367.0], size=[243]
(Iter. 24 | Time: 385.249) BestSol = Solution: cost=[13395.0], size=[243]
(Iter. 25 | Time: 400.345) BestSol = Solution: cost=[13409.0], size=[243]
(Iter. 26 | Time: 415.442) BestSol = Solution: cost=[13428.0], size=[243]
(Iter. 27 | Time: 430.538) BestSol = Solution: cost=[13445.0], size=[243]
(Iter. 28 | Time: 445.627) BestSol = Solution: cost=[13474.0], size=[243]
(Iter. 29 | Time: 460.749) BestSol = Solution: cost=[13479.0], size=[242]
(Iter. 30 | Time: 475.89) BestSol = Solution: cost=[13484.0], size=[242]
(Iter. 31 | Time: 491.107) BestSol = Solution: cost=[13493.0], size=[243]
(Iter. 32 | Time: 506.388) BestSol = Solution: cost=[13498.0], size=[244]
(Iter. 34 | Time: 536.949) BestSol = Solution: cost=[13505.0], size=[245]
(Iter. 35 | Time: 552.464) BestSol = Solution: cost=[13507.0], size=[246]
(Iter. 36 | Time: 567.915) BestSol = Solution: cost=[13509.0], size=[247]
(Iter. 37 | Time: 583.133) BestSol = Solution: cost=[13510.0], size=[247]
(Iter. 38 | Time: 598.287) BestSol = Solution: cost=[13519.0], size=[247]
(Iter. 39 | Time: 613.601) BestSol = Solution: cost=[13533.0], size=[247]
>>> Tempo limite atingido (600s)
Best solution = Solution: cost=[13533.0], size=[247]
Time = 620.373 seg
