(Iter. 0 | Time: 8.361) BestSol = Solution: cost=[14337.0], size=[248]
(Iter. 1 | Time: 16.635) BestSol = Solution: cost=[14410.0], size=[248]
(Iter. 2 | Time: 24.505) BestSol = Solution: cost=[14472.0], size=[248]
(Iter. 3 | Time: 32.132) BestSol = Solution: cost=[14514.0], size=[248]
(Iter. 4 | Time: 39.72) BestSol = Solution: cost=[14534.0], size=[248]
(Iter. 5 | Time: 47.695) BestSol = Solution: cost=[14567.0], size=[248]
(Iter. 6 | Time: 55.454) BestSol = Solution: cost=[14585.0], size=[248]
(Iter. 7 | Time: 63.253) BestSol = Solution: cost=[14611.0], size=[248]
(Iter. 8 | Time: 70.865) BestSol = Solution: cost=[14623.0], size=[247]
(Iter. 9 | Time: 78.63) BestSol = Solution: cost=[14637.0], size=[247]
(Iter. 10 | Time: 86.221) BestSol = Solution: cost=[14644.0], size=[247]
(Iter. 11 | Time: 93.835) BestSol = Solution: cost=[14650.0], size=[248]
(Iter. 12 | Time: 101.414) BestSol = Solution: cost=[14661.0], size=[248]
(Iter. 13 | Time: 109.017) BestSol = Solution: cost=[14679.0], size=[248]
(Iter. 14 | Time: 116.62) BestSol = Solution: cost=[14683.0], size=[248]
(Iter. 15 | Time: 124.192) BestSol = Solution: cost=[14692.0], size=[248]
(Iter. 16 | Time: 132.091) BestSol = Solution: cost=[14703.0], size=[248]
(Iter. 17 | Time: 139.674) BestSol = Solution: cost=[14713.0], size=[247]
(Iter. 18 | Time: 147.243) BestSol = Solution: cost=[14720.0], size=[247]
(Iter. 19 | Time: 154.822) BestSol = Solution: cost=[14726.0], size=[246]
(Iter. 20 | Time: 162.361) BestSol = Solution: cost=[14739.0], size=[245]
(Iter. 21 | Time: 169.933) BestSol = Solution: cost=[14743.0], size=[244]
(Iter. 22 | Time: 177.535) BestSol = Solution: cost=[14752.0], size=[243]
(Iter. 23 | Time: 185.184) BestSol = Solution: cost=[14753.0], size=[242]
(Iter. 24 | Time: 192.811) BestSol = Solution: cost=[14765.0], size=[242]
(Iter. 25 | Time: 200.416) BestSol = Solution: cost=[14780.0], size=[242]
(Iter. 26 | Time: 207.936) BestSol = Solution: cost=[14790.0], size=[242]
(Iter. 27 | Time: 215.488) BestSol = Solution: cost=[14793.0], size=[243]
(Iter. 28 | Time: 223.04) BestSol = Solution: cost=[14800.0], size=[243]
(Iter. 29 | Time: 230.662) BestSol = Solution: cost=[14811.0], size=[243]
(Iter. 30 | Time: 238.288) BestSol = Solution: cost=[14827.0], size=[242]
(Iter. 32 | Time: 253.615) BestSol = Solution: cost=[14833.0], size=[242]
(Iter. 34 | Time: 269.111) BestSol = Solution: cost=[14835.0], size=[240]
(Iter. 64 | Time: 498.797) BestSol = Solution: cost=[14853.0], size=[244]
(Iter. 65 | Time: 506.485) BestSol = Solution: cost=[14866.0], size=[244]
(Iter. 66 | Time: 514.181) BestSol = Solution: cost=[14869.0], size=[243]
(Iter. 69 | Time: 537.694) BestSol = Solution: cost=[14872.0], size=[244]
(Iter. 70 | Time: 545.533) BestSol = Solution: cost=[14885.0], size=[244]
(Iter. 72 | Time: 561.496) BestSol = Solution: cost=[14893.0], size=[246]
(Iter. 73 | Time: 569.194) BestSol = Solution: cost=[14904.0], size=[246]
(Iter. 74 | Time: 577.011) BestSol = Solution: cost=[14922.0], size=[246]
>>> Tempo limite atingido (600s)
Best solution = Solution: cost=[14922.0], size=[246]
Time = 607.765 seg
