(Gen. 0) BestSol = Solution: cost=[861.0], size=[91]
(Gen. 1 | Time: 1.023) BestSol = Solution: cost=[1013.0], size=[103]
(Gen. 2 | Time: 1.942) BestSol = Solution: cost=[1032.0], size=[102]
(Gen. 3 | Time: 3.227) BestSol = Solution: cost=[1292.0], size=[102]
(Gen. 5 | Time: 4.93) BestSol = Solution: cost=[1401.0], size=[98]
(Gen. 7 | Time: 8.058) BestSol = Solution: cost=[1650.0], size=[102]
(Gen. 8 | Time: 8.801) BestSol = Solution: cost=[1877.0], size=[103]
(Gen. 10 | Time: 12.398) BestSol = Solution: cost=[1925.0], size=[102]
(Gen. 11 | Time: 14.677) BestSol = Solution: cost=[1984.0], size=[101]
(Gen. 12 | Time: 16.493) BestSol = Solution: cost=[2086.0], size=[110]
(Gen. 13 | Time: 18.136) BestSol = Solution: cost=[2176.0], size=[107]
(Gen. 14 | Time: 19.746) BestSol = Solution: cost=[2409.0], size=[111]
(Gen. 18 | Time: 24.272) BestSol = Solution: cost=[2427.0], size=[113]
(Gen. 20 | Time: 25.979) BestSol = Solution: cost=[2661.0], size=[108]
(Gen. 23 | Time: 28.499) BestSol = Solution: cost=[2714.0], size=[112]
(Gen. 24 | Time: 29.453) BestSol = Solution: cost=[2723.0], size=[110]
(Gen. 25 | Time: 30.356) BestSol = Solution: cost=[2881.0], size=[110]
(Gen. 29 | Time: 35.017) BestSol = Solution: cost=[2904.0], size=[108]
(Gen. 30 | Time: 36.011) BestSol = Solution: cost=[2994.0], size=[108]
(Gen. 31 | Time: 36.967) BestSol = Solution: cost=[3086.0], size=[113]
(Gen. 33 | Time: 39.019) BestSol = Solution: cost=[3120.0], size=[116]
(Gen. 34 | Time: 40.382) BestSol = Solution: cost=[3254.0], size=[111]
(Gen. 36 | Time: 42.619) BestSol = Solution: cost=[3262.0], size=[116]
(Gen. 37 | Time: 43.481) BestSol = Solution: cost=[3309.0], size=[113]
(Gen. 39 | Time: 45.364) BestSol = Solution: cost=[3367.0], size=[117]
(Gen. 40 | Time: 46.349) BestSol = Solution: cost=[3401.0], size=[121]
(Gen. 41 | Time: 47.37) BestSol = Solution: cost=[3436.0], size=[116]
(Gen. 47 | Time: 54.327) BestSol = Solution: cost=[3579.0], size=[110]
(Gen. 52 | Time: 59.725) BestSol = Solution: cost=[3586.0], size=[116]
(Gen. 53 | Time: 61.106) BestSol = Solution: cost=[3606.0], size=[111]
(Gen. 54 | Time: 62.214) BestSol = Solution: cost=[3637.0], size=[110]
(Gen. 55 | Time: 63.336) BestSol = Solution: cost=[3703.0], size=[111]
(Gen. 61 | Time: 69.159) BestSol = Solution: cost=[3780.0], size=[118]
(Gen. 63 | Time: 71.798) BestSol = Solution: cost=[3783.0], size=[124]
(Gen. 64 | Time: 73.155) BestSol = Solution: cost=[3804.0], size=[118]
(Gen. 67 | Time: 76.233) BestSol = Solution: cost=[3889.0], size=[121]
(Gen. 68 | Time: 77.269) BestSol = Solution: cost=[3927.0], size=[122]
(Gen. 69 | Time: 78.261) BestSol = Solution: cost=[3971.0], size=[123]
(Gen. 74 | Time: 83.201) BestSol = Solution: cost=[4069.0], size=[122]
(Gen. 75 | Time: 84.323) BestSol = Solution: cost=[4070.0], size=[121]
(Gen. 78 | Time: 87.457) BestSol = Solution: cost=[4080.0], size=[120]
(Gen. 84 | Time: 92.747) BestSol = Solution: cost=[4086.0], size=[121]
(Gen. 99 | Time: 107.68) BestSol = Solution: cost=[4109.0], size=[121]
(Gen. 100 | Time: 108.657) BestSol = Solution: cost=[4143.0], size=[122]
(Gen. 104 | Time: 112.463) BestSol = Solution: cost=[4244.0], size=[121]
(Gen. 125 | Time: 135.689) BestSol = Solution: cost=[4245.0], size=[120]
(Gen. 133 | Time: 145.288) BestSol = Solution: cost=[4258.0], size=[122]
(Gen. 137 | Time: 149.226) BestSol = Solution: cost=[4263.0], size=[123]
(Gen. 167 | Time: 179.453) BestSol = Solution: cost=[4271.0], size=[123]
(Gen. 194 | Time: 208.416) BestSol = Solution: cost=[4296.0], size=[124]
(Gen. 199 | Time: 213.118) BestSol = Solution: cost=[4313.0], size=[123]
(Gen. 316 | Time: 331.594) BestSol = Solution: cost=[4317.0], size=[124]
(Gen. 339 | Time: 354.418) BestSol = Solution: cost=[4320.0], size=[122]
(Gen. 376 | Time: 390.649) BestSol = Solution: cost=[4329.0], size=[121]
(Gen. 489 | Time: 507.999) BestSol = Solution: cost=[4332.0], size=[123]
(Gen. 490 | Time: 508.926) BestSol = Solution: cost=[4441.0], size=[122]
(Gen. 494 | Time: 512.341) BestSol = Solution: cost=[4456.0], size=[122]
(Gen. 531 | Time: 554.368) BestSol = Solution: cost=[4480.0], size=[122]
maxVal = Solution: cost=[4480.0], size=[122]
Time = 600.966 seg
