(Gen. 0) BestSol = Solution: cost=[861.0], size=[91]
(Gen. 1 | Time: 0.943) BestSol = Solution: cost=[1013.0], size=[103]
(Gen. 3 | Time: 3.207) BestSol = Solution: cost=[1297.0], size=[103]
(Gen. 6 | Time: 6.164) BestSol = Solution: cost=[1512.0], size=[94]
(Gen. 7 | Time: 6.694) BestSol = Solution: cost=[1679.0], size=[106]
(Gen. 8 | Time: 7.863) BestSol = Solution: cost=[1834.0], size=[109]
(Gen. 9 | Time: 8.769) BestSol = Solution: cost=[1840.0], size=[109]
(Gen. 10 | Time: 9.715) BestSol = Solution: cost=[1867.0], size=[99]
(Gen. 11 | Time: 10.8) BestSol = Solution: cost=[1981.0], size=[105]
(Gen. 12 | Time: 11.856) BestSol = Solution: cost=[2141.0], size=[104]
(Gen. 14 | Time: 13.237) BestSol = Solution: cost=[2186.0], size=[110]
(Gen. 15 | Time: 13.907) BestSol = Solution: cost=[2212.0], size=[110]
(Gen. 16 | Time: 14.553) BestSol = Solution: cost=[2320.0], size=[108]
(Gen. 17 | Time: 15.222) BestSol = Solution: cost=[2471.0], size=[112]
(Gen. 19 | Time: 16.663) BestSol = Solution: cost=[2537.0], size=[114]
(Gen. 22 | Time: 18.719) BestSol = Solution: cost=[2700.0], size=[116]
(Gen. 24 | Time: 20.487) BestSol = Solution: cost=[2782.0], size=[108]
(Gen. 25 | Time: 21.417) BestSol = Solution: cost=[2820.0], size=[112]
(Gen. 26 | Time: 22.487) BestSol = Solution: cost=[2953.0], size=[124]
(Gen. 28 | Time: 24.686) BestSol = Solution: cost=[2959.0], size=[107]
(Gen. 29 | Time: 25.59) BestSol = Solution: cost=[3235.0], size=[115]
(Gen. 30 | Time: 26.567) BestSol = Solution: cost=[3294.0], size=[113]
(Gen. 32 | Time: 28.772) BestSol = Solution: cost=[3442.0], size=[115]
(Gen. 36 | Time: 32.773) BestSol = Solution: cost=[3459.0], size=[116]
(Gen. 37 | Time: 34.022) BestSol = Solution: cost=[3491.0], size=[111]
(Gen. 38 | Time: 34.966) BestSol = Solution: cost=[3497.0], size=[113]
(Gen. 39 | Time: 35.747) BestSol = Solution: cost=[3532.0], size=[115]
(Gen. 41 | Time: 37.494) BestSol = Solution: cost=[3681.0], size=[114]
(Gen. 44 | Time: 40.98) BestSol = Solution: cost=[3730.0], size=[115]
(Gen. 47 | Time: 43.513) BestSol = Solution: cost=[3753.0], size=[114]
(Gen. 48 | Time: 44.501) BestSol = Solution: cost=[3755.0], size=[115]
(Gen. 52 | Time: 48.18) BestSol = Solution: cost=[3764.0], size=[116]
(Gen. 55 | Time: 52.051) BestSol = Solution: cost=[3770.0], size=[114]
(Gen. 56 | Time: 52.925) BestSol = Solution: cost=[3772.0], size=[120]
(Gen. 58 | Time: 54.715) BestSol = Solution: cost=[3773.0], size=[121]
(Gen. 60 | Time: 56.407) BestSol = Solution: cost=[3777.0], size=[122]
(Gen. 61 | Time: 57.383) BestSol = Solution: cost=[3778.0], size=[116]
(Gen. 63 | Time: 59.088) BestSol = Solution: cost=[3851.0], size=[120]
(Gen. 67 | Time: 62.653) BestSol = Solution: cost=[3852.0], size=[119]
(Gen. 71 | Time: 68.041) BestSol = Solution: cost=[3859.0], size=[121]
(Gen. 75 | Time: 71.945) BestSol = Solution: cost=[3895.0], size=[119]
(Gen. 76 | Time: 72.847) BestSol = Solution: cost=[3901.0], size=[121]
(Gen. 77 | Time: 73.772) BestSol = Solution: cost=[3997.0], size=[117]
(Gen. 85 | Time: 81.31) BestSol = Solution: cost=[4001.0], size=[120]
(Gen. 87 | Time: 83.835) BestSol = Solution: cost=[4092.0], size=[118]
(Gen. 89 | Time: 85.927) BestSol = Solution: cost=[4138.0], size=[120]
(Gen. 93 | Time: 89.538) BestSol = Solution: cost=[4167.0], size=[119]
(Gen. 103 | Time: 99.434) BestSol = Solution: cost=[4201.0], size=[117]
(Gen. 121 | Time: 115.956) BestSol = Solution: cost=[4207.0], size=[119]
(Gen. 133 | Time: 128.101) BestSol = Solution: cost=[4239.0], size=[121]
(Gen. 139 | Time: 133.559) BestSol = Solution: cost=[4337.0], size=[119]
(Gen. 206 | Time: 196.889) BestSol = Solution: cost=[4340.0], size=[118]
(Gen. 210 | Time: 200.382) BestSol = Solution: cost=[4402.0], size=[126]
(Gen. 239 | Time: 227.615) BestSol = Solution: cost=[4416.0], size=[127]
(Gen. 276 | Time: 263.43) BestSol = Solution: cost=[4443.0], size=[128]
(Gen. 291 | Time: 278.049) BestSol = Solution: cost=[4444.0], size=[128]
(Gen. 304 | Time: 291.592) BestSol = Solution: cost=[4459.0], size=[126]
(Gen. 344 | Time: 329.408) BestSol = Solution: cost=[4467.0], size=[124]
(Gen. 401 | Time: 381.276) BestSol = Solution: cost=[4480.0], size=[123]
(Gen. 531 | Time: 503.615) BestSol = Solution: cost=[4493.0], size=[125]
(Gen. 611 | Time: 586.001) BestSol = Solution: cost=[4497.0], size=[124]
(Gen. 617 | Time: 592.707) BestSol = Solution: cost=[4500.0], size=[125]
maxVal = Solution: cost=[4500.0], size=[125]
Time = 600.912 seg
