(Gen. 0) BestSol = Solution: cost=[861.0], size=[91]
(Gen. 1 | Time: 1.353) BestSol = Solution: cost=[1013.0], size=[103]
(Gen. 2 | Time: 2.223) BestSol = Solution: cost=[1240.0], size=[101]
(Gen. 4 | Time: 4.097) BestSol = Solution: cost=[1434.0], size=[103]
(Gen. 7 | Time: 9.1) BestSol = Solution: cost=[1646.0], size=[101]
(Gen. 8 | Time: 10.551) BestSol = Solution: cost=[1837.0], size=[99]
(Gen. 11 | Time: 16.771) BestSol = Solution: cost=[1844.0], size=[100]
(Gen. 13 | Time: 19.356) BestSol = Solution: cost=[1967.0], size=[102]
(Gen. 14 | Time: 20.595) BestSol = Solution: cost=[2046.0], size=[112]
(Gen. 15 | Time: 21.632) BestSol = Solution: cost=[2105.0], size=[107]
(Gen. 16 | Time: 22.301) BestSol = Solution: cost=[2117.0], size=[105]
(Gen. 17 | Time: 23.067) BestSol = Solution: cost=[2129.0], size=[110]
(Gen. 18 | Time: 23.875) BestSol = Solution: cost=[2190.0], size=[110]
(Gen. 20 | Time: 25.501) BestSol = Solution: cost=[2281.0], size=[113]
(Gen. 21 | Time: 26.492) BestSol = Solution: cost=[2365.0], size=[117]
(Gen. 22 | Time: 27.8) BestSol = Solution: cost=[2595.0], size=[114]
(Gen. 26 | Time: 31.072) BestSol = Solution: cost=[2598.0], size=[116]
(Gen. 27 | Time: 31.816) BestSol = Solution: cost=[2723.0], size=[113]
(Gen. 31 | Time: 34.987) BestSol = Solution: cost=[2747.0], size=[118]
(Gen. 32 | Time: 35.805) BestSol = Solution: cost=[2942.0], size=[121]
(Gen. 34 | Time: 38.59) BestSol = Solution: cost=[2980.0], size=[108]
(Gen. 35 | Time: 39.486) BestSol = Solution: cost=[3091.0], size=[123]
(Gen. 36 | Time: 40.355) BestSol = Solution: cost=[3116.0], size=[123]
(Gen. 38 | Time: 41.979) BestSol = Solution: cost=[3121.0], size=[115]
(Gen. 39 | Time: 42.816) BestSol = Solution: cost=[3125.0], size=[116]
(Gen. 40 | Time: 43.684) BestSol = Solution: cost=[3129.0], size=[118]
(Gen. 41 | Time: 44.475) BestSol = Solution: cost=[3212.0], size=[117]
(Gen. 44 | Time: 47.124) BestSol = Solution: cost=[3266.0], size=[115]
(Gen. 47 | Time: 50.039) BestSol = Solution: cost=[3301.0], size=[118]
(Gen. 49 | Time: 51.863) BestSol = Solution: cost=[3369.0], size=[110]
(Gen. 53 | Time: 56.298) BestSol = Solution: cost=[3422.0], size=[112]
(Gen. 55 | Time: 58.018) BestSol = Solution: cost=[3431.0], size=[112]
(Gen. 56 | Time: 58.785) BestSol = Solution: cost=[3432.0], size=[121]
(Gen. 60 | Time: 62.699) BestSol = Solution: cost=[3501.0], size=[118]
(Gen. 61 | Time: 63.565) BestSol = Solution: cost=[3502.0], size=[119]
(Gen. 62 | Time: 64.679) BestSol = Solution: cost=[3519.0], size=[119]
(Gen. 65 | Time: 67.408) BestSol = Solution: cost=[3577.0], size=[118]
(Gen. 67 | Time: 69.171) BestSol = Solution: cost=[3648.0], size=[119]
(Gen. 69 | Time: 70.881) BestSol = Solution: cost=[3661.0], size=[116]
(Gen. 74 | Time: 75.26) BestSol = Solution: cost=[3670.0], size=[117]
(Gen. 77 | Time: 78.146) BestSol = Solution: cost=[3686.0], size=[116]
(Gen. 78 | Time: 78.934) BestSol = Solution: cost=[3721.0], size=[120]
(Gen. 81 | Time: 81.372) BestSol = Solution: cost=[3888.0], size=[111]
(Gen. 88 | Time: 89.276) BestSol = Solution: cost=[3894.0], size=[121]
(Gen. 90 | Time: 91.706) BestSol = Solution: cost=[3899.0], size=[118]
(Gen. 94 | Time: 95.34) BestSol = Solution: cost=[3990.0], size=[119]
(Gen. 95 | Time: 96.917) BestSol = Solution: cost=[4050.0], size=[122]
(Gen. 96 | Time: 98.796) BestSol = Solution: cost=[4053.0], size=[121]
(Gen. 101 | Time: 103.655) BestSol = Solution: cost=[4113.0], size=[126]
(Gen. 107 | Time: 109.309) BestSol = Solution: cost=[4210.0], size=[126]
(Gen. 121 | Time: 122.265) BestSol = Solution: cost=[4217.0], size=[128]
(Gen. 122 | Time: 123.189) BestSol = Solution: cost=[4258.0], size=[130]
(Gen. 133 | Time: 134.312) BestSol = Solution: cost=[4300.0], size=[127]
(Gen. 145 | Time: 146.351) BestSol = Solution: cost=[4349.0], size=[126]
(Gen. 147 | Time: 147.99) BestSol = Solution: cost=[4352.0], size=[125]
(Gen. 150 | Time: 150.611) BestSol = Solution: cost=[4366.0], size=[126]
(Gen. 217 | Time: 214.364) BestSol = Solution: cost=[4397.0], size=[125]
(Gen. 240 | Time: 234.87) BestSol = Solution: cost=[4410.0], size=[125]
(Gen. 251 | Time: 245.143) BestSol = Solution: cost=[4417.0], size=[126]
(Gen. 258 | Time: 251.405) BestSol = Solution: cost=[4445.0], size=[123]
(Gen. 276 | Time: 267.343) BestSol = Solution: cost=[4449.0], size=[121]
(Gen. 357 | Time: 340.618) BestSol = Solution: cost=[4472.0], size=[125]
(Gen. 369 | Time: 351.683) BestSol = Solution: cost=[4483.0], size=[124]
(Gen. 372 | Time: 354.326) BestSol = Solution: cost=[4495.0], size=[125]
(Gen. 405 | Time: 382.629) BestSol = Solution: cost=[4524.0], size=[123]
(Gen. 406 | Time: 383.421) BestSol = Solution: cost=[4530.0], size=[122]
(Gen. 418 | Time: 394.933) BestSol = Solution: cost=[4531.0], size=[121]
(Gen. 460 | Time: 435.074) BestSol = Solution: cost=[4533.0], size=[122]
(Gen. 499 | Time: 470.338) BestSol = Solution: cost=[4554.0], size=[120]
(Gen. 507 | Time: 477.984) BestSol = Solution: cost=[4566.0], size=[121]
(Gen. 580 | Time: 542.423) BestSol = Solution: cost=[4580.0], size=[120]
(Gen. 624 | Time: 580.954) BestSol = Solution: cost=[4592.0], size=[121]
maxVal = Solution: cost=[4592.0], size=[121]
Time = 600.78 seg
