(Gen. 0) BestSol = Solution: cost=[861.0], size=[91]
(Gen. 1 | Time: 1.559) BestSol = Solution: cost=[1013.0], size=[103]
(Gen. 2 | Time: 2.298) BestSol = Solution: cost=[1193.0], size=[100]
(Gen. 4 | Time: 4.516) BestSol = Solution: cost=[1425.0], size=[101]
(Gen. 7 | Time: 8.005) BestSol = Solution: cost=[1541.0], size=[112]
(Gen. 8 | Time: 9.605) BestSol = Solution: cost=[1581.0], size=[110]
(Gen. 9 | Time: 10.36) BestSol = Solution: cost=[1743.0], size=[107]
(Gen. 11 | Time: 11.998) BestSol = Solution: cost=[1869.0], size=[102]
(Gen. 12 | Time: 12.953) BestSol = Solution: cost=[2010.0], size=[104]
(Gen. 13 | Time: 14.042) BestSol = Solution: cost=[2154.0], size=[110]
(Gen. 15 | Time: 15.828) BestSol = Solution: cost=[2223.0], size=[104]
(Gen. 16 | Time: 16.712) BestSol = Solution: cost=[2237.0], size=[105]
(Gen. 17 | Time: 17.678) BestSol = Solution: cost=[2244.0], size=[111]
(Gen. 18 | Time: 18.617) BestSol = Solution: cost=[2364.0], size=[114]
(Gen. 19 | Time: 19.681) BestSol = Solution: cost=[2387.0], size=[111]
(Gen. 20 | Time: 20.775) BestSol = Solution: cost=[2521.0], size=[114]
(Gen. 21 | Time: 21.419) BestSol = Solution: cost=[2731.0], size=[113]
(Gen. 23 | Time: 23.044) BestSol = Solution: cost=[2744.0], size=[110]
(Gen. 27 | Time: 27.53) BestSol = Solution: cost=[2760.0], size=[120]
(Gen. 28 | Time: 28.415) BestSol = Solution: cost=[2937.0], size=[113]
(Gen. 29 | Time: 29.369) BestSol = Solution: cost=[3029.0], size=[117]
(Gen. 31 | Time: 31.439) BestSol = Solution: cost=[3059.0], size=[116]
(Gen. 33 | Time: 33.564) BestSol = Solution: cost=[3255.0], size=[118]
(Gen. 36 | Time: 37.095) BestSol = Solution: cost=[3341.0], size=[121]
(Gen. 39 | Time: 39.687) BestSol = Solution: cost=[3375.0], size=[120]
(Gen. 40 | Time: 40.492) BestSol = Solution: cost=[3432.0], size=[121]
(Gen. 41 | Time: 41.378) BestSol = Solution: cost=[3465.0], size=[118]
(Gen. 44 | Time: 44.841) BestSol = Solution: cost=[3523.0], size=[123]
(Gen. 47 | Time: 48.103) BestSol = Solution: cost=[3557.0], size=[124]
(Gen. 49 | Time: 49.989) BestSol = Solution: cost=[3592.0], size=[122]
(Gen. 50 | Time: 50.993) BestSol = Solution: cost=[3613.0], size=[116]
(Gen. 53 | Time: 53.952) BestSol = Solution: cost=[3668.0], size=[120]
(Gen. 54 | Time: 54.9) BestSol = Solution: cost=[3699.0], size=[111]
(Gen. 60 | Time: 61.899) BestSol = Solution: cost=[3730.0], size=[114]
(Gen. 61 | Time: 62.939) BestSol = Solution: cost=[3766.0], size=[115]
(Gen. 66 | Time: 67.333) BestSol = Solution: cost=[3780.0], size=[119]
(Gen. 67 | Time: 68.334) BestSol = Solution: cost=[3783.0], size=[122]
(Gen. 68 | Time: 69.617) BestSol = Solution: cost=[3790.0], size=[119]
