(Gen. 0) BestSol = Solution: cost=[861.0], size=[91]
(Gen. 1 | Time: 1.878) BestSol = Solution: cost=[1013.0], size=[103]
(Gen. 2 | Time: 2.858) BestSol = Solution: cost=[1018.0], size=[101]
(Gen. 3 | Time: 3.9) BestSol = Solution: cost=[1138.0], size=[105]
(Gen. 4 | Time: 4.525) BestSol = Solution: cost=[1485.0], size=[103]
(Gen. 6 | Time: 6.38) BestSol = Solution: cost=[1492.0], size=[104]
(Gen. 7 | Time: 7.493) BestSol = Solution: cost=[1802.0], size=[114]
(Gen. 12 | Time: 12.511) BestSol = Solution: cost=[1954.0], size=[111]
(Gen. 13 | Time: 13.236) BestSol = Solution: cost=[2004.0], size=[105]
(Gen. 15 | Time: 15.401) BestSol = Solution: cost=[2081.0], size=[111]
(Gen. 16 | Time: 16.624) BestSol = Solution: cost=[2158.0], size=[108]
(Gen. 17 | Time: 17.37) BestSol = Solution: cost=[2188.0], size=[111]
(Gen. 18 | Time: 18.287) BestSol = Solution: cost=[2444.0], size=[109]
(Gen. 19 | Time: 19.337) BestSol = Solution: cost=[2445.0], size=[110]
(Gen. 20 | Time: 20.446) BestSol = Solution: cost=[2592.0], size=[103]
(Gen. 22 | Time: 22.46) BestSol = Solution: cost=[2625.0], size=[108]
(Gen. 24 | Time: 24.092) BestSol = Solution: cost=[2690.0], size=[103]
(Gen. 25 | Time: 24.768) BestSol = Solution: cost=[2759.0], size=[104]
(Gen. 26 | Time: 25.848) BestSol = Solution: cost=[2823.0], size=[106]
(Gen. 27 | Time: 26.739) BestSol = Solution: cost=[3074.0], size=[111]
(Gen. 33 | Time: 33.008) BestSol = Solution: cost=[3080.0], size=[112]
(Gen. 34 | Time: 33.802) BestSol = Solution: cost=[3150.0], size=[110]
(Gen. 37 | Time: 36.35) BestSol = Solution: cost=[3161.0], size=[111]
(Gen. 38 | Time: 37.312) BestSol = Solution: cost=[3201.0], size=[113]
(Gen. 40 | Time: 39.149) BestSol = Solution: cost=[3204.0], size=[112]
(Gen. 41 | Time: 40.284) BestSol = Solution: cost=[3245.0], size=[111]
(Gen. 42 | Time: 41.291) BestSol = Solution: cost=[3282.0], size=[109]
(Gen. 44 | Time: 42.651) BestSol = Solution: cost=[3400.0], size=[114]
(Gen. 47 | Time: 44.797) BestSol = Solution: cost=[3472.0], size=[119]
(Gen. 53 | Time: 49.093) BestSol = Solution: cost=[3519.0], size=[112]
(Gen. 54 | Time: 49.798) BestSol = Solution: cost=[3568.0], size=[115]
(Gen. 55 | Time: 50.478) BestSol = Solution: cost=[3605.0], size=[119]
(Gen. 57 | Time: 52.124) BestSol = Solution: cost=[3724.0], size=[117]
(Gen. 65 | Time: 58.659) BestSol = Solution: cost=[3732.0], size=[117]
(Gen. 66 | Time: 59.39) BestSol = Solution: cost=[3760.0], size=[117]
(Gen. 67 | Time: 60.126) BestSol = Solution: cost=[3826.0], size=[123]
(Gen. 74 | Time: 65.585) BestSol = Solution: cost=[3832.0], size=[119]
(Gen. 79 | Time: 70.533) BestSol = Solution: cost=[3842.0], size=[123]
(Gen. 80 | Time: 71.542) BestSol = Solution: cost=[3862.0], size=[123]
(Gen. 84 | Time: 74.604) BestSol = Solution: cost=[3991.0], size=[124]
(Gen. 96 | Time: 83.445) BestSol = Solution: cost=[3995.0], size=[127]
(Gen. 102 | Time: 88.421) BestSol = Solution: cost=[4086.0], size=[125]
(Gen. 111 | Time: 95.122) BestSol = Solution: cost=[4093.0], size=[123]
(Gen. 116 | Time: 98.894) BestSol = Solution: cost=[4101.0], size=[122]
(Gen. 118 | Time: 100.76) BestSol = Solution: cost=[4190.0], size=[121]
(Gen. 128 | Time: 109.768) BestSol = Solution: cost=[4191.0], size=[120]
(Gen. 131 | Time: 112.266) BestSol = Solution: cost=[4212.0], size=[123]
(Gen. 150 | Time: 128.203) BestSol = Solution: cost=[4214.0], size=[122]
(Gen. 151 | Time: 129.167) BestSol = Solution: cost=[4222.0], size=[122]
(Gen. 153 | Time: 130.975) BestSol = Solution: cost=[4247.0], size=[120]
(Gen. 157 | Time: 134.349) BestSol = Solution: cost=[4265.0], size=[117]
(Gen. 160 | Time: 136.431) BestSol = Solution: cost=[4274.0], size=[117]
(Gen. 177 | Time: 149.712) BestSol = Solution: cost=[4292.0], size=[119]
(Gen. 191 | Time: 161.092) BestSol = Solution: cost=[4297.0], size=[116]
(Gen. 197 | Time: 166.04) BestSol = Solution: cost=[4307.0], size=[119]
(Gen. 207 | Time: 174.131) BestSol = Solution: cost=[4312.0], size=[120]
(Gen. 209 | Time: 175.806) BestSol = Solution: cost=[4361.0], size=[121]
(Gen. 238 | Time: 198.295) BestSol = Solution: cost=[4375.0], size=[122]
(Gen. 241 | Time: 200.452) BestSol = Solution: cost=[4394.0], size=[121]
(Gen. 249 | Time: 206.203) BestSol = Solution: cost=[4395.0], size=[122]
(Gen. 268 | Time: 222.296) BestSol = Solution: cost=[4457.0], size=[123]
(Gen. 289 | Time: 239.302) BestSol = Solution: cost=[4501.0], size=[122]
(Gen. 386 | Time: 315.867) BestSol = Solution: cost=[4518.0], size=[123]
(Gen. 474 | Time: 384.754) BestSol = Solution: cost=[4526.0], size=[123]
(Gen. 512 | Time: 414.072) BestSol = Solution: cost=[4529.0], size=[124]
(Gen. 523 | Time: 423.658) BestSol = Solution: cost=[4530.0], size=[125]
(Gen. 579 | Time: 470.494) BestSol = Solution: cost=[4540.0], size=[124]
maxVal = Solution: cost=[4540.0], size=[124]
Time = 600.821 seg
