(Gen. 0) BestSol = Solution: cost=[861.0], size=[91]
(Gen. 1 | Time: 1.506) BestSol = Solution: cost=[1013.0], size=[103]
(Gen. 2 | Time: 2.233) BestSol = Solution: cost=[1037.0], size=[109]
(Gen. 3 | Time: 3.488) BestSol = Solution: cost=[1250.0], size=[112]
(Gen. 4 | Time: 4.529) BestSol = Solution: cost=[1452.0], size=[114]
(Gen. 7 | Time: 7.422) BestSol = Solution: cost=[1717.0], size=[113]
(Gen. 8 | Time: 8.118) BestSol = Solution: cost=[1844.0], size=[108]
(Gen. 10 | Time: 9.542) BestSol = Solution: cost=[1853.0], size=[108]
(Gen. 11 | Time: 10.235) BestSol = Solution: cost=[1949.0], size=[112]
(Gen. 12 | Time: 11.156) BestSol = Solution: cost=[2009.0], size=[108]
(Gen. 13 | Time: 12.536) BestSol = Solution: cost=[2205.0], size=[103]
(Gen. 14 | Time: 13.95) BestSol = Solution: cost=[2349.0], size=[114]
(Gen. 16 | Time: 16.368) BestSol = Solution: cost=[2405.0], size=[113]
(Gen. 17 | Time: 17.262) BestSol = Solution: cost=[2566.0], size=[112]
(Gen. 18 | Time: 18.554) BestSol = Solution: cost=[2679.0], size=[113]
(Gen. 20 | Time: 20.585) BestSol = Solution: cost=[2769.0], size=[115]
(Gen. 21 | Time: 21.946) BestSol = Solution: cost=[2901.0], size=[116]
(Gen. 24 | Time: 25.409) BestSol = Solution: cost=[2983.0], size=[117]
(Gen. 26 | Time: 27.937) BestSol = Solution: cost=[3130.0], size=[113]
(Gen. 29 | Time: 31.735) BestSol = Solution: cost=[3156.0], size=[118]
(Gen. 30 | Time: 32.733) BestSol = Solution: cost=[3264.0], size=[109]
(Gen. 34 | Time: 36.27) BestSol = Solution: cost=[3327.0], size=[113]
(Gen. 36 | Time: 38.045) BestSol = Solution: cost=[3353.0], size=[112]
(Gen. 39 | Time: 42.05) BestSol = Solution: cost=[3402.0], size=[119]
(Gen. 40 | Time: 43.021) BestSol = Solution: cost=[3589.0], size=[116]
(Gen. 46 | Time: 49.484) BestSol = Solution: cost=[3612.0], size=[117]
(Gen. 47 | Time: 50.331) BestSol = Solution: cost=[3738.0], size=[114]
(Gen. 51 | Time: 54.968) BestSol = Solution: cost=[3785.0], size=[115]
(Gen. 54 | Time: 57.689) BestSol = Solution: cost=[3857.0], size=[122]
(Gen. 62 | Time: 66.756) BestSol = Solution: cost=[3876.0], size=[122]
(Gen. 64 | Time: 69.325) BestSol = Solution: cost=[3880.0], size=[119]
(Gen. 68 | Time: 73.025) BestSol = Solution: cost=[4004.0], size=[121]
(Gen. 74 | Time: 80.081) BestSol = Solution: cost=[4034.0], size=[119]
(Gen. 78 | Time: 83.497) BestSol = Solution: cost=[4093.0], size=[114]
(Gen. 79 | Time: 84.378) BestSol = Solution: cost=[4141.0], size=[122]
(Gen. 93 | Time: 98.324) BestSol = Solution: cost=[4160.0], size=[125]
(Gen. 95 | Time: 100.931) BestSol = Solution: cost=[4184.0], size=[122]
(Gen. 96 | Time: 102.232) BestSol = Solution: cost=[4207.0], size=[121]
(Gen. 99 | Time: 105.428) BestSol = Solution: cost=[4213.0], size=[119]
(Gen. 100 | Time: 106.361) BestSol = Solution: cost=[4257.0], size=[120]
(Gen. 102 | Time: 108.18) BestSol = Solution: cost=[4270.0], size=[122]
(Gen. 134 | Time: 141.52) BestSol = Solution: cost=[4292.0], size=[121]
(Gen. 158 | Time: 165.638) BestSol = Solution: cost=[4306.0], size=[122]
(Gen. 163 | Time: 170.543) BestSol = Solution: cost=[4327.0], size=[121]
(Gen. 166 | Time: 173.497) BestSol = Solution: cost=[4414.0], size=[117]
(Gen. 183 | Time: 190.789) BestSol = Solution: cost=[4427.0], size=[123]
(Gen. 211 | Time: 219.201) BestSol = Solution: cost=[4439.0], size=[123]
(Gen. 219 | Time: 226.669) BestSol = Solution: cost=[4469.0], size=[123]
(Gen. 281 | Time: 287.799) BestSol = Solution: cost=[4486.0], size=[125]
(Gen. 350 | Time: 367.347) BestSol = Solution: cost=[4522.0], size=[124]
(Gen. 357 | Time: 376.481) BestSol = Solution: cost=[4531.0], size=[122]
(Gen. 396 | Time: 420.854) BestSol = Solution: cost=[4538.0], size=[121]
(Gen. 462 | Time: 489.202) BestSol = Solution: cost=[4574.0], size=[117]
(Gen. 469 | Time: 497.179) BestSol = Solution: cost=[4629.0], size=[116]
(Gen. 556 | Time: 588.473) BestSol = Solution: cost=[4647.0], size=[117]
maxVal = Solution: cost=[4647.0], size=[117]
Time = 600.436 seg
