(Gen. 0) BestSol = Solution: cost=[861.0], size=[91]
(Gen. 1 | Time: 1.007) BestSol = Solution: cost=[1013.0], size=[103]
(Gen. 2 | Time: 1.945) BestSol = Solution: cost=[1043.0], size=[98]
(Gen. 3 | Time: 4.159) BestSol = Solution: cost=[1047.0], size=[102]
(Gen. 4 | Time: 5.659) BestSol = Solution: cost=[1253.0], size=[100]
(Gen. 5 | Time: 6.749) BestSol = Solution: cost=[1394.0], size=[100]
(Gen. 7 | Time: 11.295) BestSol = Solution: cost=[1593.0], size=[106]
(Gen. 9 | Time: 13.741) BestSol = Solution: cost=[1680.0], size=[104]
(Gen. 10 | Time: 14.865) BestSol = Solution: cost=[1746.0], size=[102]
(Gen. 11 | Time: 15.56) BestSol = Solution: cost=[1874.0], size=[106]
(Gen. 12 | Time: 16.45) BestSol = Solution: cost=[2141.0], size=[99]
(Gen. 14 | Time: 18.578) BestSol = Solution: cost=[2243.0], size=[105]
(Gen. 15 | Time: 19.712) BestSol = Solution: cost=[2370.0], size=[102]
(Gen. 18 | Time: 22.546) BestSol = Solution: cost=[2478.0], size=[109]
(Gen. 20 | Time: 24.807) BestSol = Solution: cost=[2506.0], size=[108]
(Gen. 21 | Time: 25.743) BestSol = Solution: cost=[2615.0], size=[104]
(Gen. 22 | Time: 26.673) BestSol = Solution: cost=[2622.0], size=[113]
(Gen. 24 | Time: 28.319) BestSol = Solution: cost=[2668.0], size=[114]
(Gen. 25 | Time: 29.189) BestSol = Solution: cost=[2824.0], size=[110]
(Gen. 26 | Time: 30.037) BestSol = Solution: cost=[2935.0], size=[117]
(Gen. 28 | Time: 32.269) BestSol = Solution: cost=[3124.0], size=[109]
(Gen. 29 | Time: 33.365) BestSol = Solution: cost=[3164.0], size=[110]
(Gen. 33 | Time: 37.139) BestSol = Solution: cost=[3220.0], size=[113]
(Gen. 35 | Time: 38.771) BestSol = Solution: cost=[3323.0], size=[111]
(Gen. 36 | Time: 39.697) BestSol = Solution: cost=[3345.0], size=[111]
(Gen. 40 | Time: 44.302) BestSol = Solution: cost=[3386.0], size=[112]
(Gen. 41 | Time: 45.283) BestSol = Solution: cost=[3490.0], size=[120]
(Gen. 43 | Time: 47.1) BestSol = Solution: cost=[3532.0], size=[118]
(Gen. 47 | Time: 50.477) BestSol = Solution: cost=[3559.0], size=[118]
(Gen. 48 | Time: 51.601) BestSol = Solution: cost=[3565.0], size=[117]
(Gen. 49 | Time: 52.7) BestSol = Solution: cost=[3597.0], size=[119]
(Gen. 50 | Time: 53.837) BestSol = Solution: cost=[3720.0], size=[120]
(Gen. 53 | Time: 56.853) BestSol = Solution: cost=[3737.0], size=[122]
(Gen. 54 | Time: 57.695) BestSol = Solution: cost=[3748.0], size=[119]
(Gen. 56 | Time: 59.427) BestSol = Solution: cost=[3765.0], size=[114]
(Gen. 57 | Time: 60.376) BestSol = Solution: cost=[3779.0], size=[121]
(Gen. 58 | Time: 61.28) BestSol = Solution: cost=[3880.0], size=[121]
(Gen. 61 | Time: 64.152) BestSol = Solution: cost=[3934.0], size=[119]
(Gen. 68 | Time: 70.168) BestSol = Solution: cost=[3936.0], size=[114]
(Gen. 69 | Time: 71.057) BestSol = Solution: cost=[4004.0], size=[121]
(Gen. 72 | Time: 73.853) BestSol = Solution: cost=[4043.0], size=[117]
(Gen. 80 | Time: 82.267) BestSol = Solution: cost=[4094.0], size=[118]
(Gen. 82 | Time: 84.418) BestSol = Solution: cost=[4116.0], size=[117]
(Gen. 83 | Time: 85.29) BestSol = Solution: cost=[4197.0], size=[119]
(Gen. 84 | Time: 86.249) BestSol = Solution: cost=[4207.0], size=[118]
(Gen. 106 | Time: 107.635) BestSol = Solution: cost=[4214.0], size=[120]
(Gen. 112 | Time: 114.688) BestSol = Solution: cost=[4253.0], size=[119]
(Gen. 113 | Time: 116.16) BestSol = Solution: cost=[4287.0], size=[120]
(Gen. 114 | Time: 117.27) BestSol = Solution: cost=[4291.0], size=[120]
(Gen. 115 | Time: 118.395) BestSol = Solution: cost=[4324.0], size=[117]
(Gen. 117 | Time: 120.729) BestSol = Solution: cost=[4333.0], size=[118]
(Gen. 124 | Time: 127.57) BestSol = Solution: cost=[4350.0], size=[119]
(Gen. 142 | Time: 147.379) BestSol = Solution: cost=[4456.0], size=[118]
(Gen. 167 | Time: 177.107) BestSol = Solution: cost=[4494.0], size=[119]
(Gen. 183 | Time: 195.148) BestSol = Solution: cost=[4499.0], size=[119]
(Gen. 236 | Time: 253.366) BestSol = Solution: cost=[4517.0], size=[118]
(Gen. 261 | Time: 276.916) BestSol = Solution: cost=[4531.0], size=[117]
(Gen. 283 | Time: 297.166) BestSol = Solution: cost=[4552.0], size=[116]
(Gen. 380 | Time: 400.079) BestSol = Solution: cost=[4555.0], size=[114]
(Gen. 437 | Time: 462.508) BestSol = Solution: cost=[4557.0], size=[111]
(Gen. 485 | Time: 510.28) BestSol = Solution: cost=[4585.0], size=[113]
(Gen. 513 | Time: 538.853) BestSol = Solution: cost=[4612.0], size=[115]
(Gen. 552 | Time: 580.029) BestSol = Solution: cost=[4618.0], size=[114]
maxVal = Solution: cost=[4618.0], size=[114]
Time = 600.682 seg
