(Gen. 0) BestSol = Solution: cost=[1938.0], size=[207]
(Gen. 1 | Time: 5.836) BestSol = Solution: cost=[2215.0], size=[213]
(Gen. 2 | Time: 12.472) BestSol = Solution: cost=[2595.0], size=[202]
(Gen. 3 | Time: 19.273) BestSol = Solution: cost=[3243.0], size=[212]
(Gen. 7 | Time: 47.768) BestSol = Solution: cost=[3507.0], size=[217]
(Gen. 8 | Time: 55.044) BestSol = Solution: cost=[3779.0], size=[224]
(Gen. 10 | Time: 68.35) BestSol = Solution: cost=[4112.0], size=[204]
(Gen. 11 | Time: 75.352) BestSol = Solution: cost=[4113.0], size=[223]
(Gen. 13 | Time: 89.205) BestSol = Solution: cost=[4291.0], size=[222]
(Gen. 14 | Time: 96.492) BestSol = Solution: cost=[4425.0], size=[216]
(Gen. 15 | Time: 103.347) BestSol = Solution: cost=[4536.0], size=[226]
(Gen. 16 | Time: 110.662) BestSol = Solution: cost=[4646.0], size=[222]
(Gen. 17 | Time: 117.443) BestSol = Solution: cost=[4959.0], size=[221]
(Gen. 18 | Time: 124.611) BestSol = Solution: cost=[4977.0], size=[220]
(Gen. 19 | Time: 131.398) BestSol = Solution: cost=[5247.0], size=[231]
(Gen. 21 | Time: 145.655) BestSol = Solution: cost=[5638.0], size=[216]
(Gen. 24 | Time: 166.478) BestSol = Solution: cost=[5683.0], size=[224]
(Gen. 25 | Time: 173.585) BestSol = Solution: cost=[5807.0], size=[215]
(Gen. 26 | Time: 180.427) BestSol = Solution: cost=[5990.0], size=[224]
(Gen. 27 | Time: 187.276) BestSol = Solution: cost=[6075.0], size=[225]
(Gen. 28 | Time: 194.32) BestSol = Solution: cost=[6216.0], size=[227]
(Gen. 30 | Time: 208.879) BestSol = Solution: cost=[6349.0], size=[219]
(Gen. 31 | Time: 216.116) BestSol = Solution: cost=[6480.0], size=[219]
(Gen. 32 | Time: 223.235) BestSol = Solution: cost=[6489.0], size=[217]
(Gen. 35 | Time: 244.943) BestSol = Solution: cost=[6908.0], size=[223]
(Gen. 36 | Time: 251.954) BestSol = Solution: cost=[7075.0], size=[213]
(Gen. 38 | Time: 266.389) BestSol = Solution: cost=[7122.0], size=[227]
(Gen. 39 | Time: 273.477) BestSol = Solution: cost=[7210.0], size=[223]
(Gen. 40 | Time: 280.403) BestSol = Solution: cost=[7668.0], size=[226]
(Gen. 42 | Time: 294.47) BestSol = Solution: cost=[7822.0], size=[223]
(Gen. 44 | Time: 308.851) BestSol = Solution: cost=[7886.0], size=[222]
(Gen. 47 | Time: 332.342) BestSol = Solution: cost=[7998.0], size=[221]
(Gen. 48 | Time: 340.084) BestSol = Solution: cost=[8367.0], size=[217]
(Gen. 56 | Time: 400.317) BestSol = Solution: cost=[8414.0], size=[224]
(Gen. 61 | Time: 436.669) BestSol = Solution: cost=[8479.0], size=[225]
(Gen. 62 | Time: 443.852) BestSol = Solution: cost=[8630.0], size=[231]
(Gen. 71 | Time: 508.212) BestSol = Solution: cost=[8676.0], size=[235]
(Gen. 73 | Time: 523.129) BestSol = Solution: cost=[8751.0], size=[231]
(Gen. 74 | Time: 530.043) BestSol = Solution: cost=[8878.0], size=[239]
(Gen. 79 | Time: 565.812) BestSol = Solution: cost=[8886.0], size=[227]
(Gen. 80 | Time: 572.902) BestSol = Solution: cost=[8988.0], size=[228]
maxVal = Solution: cost=[8988.0], size=[228]
Time = 602.007 seg
