(Gen. 0) BestSol = Solution: cost=[861.0], size=[91]
(Gen. 1 | Time: 1.156) BestSol = Solution: cost=[1013.0], size=[103]
(Gen. 2 | Time: 2.264) BestSol = Solution: cost=[1466.0], size=[102]
(Gen. 4 | Time: 4.689) BestSol = Solution: cost=[1563.0], size=[99]
(Gen. 6 | Time: 6.325) BestSol = Solution: cost=[1620.0], size=[106]
(Gen. 8 | Time: 7.556) BestSol = Solution: cost=[1816.0], size=[103]
(Gen. 9 | Time: 8.187) BestSol = Solution: cost=[1857.0], size=[109]
(Gen. 10 | Time: 8.782) BestSol = Solution: cost=[1871.0], size=[110]
(Gen. 11 | Time: 9.338) BestSol = Solution: cost=[1980.0], size=[106]
(Gen. 12 | Time: 10.478) BestSol = Solution: cost=[2074.0], size=[108]
(Gen. 13 | Time: 11.092) BestSol = Solution: cost=[2204.0], size=[107]
(Gen. 16 | Time: 12.849) BestSol = Solution: cost=[2351.0], size=[107]
(Gen. 17 | Time: 13.492) BestSol = Solution: cost=[2457.0], size=[111]
(Gen. 19 | Time: 14.885) BestSol = Solution: cost=[2580.0], size=[112]
(Gen. 20 | Time: 15.614) BestSol = Solution: cost=[2615.0], size=[108]
(Gen. 21 | Time: 16.526) BestSol = Solution: cost=[2664.0], size=[110]
(Gen. 24 | Time: 18.963) BestSol = Solution: cost=[2867.0], size=[122]
(Gen. 26 | Time: 20.503) BestSol = Solution: cost=[2903.0], size=[115]
(Gen. 30 | Time: 23.47) BestSol = Solution: cost=[2929.0], size=[110]
(Gen. 31 | Time: 24.123) BestSol = Solution: cost=[2998.0], size=[113]
(Gen. 32 | Time: 24.838) BestSol = Solution: cost=[3149.0], size=[118]
(Gen. 33 | Time: 25.74) BestSol = Solution: cost=[3201.0], size=[115]
(Gen. 35 | Time: 27.194) BestSol = Solution: cost=[3245.0], size=[111]
(Gen. 41 | Time: 31.752) BestSol = Solution: cost=[3247.0], size=[113]
(Gen. 42 | Time: 32.398) BestSol = Solution: cost=[3317.0], size=[117]
(Gen. 43 | Time: 33.422) BestSol = Solution: cost=[3447.0], size=[110]
(Gen. 46 | Time: 35.367) BestSol = Solution: cost=[3510.0], size=[119]
(Gen. 48 | Time: 36.631) BestSol = Solution: cost=[3542.0], size=[116]
(Gen. 49 | Time: 37.31) BestSol = Solution: cost=[3577.0], size=[121]
(Gen. 57 | Time: 43.326) BestSol = Solution: cost=[3593.0], size=[121]
(Gen. 58 | Time: 43.996) BestSol = Solution: cost=[3623.0], size=[123]
(Gen. 59 | Time: 44.724) BestSol = Solution: cost=[3678.0], size=[117]
(Gen. 63 | Time: 48.337) BestSol = Solution: cost=[3799.0], size=[121]
(Gen. 64 | Time: 49.118) BestSol = Solution: cost=[3816.0], size=[120]
(Gen. 65 | Time: 49.874) BestSol = Solution: cost=[3961.0], size=[115]
(Gen. 81 | Time: 62.096) BestSol = Solution: cost=[4006.0], size=[110]
(Gen. 85 | Time: 65.413) BestSol = Solution: cost=[4026.0], size=[109]
(Gen. 87 | Time: 66.921) BestSol = Solution: cost=[4043.0], size=[112]
(Gen. 89 | Time: 68.381) BestSol = Solution: cost=[4104.0], size=[113]
(Gen. 106 | Time: 81.226) BestSol = Solution: cost=[4195.0], size=[119]
(Gen. 118 | Time: 90.074) BestSol = Solution: cost=[4268.0], size=[114]
(Gen. 119 | Time: 90.764) BestSol = Solution: cost=[4273.0], size=[114]
(Gen. 120 | Time: 91.534) BestSol = Solution: cost=[4298.0], size=[117]
(Gen. 123 | Time: 93.599) BestSol = Solution: cost=[4340.0], size=[117]
(Gen. 133 | Time: 101.487) BestSol = Solution: cost=[4349.0], size=[121]
(Gen. 139 | Time: 105.96) BestSol = Solution: cost=[4355.0], size=[120]
(Gen. 140 | Time: 106.634) BestSol = Solution: cost=[4369.0], size=[120]
(Gen. 147 | Time: 111.86) BestSol = Solution: cost=[4409.0], size=[119]
(Gen. 149 | Time: 113.277) BestSol = Solution: cost=[4414.0], size=[120]
(Gen. 157 | Time: 118.761) BestSol = Solution: cost=[4415.0], size=[119]
(Gen. 161 | Time: 121.9) BestSol = Solution: cost=[4434.0], size=[119]
(Gen. 180 | Time: 137.382) BestSol = Solution: cost=[4435.0], size=[118]
(Gen. 238 | Time: 183.364) BestSol = Solution: cost=[4449.0], size=[117]
(Gen. 260 | Time: 201.611) BestSol = Solution: cost=[4473.0], size=[118]
(Gen. 264 | Time: 205.125) BestSol = Solution: cost=[4490.0], size=[122]
(Gen. 300 | Time: 231.975) BestSol = Solution: cost=[4504.0], size=[122]
(Gen. 419 | Time: 321.314) BestSol = Solution: cost=[4514.0], size=[123]
(Gen. 427 | Time: 326.998) BestSol = Solution: cost=[4548.0], size=[126]
(Gen. 434 | Time: 332.025) BestSol = Solution: cost=[4560.0], size=[124]
(Gen. 454 | Time: 346.694) BestSol = Solution: cost=[4574.0], size=[123]
(Gen. 501 | Time: 380.936) BestSol = Solution: cost=[4585.0], size=[122]
(Gen. 510 | Time: 387.591) BestSol = Solution: cost=[4587.0], size=[123]
(Gen. 514 | Time: 390.79) BestSol = Solution: cost=[4603.0], size=[124]
(Gen. 637 | Time: 484.518) BestSol = Solution: cost=[4613.0], size=[124]
(Gen. 714 | Time: 541.82) BestSol = Solution: cost=[4615.0], size=[123]
maxVal = Solution: cost=[4615.0], size=[123]
Time = 600.373 seg
