(Gen. 0) BestSol = Solution: cost=[861.0], size=[91]
(Gen. 1 | Time: 0.88) BestSol = Solution: cost=[1013.0], size=[103]
(Gen. 2 | Time: 2.573) BestSol = Solution: cost=[1141.0], size=[99]
(Gen. 3 | Time: 4.04) BestSol = Solution: cost=[1209.0], size=[97]
(Gen. 4 | Time: 4.64) BestSol = Solution: cost=[1258.0], size=[103]
(Gen. 5 | Time: 5.388) BestSol = Solution: cost=[1489.0], size=[102]
(Gen. 8 | Time: 9.077) BestSol = Solution: cost=[1533.0], size=[100]
(Gen. 9 | Time: 9.888) BestSol = Solution: cost=[1617.0], size=[99]
(Gen. 10 | Time: 10.969) BestSol = Solution: cost=[1837.0], size=[107]
(Gen. 12 | Time: 12.727) BestSol = Solution: cost=[1870.0], size=[99]
(Gen. 13 | Time: 13.794) BestSol = Solution: cost=[1968.0], size=[96]
(Gen. 15 | Time: 15.839) BestSol = Solution: cost=[2011.0], size=[116]
(Gen. 16 | Time: 17.25) BestSol = Solution: cost=[2046.0], size=[116]
(Gen. 17 | Time: 18.151) BestSol = Solution: cost=[2069.0], size=[114]
(Gen. 18 | Time: 18.871) BestSol = Solution: cost=[2089.0], size=[114]
(Gen. 19 | Time: 19.665) BestSol = Solution: cost=[2247.0], size=[115]
(Gen. 20 | Time: 20.571) BestSol = Solution: cost=[2324.0], size=[105]
(Gen. 21 | Time: 21.787) BestSol = Solution: cost=[2571.0], size=[109]
(Gen. 24 | Time: 24.908) BestSol = Solution: cost=[2643.0], size=[115]
(Gen. 27 | Time: 27.876) BestSol = Solution: cost=[2704.0], size=[119]
(Gen. 28 | Time: 28.926) BestSol = Solution: cost=[2745.0], size=[115]
(Gen. 29 | Time: 30.109) BestSol = Solution: cost=[2757.0], size=[111]
(Gen. 30 | Time: 31.104) BestSol = Solution: cost=[2859.0], size=[119]
(Gen. 33 | Time: 33.715) BestSol = Solution: cost=[2940.0], size=[118]
(Gen. 34 | Time: 34.679) BestSol = Solution: cost=[3068.0], size=[116]
(Gen. 36 | Time: 36.607) BestSol = Solution: cost=[3073.0], size=[114]
(Gen. 40 | Time: 41.375) BestSol = Solution: cost=[3150.0], size=[114]
(Gen. 41 | Time: 42.331) BestSol = Solution: cost=[3185.0], size=[114]
(Gen. 43 | Time: 44.294) BestSol = Solution: cost=[3212.0], size=[114]
(Gen. 44 | Time: 45.165) BestSol = Solution: cost=[3250.0], size=[121]
(Gen. 45 | Time: 46.049) BestSol = Solution: cost=[3319.0], size=[119]
(Gen. 47 | Time: 48.446) BestSol = Solution: cost=[3353.0], size=[112]
(Gen. 48 | Time: 49.456) BestSol = Solution: cost=[3393.0], size=[112]
(Gen. 50 | Time: 51.892) BestSol = Solution: cost=[3497.0], size=[116]
(Gen. 58 | Time: 59.66) BestSol = Solution: cost=[3580.0], size=[109]
(Gen. 60 | Time: 61.728) BestSol = Solution: cost=[3586.0], size=[108]
(Gen. 64 | Time: 65.892) BestSol = Solution: cost=[3633.0], size=[112]
(Gen. 65 | Time: 66.913) BestSol = Solution: cost=[3722.0], size=[116]
