(Gen. 0) BestSol = Solution: cost=[861.0], size=[91]
(Gen. 1 | Time: 1.007) BestSol = Solution: cost=[1013.0], size=[103]
(Gen. 2 | Time: 1.991) BestSol = Solution: cost=[1050.0], size=[111]
(Gen. 3 | Time: 3.67) BestSol = Solution: cost=[1292.0], size=[101]
(Gen. 4 | Time: 4.891) BestSol = Solution: cost=[1368.0], size=[108]
(Gen. 5 | Time: 6.354) BestSol = Solution: cost=[1531.0], size=[99]
(Gen. 6 | Time: 7.347) BestSol = Solution: cost=[1630.0], size=[106]
(Gen. 9 | Time: 11.269) BestSol = Solution: cost=[1861.0], size=[103]
(Gen. 11 | Time: 13.814) BestSol = Solution: cost=[2012.0], size=[109]
(Gen. 12 | Time: 14.955) BestSol = Solution: cost=[2042.0], size=[104]
(Gen. 14 | Time: 16.806) BestSol = Solution: cost=[2058.0], size=[111]
(Gen. 15 | Time: 18.186) BestSol = Solution: cost=[2119.0], size=[106]
(Gen. 16 | Time: 19.214) BestSol = Solution: cost=[2452.0], size=[114]
(Gen. 20 | Time: 23.027) BestSol = Solution: cost=[2456.0], size=[115]
(Gen. 21 | Time: 24.316) BestSol = Solution: cost=[2584.0], size=[116]
(Gen. 24 | Time: 26.784) BestSol = Solution: cost=[2607.0], size=[119]
(Gen. 25 | Time: 27.607) BestSol = Solution: cost=[2758.0], size=[113]
(Gen. 26 | Time: 28.611) BestSol = Solution: cost=[2821.0], size=[112]
(Gen. 27 | Time: 29.399) BestSol = Solution: cost=[2891.0], size=[115]
(Gen. 28 | Time: 30.527) BestSol = Solution: cost=[2973.0], size=[118]
(Gen. 32 | Time: 34.617) BestSol = Solution: cost=[3058.0], size=[113]
(Gen. 33 | Time: 35.36) BestSol = Solution: cost=[3084.0], size=[119]
(Gen. 35 | Time: 36.835) BestSol = Solution: cost=[3161.0], size=[116]
(Gen. 36 | Time: 37.683) BestSol = Solution: cost=[3269.0], size=[125]
(Gen. 37 | Time: 38.516) BestSol = Solution: cost=[3301.0], size=[126]
(Gen. 39 | Time: 40.99) BestSol = Solution: cost=[3350.0], size=[114]
(Gen. 40 | Time: 42.113) BestSol = Solution: cost=[3456.0], size=[122]
(Gen. 42 | Time: 43.811) BestSol = Solution: cost=[3650.0], size=[113]
(Gen. 48 | Time: 48.833) BestSol = Solution: cost=[3699.0], size=[130]
(Gen. 51 | Time: 51.672) BestSol = Solution: cost=[3811.0], size=[124]
(Gen. 57 | Time: 58.454) BestSol = Solution: cost=[3813.0], size=[125]
(Gen. 61 | Time: 62.629) BestSol = Solution: cost=[3880.0], size=[123]
(Gen. 64 | Time: 65.647) BestSol = Solution: cost=[3884.0], size=[121]
(Gen. 65 | Time: 66.787) BestSol = Solution: cost=[3953.0], size=[125]
(Gen. 69 | Time: 70.488) BestSol = Solution: cost=[3957.0], size=[123]
(Gen. 70 | Time: 71.371) BestSol = Solution: cost=[3967.0], size=[125]
(Gen. 74 | Time: 75.414) BestSol = Solution: cost=[3982.0], size=[125]
(Gen. 75 | Time: 76.395) BestSol = Solution: cost=[3994.0], size=[123]
(Gen. 76 | Time: 77.34) BestSol = Solution: cost=[4026.0], size=[127]
(Gen. 79 | Time: 80.188) BestSol = Solution: cost=[4090.0], size=[128]
(Gen. 85 | Time: 86.387) BestSol = Solution: cost=[4093.0], size=[127]
(Gen. 86 | Time: 87.182) BestSol = Solution: cost=[4128.0], size=[126]
(Gen. 93 | Time: 93.34) BestSol = Solution: cost=[4136.0], size=[126]
(Gen. 95 | Time: 95.587) BestSol = Solution: cost=[4206.0], size=[129]
(Gen. 96 | Time: 96.407) BestSol = Solution: cost=[4212.0], size=[124]
(Gen. 101 | Time: 100.567) BestSol = Solution: cost=[4222.0], size=[124]
(Gen. 102 | Time: 101.392) BestSol = Solution: cost=[4325.0], size=[124]
(Gen. 108 | Time: 106.275) BestSol = Solution: cost=[4375.0], size=[125]
(Gen. 117 | Time: 114.264) BestSol = Solution: cost=[4392.0], size=[124]
(Gen. 162 | Time: 159.048) BestSol = Solution: cost=[4445.0], size=[124]
(Gen. 181 | Time: 176.927) BestSol = Solution: cost=[4446.0], size=[123]
(Gen. 184 | Time: 180.184) BestSol = Solution: cost=[4449.0], size=[122]
(Gen. 213 | Time: 210.429) BestSol = Solution: cost=[4453.0], size=[124]
(Gen. 240 | Time: 237.489) BestSol = Solution: cost=[4464.0], size=[124]
(Gen. 243 | Time: 240.066) BestSol = Solution: cost=[4468.0], size=[121]
(Gen. 246 | Time: 242.72) BestSol = Solution: cost=[4473.0], size=[120]
(Gen. 290 | Time: 286.082) BestSol = Solution: cost=[4487.0], size=[120]
(Gen. 325 | Time: 319.69) BestSol = Solution: cost=[4515.0], size=[121]
(Gen. 329 | Time: 323.407) BestSol = Solution: cost=[4529.0], size=[122]
(Gen. 371 | Time: 363.793) BestSol = Solution: cost=[4562.0], size=[119]
(Gen. 390 | Time: 381.033) BestSol = Solution: cost=[4582.0], size=[120]
(Gen. 425 | Time: 416.796) BestSol = Solution: cost=[4588.0], size=[120]
(Gen. 441 | Time: 432.002) BestSol = Solution: cost=[4598.0], size=[119]
(Gen. 446 | Time: 437.105) BestSol = Solution: cost=[4600.0], size=[118]
(Gen. 531 | Time: 517.435) BestSol = Solution: cost=[4615.0], size=[119]
maxVal = Solution: cost=[4615.0], size=[119]
Time = 600.57 seg
