(Gen. 0) BestSol = Solution: cost=[861.0], size=[91]
(Gen. 1 | Time: 1.503) BestSol = Solution: cost=[1013.0], size=[103]
(Gen. 2 | Time: 3.257) BestSol = Solution: cost=[1068.0], size=[98]
(Gen. 4 | Time: 5.67) BestSol = Solution: cost=[1218.0], size=[111]
(Gen. 5 | Time: 6.767) BestSol = Solution: cost=[1304.0], size=[111]
(Gen. 6 | Time: 8.283) BestSol = Solution: cost=[1356.0], size=[113]
(Gen. 7 | Time: 10.422) BestSol = Solution: cost=[1482.0], size=[107]
(Gen. 8 | Time: 11.872) BestSol = Solution: cost=[1635.0], size=[113]
(Gen. 9 | Time: 12.685) BestSol = Solution: cost=[1828.0], size=[110]
(Gen. 12 | Time: 16.48) BestSol = Solution: cost=[1978.0], size=[110]
(Gen. 14 | Time: 19.097) BestSol = Solution: cost=[2032.0], size=[111]
(Gen. 15 | Time: 19.87) BestSol = Solution: cost=[2214.0], size=[112]
(Gen. 16 | Time: 20.712) BestSol = Solution: cost=[2293.0], size=[112]
(Gen. 17 | Time: 22.157) BestSol = Solution: cost=[2319.0], size=[112]
(Gen. 19 | Time: 24.151) BestSol = Solution: cost=[2336.0], size=[113]
(Gen. 20 | Time: 25.68) BestSol = Solution: cost=[2457.0], size=[116]
(Gen. 21 | Time: 26.807) BestSol = Solution: cost=[2518.0], size=[127]
(Gen. 23 | Time: 28.288) BestSol = Solution: cost=[2624.0], size=[115]
(Gen. 24 | Time: 29.478) BestSol = Solution: cost=[2762.0], size=[132]
(Gen. 27 | Time: 32.91) BestSol = Solution: cost=[2790.0], size=[131]
(Gen. 28 | Time: 33.837) BestSol = Solution: cost=[2818.0], size=[123]
(Gen. 30 | Time: 36.409) BestSol = Solution: cost=[2925.0], size=[117]
(Gen. 31 | Time: 37.271) BestSol = Solution: cost=[3004.0], size=[124]
(Gen. 32 | Time: 38.081) BestSol = Solution: cost=[3034.0], size=[122]
(Gen. 35 | Time: 40.925) BestSol = Solution: cost=[3138.0], size=[115]
(Gen. 38 | Time: 44.063) BestSol = Solution: cost=[3162.0], size=[124]
(Gen. 39 | Time: 45.192) BestSol = Solution: cost=[3410.0], size=[132]
(Gen. 42 | Time: 48.595) BestSol = Solution: cost=[3417.0], size=[127]
(Gen. 52 | Time: 57.327) BestSol = Solution: cost=[3458.0], size=[127]
(Gen. 55 | Time: 60.631) BestSol = Solution: cost=[3506.0], size=[121]
(Gen. 57 | Time: 62.344) BestSol = Solution: cost=[3522.0], size=[118]
(Gen. 61 | Time: 65.671) BestSol = Solution: cost=[3535.0], size=[114]
(Gen. 62 | Time: 66.501) BestSol = Solution: cost=[3579.0], size=[127]
(Gen. 64 | Time: 68.333) BestSol = Solution: cost=[3632.0], size=[117]
(Gen. 65 | Time: 69.146) BestSol = Solution: cost=[3657.0], size=[126]
(Gen. 66 | Time: 70.484) BestSol = Solution: cost=[3744.0], size=[121]
(Gen. 69 | Time: 73.612) BestSol = Solution: cost=[3750.0], size=[120]
(Gen. 70 | Time: 74.56) BestSol = Solution: cost=[3756.0], size=[122]
(Gen. 74 | Time: 78.686) BestSol = Solution: cost=[3821.0], size=[120]
(Gen. 75 | Time: 79.715) BestSol = Solution: cost=[3853.0], size=[127]
(Gen. 76 | Time: 80.633) BestSol = Solution: cost=[3876.0], size=[114]
(Gen. 82 | Time: 86.502) BestSol = Solution: cost=[3878.0], size=[115]
(Gen. 83 | Time: 87.5) BestSol = Solution: cost=[3941.0], size=[117]
(Gen. 85 | Time: 89.341) BestSol = Solution: cost=[3991.0], size=[122]
(Gen. 90 | Time: 93.864) BestSol = Solution: cost=[4024.0], size=[120]
(Gen. 95 | Time: 98.831) BestSol = Solution: cost=[4093.0], size=[113]
(Gen. 97 | Time: 101.089) BestSol = Solution: cost=[4099.0], size=[120]
(Gen. 100 | Time: 104.066) BestSol = Solution: cost=[4101.0], size=[120]
(Gen. 101 | Time: 105.051) BestSol = Solution: cost=[4114.0], size=[124]
(Gen. 104 | Time: 107.781) BestSol = Solution: cost=[4287.0], size=[120]
(Gen. 105 | Time: 108.715) BestSol = Solution: cost=[4294.0], size=[119]
(Gen. 114 | Time: 117.706) BestSol = Solution: cost=[4357.0], size=[120]
(Gen. 127 | Time: 129.305) BestSol = Solution: cost=[4380.0], size=[119]
(Gen. 132 | Time: 133.525) BestSol = Solution: cost=[4413.0], size=[116]
(Gen. 145 | Time: 144.575) BestSol = Solution: cost=[4467.0], size=[116]
(Gen. 162 | Time: 161.563) BestSol = Solution: cost=[4474.0], size=[116]
(Gen. 314 | Time: 320.569) BestSol = Solution: cost=[4494.0], size=[116]
(Gen. 351 | Time: 360.673) BestSol = Solution: cost=[4501.0], size=[115]
(Gen. 378 | Time: 389.176) BestSol = Solution: cost=[4510.0], size=[115]
(Gen. 379 | Time: 390.036) BestSol = Solution: cost=[4521.0], size=[118]
(Gen. 430 | Time: 440.74) BestSol = Solution: cost=[4526.0], size=[119]
(Gen. 542 | Time: 549.223) BestSol = Solution: cost=[4549.0], size=[120]
(Gen. 570 | Time: 575.406) BestSol = Solution: cost=[4551.0], size=[119]
maxVal = Solution: cost=[4551.0], size=[119]
Time = 600.952 seg
