(Gen. 0) BestSol = Solution: cost=[1938.0], size=[207]
(Gen. 1 | Time: 4.855) BestSol = Solution: cost=[2215.0], size=[213]
(Gen. 2 | Time: 10.089) BestSol = Solution: cost=[2588.0], size=[210]
(Gen. 3 | Time: 14.782) BestSol = Solution: cost=[2942.0], size=[204]
(Gen. 5 | Time: 25.762) BestSol = Solution: cost=[3099.0], size=[200]
(Gen. 8 | Time: 42.856) BestSol = Solution: cost=[3262.0], size=[207]
(Gen. 9 | Time: 48.697) BestSol = Solution: cost=[3887.0], size=[227]
(Gen. 10 | Time: 54.405) BestSol = Solution: cost=[4157.0], size=[214]
(Gen. 11 | Time: 60.087) BestSol = Solution: cost=[4404.0], size=[216]
(Gen. 12 | Time: 65.748) BestSol = Solution: cost=[4513.0], size=[217]
(Gen. 15 | Time: 83.085) BestSol = Solution: cost=[4610.0], size=[217]
(Gen. 16 | Time: 88.623) BestSol = Solution: cost=[4945.0], size=[213]
(Gen. 18 | Time: 100.373) BestSol = Solution: cost=[5059.0], size=[213]
(Gen. 19 | Time: 106.159) BestSol = Solution: cost=[5121.0], size=[213]
(Gen. 20 | Time: 111.731) BestSol = Solution: cost=[5246.0], size=[201]
(Gen. 21 | Time: 117.321) BestSol = Solution: cost=[5905.0], size=[210]
(Gen. 23 | Time: 128.841) BestSol = Solution: cost=[5932.0], size=[207]
(Gen. 24 | Time: 134.72) BestSol = Solution: cost=[6377.0], size=[210]
(Gen. 28 | Time: 157.614) BestSol = Solution: cost=[6509.0], size=[208]
(Gen. 30 | Time: 169.349) BestSol = Solution: cost=[6572.0], size=[211]
(Gen. 31 | Time: 175.171) BestSol = Solution: cost=[6581.0], size=[210]
(Gen. 33 | Time: 186.732) BestSol = Solution: cost=[6638.0], size=[211]
(Gen. 35 | Time: 198.075) BestSol = Solution: cost=[6668.0], size=[211]
(Gen. 37 | Time: 209.847) BestSol = Solution: cost=[7172.0], size=[226]
(Gen. 40 | Time: 227.226) BestSol = Solution: cost=[7494.0], size=[218]
(Gen. 44 | Time: 250.416) BestSol = Solution: cost=[7567.0], size=[214]
(Gen. 45 | Time: 256.217) BestSol = Solution: cost=[7686.0], size=[215]
(Gen. 47 | Time: 267.823) BestSol = Solution: cost=[7770.0], size=[209]
(Gen. 51 | Time: 290.595) BestSol = Solution: cost=[7791.0], size=[209]
(Gen. 52 | Time: 296.51) BestSol = Solution: cost=[8014.0], size=[211]
(Gen. 56 | Time: 319.765) BestSol = Solution: cost=[8135.0], size=[213]
(Gen. 57 | Time: 325.455) BestSol = Solution: cost=[8273.0], size=[210]
(Gen. 61 | Time: 348.397) BestSol = Solution: cost=[8549.0], size=[214]
(Gen. 64 | Time: 365.73) BestSol = Solution: cost=[8596.0], size=[215]
(Gen. 69 | Time: 395.005) BestSol = Solution: cost=[8886.0], size=[216]
(Gen. 72 | Time: 413.026) BestSol = Solution: cost=[9066.0], size=[217]
(Gen. 73 | Time: 418.88) BestSol = Solution: cost=[9088.0], size=[217]
(Gen. 79 | Time: 455.372) BestSol = Solution: cost=[9216.0], size=[218]
(Gen. 80 | Time: 461.405) BestSol = Solution: cost=[9529.0], size=[216]
(Gen. 89 | Time: 514.753) BestSol = Solution: cost=[9578.0], size=[220]
(Gen. 97 | Time: 562.214) BestSol = Solution: cost=[9710.0], size=[221]
maxVal = Solution: cost=[9710.0], size=[221]
Time = 604.333 seg
