(Gen. 0) BestSol = Solution: cost=[861.0], size=[91]
(Gen. 1 | Time: 0.977) BestSol = Solution: cost=[1013.0], size=[103]
(Gen. 2 | Time: 2.698) BestSol = Solution: cost=[1154.0], size=[97]
(Gen. 3 | Time: 4.131) BestSol = Solution: cost=[1208.0], size=[99]
(Gen. 5 | Time: 5.986) BestSol = Solution: cost=[1329.0], size=[111]
(Gen. 6 | Time: 7.355) BestSol = Solution: cost=[1453.0], size=[105]
(Gen. 8 | Time: 9.454) BestSol = Solution: cost=[1576.0], size=[107]
(Gen. 10 | Time: 11.284) BestSol = Solution: cost=[1750.0], size=[100]
(Gen. 11 | Time: 12.173) BestSol = Solution: cost=[1867.0], size=[99]
(Gen. 12 | Time: 12.881) BestSol = Solution: cost=[2039.0], size=[107]
(Gen. 13 | Time: 13.588) BestSol = Solution: cost=[2043.0], size=[112]
(Gen. 15 | Time: 15.443) BestSol = Solution: cost=[2148.0], size=[108]
(Gen. 16 | Time: 16.461) BestSol = Solution: cost=[2359.0], size=[106]
(Gen. 18 | Time: 18.262) BestSol = Solution: cost=[2529.0], size=[109]
(Gen. 21 | Time: 20.604) BestSol = Solution: cost=[2639.0], size=[104]
(Gen. 23 | Time: 22.516) BestSol = Solution: cost=[2754.0], size=[105]
(Gen. 26 | Time: 25.458) BestSol = Solution: cost=[2912.0], size=[106]
(Gen. 27 | Time: 26.235) BestSol = Solution: cost=[2951.0], size=[113]
(Gen. 31 | Time: 30.398) BestSol = Solution: cost=[3086.0], size=[109]
(Gen. 32 | Time: 31.318) BestSol = Solution: cost=[3150.0], size=[119]
(Gen. 35 | Time: 33.717) BestSol = Solution: cost=[3242.0], size=[117]
(Gen. 37 | Time: 35.315) BestSol = Solution: cost=[3263.0], size=[121]
(Gen. 39 | Time: 37.208) BestSol = Solution: cost=[3280.0], size=[113]
(Gen. 40 | Time: 38.218) BestSol = Solution: cost=[3432.0], size=[120]
(Gen. 43 | Time: 41.169) BestSol = Solution: cost=[3456.0], size=[122]
(Gen. 44 | Time: 42.061) BestSol = Solution: cost=[3464.0], size=[116]
(Gen. 46 | Time: 43.754) BestSol = Solution: cost=[3588.0], size=[120]
(Gen. 49 | Time: 46.205) BestSol = Solution: cost=[3594.0], size=[117]
(Gen. 52 | Time: 48.991) BestSol = Solution: cost=[3656.0], size=[122]
(Gen. 55 | Time: 52.264) BestSol = Solution: cost=[3661.0], size=[116]
(Gen. 56 | Time: 53.37) BestSol = Solution: cost=[3662.0], size=[119]
(Gen. 59 | Time: 56.109) BestSol = Solution: cost=[3766.0], size=[127]
(Gen. 62 | Time: 59.173) BestSol = Solution: cost=[3869.0], size=[125]
(Gen. 65 | Time: 62.037) BestSol = Solution: cost=[3902.0], size=[123]
(Gen. 69 | Time: 65.536) BestSol = Solution: cost=[3917.0], size=[124]
(Gen. 70 | Time: 66.546) BestSol = Solution: cost=[4006.0], size=[120]
(Gen. 74 | Time: 70.333) BestSol = Solution: cost=[4027.0], size=[124]
(Gen. 76 | Time: 72.161) BestSol = Solution: cost=[4031.0], size=[123]
(Gen. 77 | Time: 73.126) BestSol = Solution: cost=[4102.0], size=[113]
(Gen. 87 | Time: 82.442) BestSol = Solution: cost=[4144.0], size=[116]
(Gen. 88 | Time: 83.398) BestSol = Solution: cost=[4170.0], size=[122]
(Gen. 89 | Time: 84.282) BestSol = Solution: cost=[4173.0], size=[110]
(Gen. 90 | Time: 85.297) BestSol = Solution: cost=[4262.0], size=[124]
(Gen. 94 | Time: 88.9) BestSol = Solution: cost=[4266.0], size=[123]
(Gen. 97 | Time: 91.432) BestSol = Solution: cost=[4301.0], size=[124]
(Gen. 99 | Time: 93.023) BestSol = Solution: cost=[4316.0], size=[126]
(Gen. 101 | Time: 94.909) BestSol = Solution: cost=[4342.0], size=[118]
(Gen. 108 | Time: 101.449) BestSol = Solution: cost=[4343.0], size=[117]
(Gen. 126 | Time: 118.388) BestSol = Solution: cost=[4360.0], size=[116]
(Gen. 138 | Time: 129.754) BestSol = Solution: cost=[4377.0], size=[119]
(Gen. 143 | Time: 134.089) BestSol = Solution: cost=[4409.0], size=[118]
(Gen. 146 | Time: 136.655) BestSol = Solution: cost=[4419.0], size=[119]
(Gen. 147 | Time: 137.525) BestSol = Solution: cost=[4439.0], size=[119]
(Gen. 163 | Time: 152.062) BestSol = Solution: cost=[4472.0], size=[120]
(Gen. 168 | Time: 156.885) BestSol = Solution: cost=[4477.0], size=[121]
(Gen. 206 | Time: 191.191) BestSol = Solution: cost=[4482.0], size=[120]
(Gen. 229 | Time: 213.142) BestSol = Solution: cost=[4485.0], size=[122]
(Gen. 278 | Time: 258.322) BestSol = Solution: cost=[4503.0], size=[121]
(Gen. 279 | Time: 259.462) BestSol = Solution: cost=[4528.0], size=[123]
(Gen. 289 | Time: 268.524) BestSol = Solution: cost=[4568.0], size=[121]
(Gen. 354 | Time: 336.938) BestSol = Solution: cost=[4580.0], size=[123]
(Gen. 357 | Time: 339.564) BestSol = Solution: cost=[4598.0], size=[122]
(Gen. 368 | Time: 351.293) BestSol = Solution: cost=[4610.0], size=[122]
(Gen. 510 | Time: 488.848) BestSol = Solution: cost=[4650.0], size=[121]
maxVal = Solution: cost=[4650.0], size=[121]
Time = 600.766 seg
