(Gen. 0) BestSol = Solution: cost=[1938.0], size=[207]
(Gen. 1 | Time: 4.714) BestSol = Solution: cost=[2215.0], size=[213]
(Gen. 3 | Time: 14.794) BestSol = Solution: cost=[2341.0], size=[193]
(Gen. 4 | Time: 20.568) BestSol = Solution: cost=[3008.0], size=[204]
(Gen. 6 | Time: 31.793) BestSol = Solution: cost=[3210.0], size=[198]
(Gen. 7 | Time: 37.606) BestSol = Solution: cost=[3666.0], size=[201]
(Gen. 8 | Time: 43.062) BestSol = Solution: cost=[3853.0], size=[197]
(Gen. 9 | Time: 48.895) BestSol = Solution: cost=[4224.0], size=[213]
(Gen. 10 | Time: 54.627) BestSol = Solution: cost=[4459.0], size=[213]
(Gen. 12 | Time: 65.436) BestSol = Solution: cost=[4582.0], size=[208]
(Gen. 14 | Time: 76.896) BestSol = Solution: cost=[4777.0], size=[222]
(Gen. 15 | Time: 82.506) BestSol = Solution: cost=[4807.0], size=[225]
(Gen. 16 | Time: 88.074) BestSol = Solution: cost=[5082.0], size=[204]
(Gen. 17 | Time: 93.879) BestSol = Solution: cost=[5089.0], size=[210]
(Gen. 18 | Time: 99.784) BestSol = Solution: cost=[5335.0], size=[210]
(Gen. 20 | Time: 111.257) BestSol = Solution: cost=[5398.0], size=[211]
(Gen. 21 | Time: 116.849) BestSol = Solution: cost=[5560.0], size=[213]
(Gen. 23 | Time: 128.375) BestSol = Solution: cost=[5834.0], size=[217]
(Gen. 24 | Time: 134.286) BestSol = Solution: cost=[6071.0], size=[219]
(Gen. 25 | Time: 139.97) BestSol = Solution: cost=[6193.0], size=[222]
(Gen. 26 | Time: 145.535) BestSol = Solution: cost=[6201.0], size=[223]
(Gen. 28 | Time: 157.003) BestSol = Solution: cost=[6574.0], size=[222]
(Gen. 30 | Time: 168.632) BestSol = Solution: cost=[6588.0], size=[220]
(Gen. 31 | Time: 174.402) BestSol = Solution: cost=[6730.0], size=[223]
(Gen. 34 | Time: 191.319) BestSol = Solution: cost=[6751.0], size=[223]
(Gen. 35 | Time: 196.983) BestSol = Solution: cost=[6918.0], size=[221]
(Gen. 37 | Time: 208.35) BestSol = Solution: cost=[7102.0], size=[218]
(Gen. 38 | Time: 214.041) BestSol = Solution: cost=[7226.0], size=[226]
(Gen. 42 | Time: 236.761) BestSol = Solution: cost=[7231.0], size=[216]
(Gen. 43 | Time: 242.403) BestSol = Solution: cost=[7274.0], size=[213]
(Gen. 44 | Time: 248.152) BestSol = Solution: cost=[7422.0], size=[213]
(Gen. 46 | Time: 259.481) BestSol = Solution: cost=[7636.0], size=[219]
(Gen. 48 | Time: 270.943) BestSol = Solution: cost=[7668.0], size=[226]
(Gen. 49 | Time: 276.617) BestSol = Solution: cost=[7804.0], size=[225]
(Gen. 52 | Time: 293.362) BestSol = Solution: cost=[8027.0], size=[228]
(Gen. 56 | Time: 316.168) BestSol = Solution: cost=[8107.0], size=[225]
(Gen. 58 | Time: 327.53) BestSol = Solution: cost=[8357.0], size=[225]
(Gen. 61 | Time: 344.435) BestSol = Solution: cost=[8365.0], size=[215]
(Gen. 64 | Time: 361.344) BestSol = Solution: cost=[8383.0], size=[213]
(Gen. 67 | Time: 378.55) BestSol = Solution: cost=[8564.0], size=[226]
(Gen. 69 | Time: 389.992) BestSol = Solution: cost=[8707.0], size=[226]
(Gen. 71 | Time: 401.535) BestSol = Solution: cost=[8745.0], size=[221]
(Gen. 79 | Time: 447.259) BestSol = Solution: cost=[9011.0], size=[222]
(Gen. 83 | Time: 470.214) BestSol = Solution: cost=[9162.0], size=[225]
(Gen. 87 | Time: 493.015) BestSol = Solution: cost=[9223.0], size=[223]
(Gen. 92 | Time: 521.519) BestSol = Solution: cost=[9335.0], size=[224]
(Gen. 96 | Time: 544.481) BestSol = Solution: cost=[9436.0], size=[225]
(Gen. 101 | Time: 573.009) BestSol = Solution: cost=[9459.0], size=[228]
(Gen. 102 | Time: 578.691) BestSol = Solution: cost=[9590.0], size=[218]
maxVal = Solution: cost=[9590.0], size=[218]
Time = 602.89 seg
