(Gen. 0) BestSol = Solution: cost=[2320.0], size=[199]
(Gen. 1 | Time: 5.629) BestSol = Solution: cost=[2401.0], size=[205]
(Gen. 2 | Time: 11.065) BestSol = Solution: cost=[3265.0], size=[206]
(Gen. 5 | Time: 28.444) BestSol = Solution: cost=[3434.0], size=[219]
(Gen. 6 | Time: 34.563) BestSol = Solution: cost=[3963.0], size=[223]
(Gen. 7 | Time: 40.301) BestSol = Solution: cost=[4017.0], size=[219]
(Gen. 8 | Time: 46.343) BestSol = Solution: cost=[4276.0], size=[223]
(Gen. 9 | Time: 51.968) BestSol = Solution: cost=[4489.0], size=[216]
(Gen. 11 | Time: 63.82) BestSol = Solution: cost=[5052.0], size=[220]
(Gen. 12 | Time: 69.61) BestSol = Solution: cost=[5060.0], size=[220]
(Gen. 13 | Time: 75.558) BestSol = Solution: cost=[5446.0], size=[220]
(Gen. 14 | Time: 81.561) BestSol = Solution: cost=[5631.0], size=[222]
(Gen. 15 | Time: 87.238) BestSol = Solution: cost=[5662.0], size=[213]
(Gen. 17 | Time: 98.78) BestSol = Solution: cost=[5686.0], size=[212]
(Gen. 18 | Time: 104.529) BestSol = Solution: cost=[5801.0], size=[223]
(Gen. 19 | Time: 110.292) BestSol = Solution: cost=[5878.0], size=[231]
(Gen. 20 | Time: 116.332) BestSol = Solution: cost=[6280.0], size=[229]
(Gen. 22 | Time: 127.653) BestSol = Solution: cost=[6674.0], size=[231]
(Gen. 24 | Time: 139.369) BestSol = Solution: cost=[7002.0], size=[234]
(Gen. 25 | Time: 145.184) BestSol = Solution: cost=[7363.0], size=[232]
(Gen. 26 | Time: 150.925) BestSol = Solution: cost=[7398.0], size=[231]
(Gen. 32 | Time: 185.912) BestSol = Solution: cost=[7463.0], size=[227]
(Gen. 33 | Time: 191.626) BestSol = Solution: cost=[7716.0], size=[225]
(Gen. 34 | Time: 197.376) BestSol = Solution: cost=[8035.0], size=[229]
(Gen. 36 | Time: 209.061) BestSol = Solution: cost=[8182.0], size=[230]
(Gen. 39 | Time: 226.323) BestSol = Solution: cost=[8449.0], size=[213]
(Gen. 44 | Time: 255.328) BestSol = Solution: cost=[8590.0], size=[210]
(Gen. 45 | Time: 261.088) BestSol = Solution: cost=[9126.0], size=[219]
(Gen. 48 | Time: 278.41) BestSol = Solution: cost=[9137.0], size=[219]
(Gen. 53 | Time: 307.754) BestSol = Solution: cost=[9260.0], size=[217]
(Gen. 55 | Time: 319.217) BestSol = Solution: cost=[9428.0], size=[218]
(Gen. 59 | Time: 342.422) BestSol = Solution: cost=[9746.0], size=[217]
(Gen. 64 | Time: 371.686) BestSol = Solution: cost=[9914.0], size=[212]
(Gen. 68 | Time: 394.867) BestSol = Solution: cost=[9956.0], size=[217]
(Gen. 69 | Time: 400.739) BestSol = Solution: cost=[10102.0], size=[216]
(Gen. 73 | Time: 424.34) BestSol = Solution: cost=[10147.0], size=[226]
(Gen. 75 | Time: 436.008) BestSol = Solution: cost=[10161.0], size=[227]
(Gen. 85 | Time: 494.682) BestSol = Solution: cost=[10307.0], size=[229]
(Gen. 90 | Time: 524.755) BestSol = Solution: cost=[10444.0], size=[232]
(Gen. 92 | Time: 536.849) BestSol = Solution: cost=[10811.0], size=[232]
(Gen. 93 | Time: 542.644) BestSol = Solution: cost=[10863.0], size=[227]
(Gen. 97 | Time: 566.734) BestSol = Solution: cost=[11072.0], size=[227]
maxVal = Solution: cost=[11072.0], size=[227]
Time = 603.003 seg
