(Gen. 0) BestSol = Solution: cost=[861.0], size=[91]
(Gen. 1 | Time: 0.914) BestSol = Solution: cost=[1013.0], size=[103]
(Gen. 2 | Time: 1.963) BestSol = Solution: cost=[1099.0], size=[102]
(Gen. 4 | Time: 4.643) BestSol = Solution: cost=[1243.0], size=[109]
(Gen. 5 | Time: 5.707) BestSol = Solution: cost=[1405.0], size=[109]
(Gen. 7 | Time: 7.968) BestSol = Solution: cost=[1558.0], size=[107]
(Gen. 8 | Time: 9.219) BestSol = Solution: cost=[1572.0], size=[110]
(Gen. 9 | Time: 10.194) BestSol = Solution: cost=[1699.0], size=[126]
(Gen. 11 | Time: 13.092) BestSol = Solution: cost=[1748.0], size=[111]
(Gen. 12 | Time: 14.382) BestSol = Solution: cost=[1793.0], size=[105]
(Gen. 13 | Time: 15.491) BestSol = Solution: cost=[1803.0], size=[119]
(Gen. 14 | Time: 16.803) BestSol = Solution: cost=[2123.0], size=[109]
(Gen. 16 | Time: 19.302) BestSol = Solution: cost=[2224.0], size=[113]
(Gen. 17 | Time: 20.35) BestSol = Solution: cost=[2354.0], size=[109]
(Gen. 18 | Time: 21.417) BestSol = Solution: cost=[2431.0], size=[115]
(Gen. 20 | Time: 23.041) BestSol = Solution: cost=[2450.0], size=[111]
(Gen. 22 | Time: 24.977) BestSol = Solution: cost=[2503.0], size=[120]
(Gen. 23 | Time: 26.318) BestSol = Solution: cost=[2590.0], size=[123]
(Gen. 26 | Time: 29.095) BestSol = Solution: cost=[2600.0], size=[109]
(Gen. 27 | Time: 30.004) BestSol = Solution: cost=[2637.0], size=[125]
(Gen. 28 | Time: 31.05) BestSol = Solution: cost=[2827.0], size=[123]
(Gen. 29 | Time: 31.961) BestSol = Solution: cost=[2929.0], size=[109]
(Gen. 30 | Time: 33.211) BestSol = Solution: cost=[3079.0], size=[120]
(Gen. 33 | Time: 36.993) BestSol = Solution: cost=[3266.0], size=[119]
(Gen. 36 | Time: 39.863) BestSol = Solution: cost=[3313.0], size=[111]
(Gen. 38 | Time: 41.771) BestSol = Solution: cost=[3362.0], size=[114]
(Gen. 41 | Time: 45.902) BestSol = Solution: cost=[3541.0], size=[114]
(Gen. 44 | Time: 48.86) BestSol = Solution: cost=[3562.0], size=[117]
(Gen. 48 | Time: 52.597) BestSol = Solution: cost=[3618.0], size=[125]
(Gen. 49 | Time: 53.737) BestSol = Solution: cost=[3657.0], size=[109]
(Gen. 51 | Time: 56.814) BestSol = Solution: cost=[3702.0], size=[121]
(Gen. 55 | Time: 61.322) BestSol = Solution: cost=[3748.0], size=[119]
(Gen. 56 | Time: 62.473) BestSol = Solution: cost=[3802.0], size=[119]
(Gen. 59 | Time: 65.626) BestSol = Solution: cost=[3850.0], size=[119]
(Gen. 65 | Time: 72.361) BestSol = Solution: cost=[3876.0], size=[120]
(Gen. 67 | Time: 74.254) BestSol = Solution: cost=[3877.0], size=[118]
(Gen. 70 | Time: 77.615) BestSol = Solution: cost=[3918.0], size=[116]
(Gen. 77 | Time: 85.455) BestSol = Solution: cost=[3941.0], size=[121]
(Gen. 80 | Time: 88.59) BestSol = Solution: cost=[4040.0], size=[123]
(Gen. 81 | Time: 89.757) BestSol = Solution: cost=[4059.0], size=[118]
(Gen. 87 | Time: 96.212) BestSol = Solution: cost=[4088.0], size=[124]
(Gen. 91 | Time: 100.038) BestSol = Solution: cost=[4112.0], size=[119]
(Gen. 98 | Time: 107.116) BestSol = Solution: cost=[4149.0], size=[120]
(Gen. 104 | Time: 114.437) BestSol = Solution: cost=[4238.0], size=[121]
(Gen. 119 | Time: 132.059) BestSol = Solution: cost=[4275.0], size=[128]
(Gen. 127 | Time: 142.425) BestSol = Solution: cost=[4293.0], size=[129]
(Gen. 135 | Time: 151.307) BestSol = Solution: cost=[4337.0], size=[126]
(Gen. 144 | Time: 162.781) BestSol = Solution: cost=[4356.0], size=[123]
(Gen. 159 | Time: 179.828) BestSol = Solution: cost=[4379.0], size=[122]
(Gen. 165 | Time: 187.065) BestSol = Solution: cost=[4387.0], size=[121]
(Gen. 166 | Time: 188.37) BestSol = Solution: cost=[4421.0], size=[124]
(Gen. 180 | Time: 202.267) BestSol = Solution: cost=[4451.0], size=[125]
(Gen. 245 | Time: 273.273) BestSol = Solution: cost=[4493.0], size=[125]
(Gen. 251 | Time: 279.6) BestSol = Solution: cost=[4505.0], size=[121]
(Gen. 278 | Time: 309.479) BestSol = Solution: cost=[4521.0], size=[120]
(Gen. 295 | Time: 327.133) BestSol = Solution: cost=[4544.0], size=[119]
(Gen. 313 | Time: 348.539) BestSol = Solution: cost=[4561.0], size=[120]
(Gen. 360 | Time: 404.259) BestSol = Solution: cost=[4587.0], size=[119]
(Gen. 378 | Time: 424.757) BestSol = Solution: cost=[4596.0], size=[120]
maxVal = Solution: cost=[4596.0], size=[120]
Time = 600.945 seg
