(Gen. 0) BestSol = Solution: cost=[861.0], size=[91]
(Gen. 1 | Time: 1.151) BestSol = Solution: cost=[1013.0], size=[103]
(Gen. 2 | Time: 2.183) BestSol = Solution: cost=[1519.0], size=[107]
(Gen. 4 | Time: 4.525) BestSol = Solution: cost=[1523.0], size=[105]
(Gen. 6 | Time: 7.538) BestSol = Solution: cost=[1584.0], size=[104]
(Gen. 7 | Time: 8.233) BestSol = Solution: cost=[1722.0], size=[106]
(Gen. 9 | Time: 9.771) BestSol = Solution: cost=[1913.0], size=[106]
(Gen. 11 | Time: 12.069) BestSol = Solution: cost=[2017.0], size=[102]
(Gen. 12 | Time: 12.626) BestSol = Solution: cost=[2167.0], size=[108]
(Gen. 13 | Time: 13.349) BestSol = Solution: cost=[2234.0], size=[117]
(Gen. 14 | Time: 14.435) BestSol = Solution: cost=[2377.0], size=[116]
(Gen. 17 | Time: 16.813) BestSol = Solution: cost=[2387.0], size=[112]
(Gen. 18 | Time: 18.205) BestSol = Solution: cost=[2486.0], size=[116]
(Gen. 19 | Time: 18.976) BestSol = Solution: cost=[2508.0], size=[119]
(Gen. 20 | Time: 19.627) BestSol = Solution: cost=[2570.0], size=[111]
(Gen. 21 | Time: 20.717) BestSol = Solution: cost=[2650.0], size=[117]
(Gen. 24 | Time: 23.952) BestSol = Solution: cost=[2684.0], size=[111]
(Gen. 25 | Time: 24.963) BestSol = Solution: cost=[2698.0], size=[114]
(Gen. 26 | Time: 25.811) BestSol = Solution: cost=[2750.0], size=[112]
(Gen. 27 | Time: 26.833) BestSol = Solution: cost=[2863.0], size=[112]
(Gen. 30 | Time: 30.392) BestSol = Solution: cost=[3031.0], size=[113]
(Gen. 32 | Time: 32.265) BestSol = Solution: cost=[3052.0], size=[111]
(Gen. 33 | Time: 33.238) BestSol = Solution: cost=[3085.0], size=[118]
(Gen. 35 | Time: 35.279) BestSol = Solution: cost=[3222.0], size=[122]
(Gen. 38 | Time: 39.015) BestSol = Solution: cost=[3288.0], size=[120]
(Gen. 39 | Time: 39.919) BestSol = Solution: cost=[3342.0], size=[118]
(Gen. 40 | Time: 41.014) BestSol = Solution: cost=[3436.0], size=[124]
(Gen. 42 | Time: 43.196) BestSol = Solution: cost=[3524.0], size=[121]
(Gen. 44 | Time: 45.997) BestSol = Solution: cost=[3565.0], size=[120]
(Gen. 46 | Time: 48.219) BestSol = Solution: cost=[3585.0], size=[118]
(Gen. 53 | Time: 56.097) BestSol = Solution: cost=[3586.0], size=[129]
(Gen. 54 | Time: 57.193) BestSol = Solution: cost=[3595.0], size=[120]
(Gen. 55 | Time: 58.36) BestSol = Solution: cost=[3735.0], size=[125]
(Gen. 57 | Time: 60.378) BestSol = Solution: cost=[3825.0], size=[123]
(Gen. 66 | Time: 69.406) BestSol = Solution: cost=[3888.0], size=[111]
(Gen. 68 | Time: 71.69) BestSol = Solution: cost=[3889.0], size=[112]
(Gen. 69 | Time: 72.769) BestSol = Solution: cost=[3911.0], size=[113]
(Gen. 70 | Time: 73.859) BestSol = Solution: cost=[3944.0], size=[122]
(Gen. 72 | Time: 76.021) BestSol = Solution: cost=[4000.0], size=[116]
(Gen. 74 | Time: 78.162) BestSol = Solution: cost=[4081.0], size=[117]
(Gen. 75 | Time: 79.089) BestSol = Solution: cost=[4107.0], size=[117]
(Gen. 96 | Time: 101.716) BestSol = Solution: cost=[4187.0], size=[116]
(Gen. 110 | Time: 117.682) BestSol = Solution: cost=[4190.0], size=[121]
(Gen. 112 | Time: 119.978) BestSol = Solution: cost=[4268.0], size=[118]
(Gen. 118 | Time: 126.848) BestSol = Solution: cost=[4289.0], size=[119]
(Gen. 130 | Time: 140.358) BestSol = Solution: cost=[4291.0], size=[118]
(Gen. 134 | Time: 145.314) BestSol = Solution: cost=[4302.0], size=[121]
(Gen. 159 | Time: 173.569) BestSol = Solution: cost=[4352.0], size=[120]
(Gen. 187 | Time: 206.565) BestSol = Solution: cost=[4353.0], size=[121]
(Gen. 208 | Time: 230.477) BestSol = Solution: cost=[4356.0], size=[123]
(Gen. 210 | Time: 232.406) BestSol = Solution: cost=[4385.0], size=[122]
(Gen. 218 | Time: 240.964) BestSol = Solution: cost=[4390.0], size=[121]
(Gen. 264 | Time: 294.348) BestSol = Solution: cost=[4411.0], size=[122]
(Gen. 294 | Time: 328.224) BestSol = Solution: cost=[4413.0], size=[122]
(Gen. 298 | Time: 332.589) BestSol = Solution: cost=[4434.0], size=[122]
(Gen. 328 | Time: 366.713) BestSol = Solution: cost=[4459.0], size=[120]
(Gen. 329 | Time: 367.777) BestSol = Solution: cost=[4472.0], size=[123]
(Gen. 342 | Time: 382.869) BestSol = Solution: cost=[4481.0], size=[122]
(Gen. 379 | Time: 425.65) BestSol = Solution: cost=[4486.0], size=[120]
(Gen. 382 | Time: 428.78) BestSol = Solution: cost=[4491.0], size=[121]
maxVal = Solution: cost=[4491.0], size=[121]
Time = 600.872 seg
