(Gen. 0) BestSol = Solution: cost=[861.0], size=[91]
(Gen. 1 | Time: 0.928) BestSol = Solution: cost=[1013.0], size=[103]
(Gen. 2 | Time: 1.619) BestSol = Solution: cost=[1131.0], size=[103]
(Gen. 3 | Time: 2.789) BestSol = Solution: cost=[1253.0], size=[103]
(Gen. 5 | Time: 4.605) BestSol = Solution: cost=[1403.0], size=[102]
(Gen. 6 | Time: 5.229) BestSol = Solution: cost=[1466.0], size=[99]
(Gen. 7 | Time: 6.03) BestSol = Solution: cost=[1564.0], size=[102]
(Gen. 8 | Time: 6.508) BestSol = Solution: cost=[1704.0], size=[100]
(Gen. 9 | Time: 7.139) BestSol = Solution: cost=[1812.0], size=[109]
(Gen. 10 | Time: 7.736) BestSol = Solution: cost=[1872.0], size=[113]
(Gen. 11 | Time: 8.627) BestSol = Solution: cost=[2128.0], size=[104]
(Gen. 13 | Time: 10.146) BestSol = Solution: cost=[2272.0], size=[103]
(Gen. 17 | Time: 12.571) BestSol = Solution: cost=[2328.0], size=[106]
(Gen. 18 | Time: 13.224) BestSol = Solution: cost=[2553.0], size=[111]
(Gen. 20 | Time: 14.546) BestSol = Solution: cost=[2620.0], size=[113]
(Gen. 23 | Time: 16.82) BestSol = Solution: cost=[2650.0], size=[113]
(Gen. 25 | Time: 18.383) BestSol = Solution: cost=[2681.0], size=[114]
(Gen. 26 | Time: 19.066) BestSol = Solution: cost=[2759.0], size=[116]
(Gen. 27 | Time: 20.137) BestSol = Solution: cost=[2891.0], size=[109]
(Gen. 28 | Time: 21.087) BestSol = Solution: cost=[2938.0], size=[118]
(Gen. 29 | Time: 21.75) BestSol = Solution: cost=[3016.0], size=[108]
(Gen. 31 | Time: 23.347) BestSol = Solution: cost=[3077.0], size=[112]
(Gen. 32 | Time: 24.227) BestSol = Solution: cost=[3140.0], size=[114]
(Gen. 33 | Time: 25.102) BestSol = Solution: cost=[3188.0], size=[122]
(Gen. 37 | Time: 28.025) BestSol = Solution: cost=[3218.0], size=[124]
(Gen. 39 | Time: 29.77) BestSol = Solution: cost=[3236.0], size=[112]
(Gen. 42 | Time: 32.707) BestSol = Solution: cost=[3244.0], size=[116]
(Gen. 43 | Time: 33.725) BestSol = Solution: cost=[3257.0], size=[117]
(Gen. 44 | Time: 34.515) BestSol = Solution: cost=[3259.0], size=[117]
(Gen. 45 | Time: 35.423) BestSol = Solution: cost=[3335.0], size=[125]
(Gen. 47 | Time: 37.122) BestSol = Solution: cost=[3431.0], size=[119]
(Gen. 48 | Time: 37.927) BestSol = Solution: cost=[3456.0], size=[118]
(Gen. 50 | Time: 39.536) BestSol = Solution: cost=[3458.0], size=[114]
