(Gen. 0) BestSol = Solution: cost=[861.0], size=[91]
(Gen. 1 | Time: 0.978) BestSol = Solution: cost=[1013.0], size=[103]
(Gen. 2 | Time: 2.012) BestSol = Solution: cost=[1248.0], size=[102]
(Gen. 5 | Time: 4.916) BestSol = Solution: cost=[1450.0], size=[111]
(Gen. 6 | Time: 5.691) BestSol = Solution: cost=[1476.0], size=[113]
(Gen. 8 | Time: 7.466) BestSol = Solution: cost=[1749.0], size=[106]
(Gen. 9 | Time: 8.837) BestSol = Solution: cost=[1756.0], size=[107]
(Gen. 10 | Time: 9.945) BestSol = Solution: cost=[1782.0], size=[100]
(Gen. 11 | Time: 11.13) BestSol = Solution: cost=[1842.0], size=[105]
(Gen. 12 | Time: 11.838) BestSol = Solution: cost=[1924.0], size=[107]
(Gen. 13 | Time: 12.878) BestSol = Solution: cost=[2027.0], size=[103]
(Gen. 14 | Time: 13.894) BestSol = Solution: cost=[2105.0], size=[103]
(Gen. 16 | Time: 15.766) BestSol = Solution: cost=[2156.0], size=[108]
(Gen. 17 | Time: 16.882) BestSol = Solution: cost=[2278.0], size=[111]
(Gen. 18 | Time: 17.739) BestSol = Solution: cost=[2320.0], size=[99]
(Gen. 19 | Time: 18.717) BestSol = Solution: cost=[2381.0], size=[105]
(Gen. 20 | Time: 19.847) BestSol = Solution: cost=[2396.0], size=[116]
(Gen. 21 | Time: 20.947) BestSol = Solution: cost=[2490.0], size=[116]
(Gen. 22 | Time: 21.905) BestSol = Solution: cost=[2713.0], size=[113]
(Gen. 23 | Time: 23.254) BestSol = Solution: cost=[2862.0], size=[113]
(Gen. 27 | Time: 27.448) BestSol = Solution: cost=[2879.0], size=[115]
(Gen. 28 | Time: 28.641) BestSol = Solution: cost=[2900.0], size=[115]
(Gen. 29 | Time: 29.931) BestSol = Solution: cost=[3011.0], size=[113]
(Gen. 31 | Time: 31.872) BestSol = Solution: cost=[3288.0], size=[117]
(Gen. 35 | Time: 36.282) BestSol = Solution: cost=[3300.0], size=[121]
(Gen. 38 | Time: 39.038) BestSol = Solution: cost=[3343.0], size=[118]
(Gen. 39 | Time: 39.896) BestSol = Solution: cost=[3385.0], size=[117]
(Gen. 43 | Time: 44.133) BestSol = Solution: cost=[3410.0], size=[114]
(Gen. 47 | Time: 47.882) BestSol = Solution: cost=[3412.0], size=[115]
(Gen. 48 | Time: 48.7) BestSol = Solution: cost=[3561.0], size=[110]
(Gen. 50 | Time: 50.888) BestSol = Solution: cost=[3608.0], size=[120]
(Gen. 51 | Time: 52.037) BestSol = Solution: cost=[3635.0], size=[116]
(Gen. 53 | Time: 54.214) BestSol = Solution: cost=[3668.0], size=[121]
(Gen. 55 | Time: 56.183) BestSol = Solution: cost=[3672.0], size=[118]
(Gen. 57 | Time: 58.333) BestSol = Solution: cost=[3699.0], size=[118]
(Gen. 58 | Time: 59.202) BestSol = Solution: cost=[3757.0], size=[120]
(Gen. 61 | Time: 62.431) BestSol = Solution: cost=[3779.0], size=[121]
(Gen. 65 | Time: 66.575) BestSol = Solution: cost=[3836.0], size=[117]
(Gen. 66 | Time: 67.292) BestSol = Solution: cost=[3908.0], size=[124]
(Gen. 68 | Time: 68.835) BestSol = Solution: cost=[3989.0], size=[123]
(Gen. 71 | Time: 71.223) BestSol = Solution: cost=[4149.0], size=[121]
(Gen. 81 | Time: 80.341) BestSol = Solution: cost=[4157.0], size=[124]
(Gen. 95 | Time: 92.281) BestSol = Solution: cost=[4172.0], size=[125]
(Gen. 96 | Time: 93.008) BestSol = Solution: cost=[4175.0], size=[122]
(Gen. 100 | Time: 96.078) BestSol = Solution: cost=[4184.0], size=[119]
(Gen. 110 | Time: 104.09) BestSol = Solution: cost=[4214.0], size=[123]
(Gen. 114 | Time: 107.792) BestSol = Solution: cost=[4257.0], size=[125]
(Gen. 118 | Time: 111.409) BestSol = Solution: cost=[4316.0], size=[125]
(Gen. 132 | Time: 122.931) BestSol = Solution: cost=[4326.0], size=[124]
(Gen. 142 | Time: 131.962) BestSol = Solution: cost=[4344.0], size=[122]
(Gen. 144 | Time: 134.065) BestSol = Solution: cost=[4379.0], size=[123]
(Gen. 161 | Time: 149.196) BestSol = Solution: cost=[4396.0], size=[124]
(Gen. 169 | Time: 156.461) BestSol = Solution: cost=[4409.0], size=[125]
(Gen. 179 | Time: 166.749) BestSol = Solution: cost=[4416.0], size=[122]
(Gen. 189 | Time: 177.507) BestSol = Solution: cost=[4446.0], size=[124]
(Gen. 198 | Time: 186.313) BestSol = Solution: cost=[4501.0], size=[121]
(Gen. 203 | Time: 191.462) BestSol = Solution: cost=[4533.0], size=[122]
(Gen. 283 | Time: 269.19) BestSol = Solution: cost=[4548.0], size=[123]
(Gen. 295 | Time: 280.219) BestSol = Solution: cost=[4558.0], size=[124]
(Gen. 319 | Time: 303.912) BestSol = Solution: cost=[4564.0], size=[123]
(Gen. 425 | Time: 408.9) BestSol = Solution: cost=[4573.0], size=[122]
(Gen. 543 | Time: 525.201) BestSol = Solution: cost=[4574.0], size=[121]
(Gen. 560 | Time: 542.122) BestSol = Solution: cost=[4592.0], size=[120]
(Gen. 562 | Time: 544.267) BestSol = Solution: cost=[4603.0], size=[121]
maxVal = Solution: cost=[4603.0], size=[121]
Time = 600.899 seg
