(Gen. 0) BestSol = Solution: cost=[1938.0], size=[207]
(Gen. 1 | Time: 6.166) BestSol = Solution: cost=[2215.0], size=[213]
(Gen. 3 | Time: 15.96) BestSol = Solution: cost=[2382.0], size=[208]
(Gen. 4 | Time: 21.483) BestSol = Solution: cost=[3001.0], size=[218]
(Gen. 6 | Time: 33.181) BestSol = Solution: cost=[3269.0], size=[203]
(Gen. 8 | Time: 44.668) BestSol = Solution: cost=[3548.0], size=[216]
(Gen. 9 | Time: 50.456) BestSol = Solution: cost=[3885.0], size=[209]
(Gen. 10 | Time: 56.241) BestSol = Solution: cost=[4239.0], size=[210]
(Gen. 11 | Time: 62.211) BestSol = Solution: cost=[4653.0], size=[218]
(Gen. 12 | Time: 67.998) BestSol = Solution: cost=[4958.0], size=[220]
(Gen. 15 | Time: 85.154) BestSol = Solution: cost=[5015.0], size=[220]
(Gen. 16 | Time: 90.924) BestSol = Solution: cost=[5107.0], size=[224]
(Gen. 17 | Time: 96.503) BestSol = Solution: cost=[5136.0], size=[213]
(Gen. 19 | Time: 108.126) BestSol = Solution: cost=[5262.0], size=[212]
(Gen. 21 | Time: 119.541) BestSol = Solution: cost=[5473.0], size=[216]
(Gen. 22 | Time: 125.271) BestSol = Solution: cost=[5492.0], size=[212]
(Gen. 23 | Time: 131.134) BestSol = Solution: cost=[5679.0], size=[211]
(Gen. 24 | Time: 136.987) BestSol = Solution: cost=[5819.0], size=[212]
(Gen. 28 | Time: 159.905) BestSol = Solution: cost=[6199.0], size=[210]
(Gen. 29 | Time: 165.813) BestSol = Solution: cost=[6583.0], size=[222]
(Gen. 31 | Time: 177.295) BestSol = Solution: cost=[6678.0], size=[218]
(Gen. 34 | Time: 194.77) BestSol = Solution: cost=[6875.0], size=[217]
(Gen. 40 | Time: 229.539) BestSol = Solution: cost=[6915.0], size=[220]
(Gen. 42 | Time: 241.346) BestSol = Solution: cost=[6998.0], size=[212]
(Gen. 44 | Time: 252.804) BestSol = Solution: cost=[7319.0], size=[217]
(Gen. 48 | Time: 275.665) BestSol = Solution: cost=[7340.0], size=[226]
(Gen. 50 | Time: 287.109) BestSol = Solution: cost=[7344.0], size=[227]
(Gen. 51 | Time: 292.916) BestSol = Solution: cost=[7433.0], size=[222]
(Gen. 52 | Time: 298.702) BestSol = Solution: cost=[7709.0], size=[225]
(Gen. 54 | Time: 310.311) BestSol = Solution: cost=[7889.0], size=[222]
(Gen. 59 | Time: 339.262) BestSol = Solution: cost=[7951.0], size=[224]
(Gen. 60 | Time: 345.062) BestSol = Solution: cost=[8029.0], size=[224]
(Gen. 63 | Time: 362.258) BestSol = Solution: cost=[8088.0], size=[219]
(Gen. 64 | Time: 367.984) BestSol = Solution: cost=[8167.0], size=[230]
(Gen. 66 | Time: 379.625) BestSol = Solution: cost=[8217.0], size=[224]
(Gen. 67 | Time: 385.405) BestSol = Solution: cost=[8360.0], size=[222]
(Gen. 68 | Time: 391.147) BestSol = Solution: cost=[8470.0], size=[218]
(Gen. 71 | Time: 408.182) BestSol = Solution: cost=[8653.0], size=[232]
(Gen. 74 | Time: 425.1) BestSol = Solution: cost=[8655.0], size=[224]
(Gen. 75 | Time: 430.822) BestSol = Solution: cost=[8706.0], size=[223]
(Gen. 76 | Time: 436.657) BestSol = Solution: cost=[8733.0], size=[229]
(Gen. 80 | Time: 459.495) BestSol = Solution: cost=[8810.0], size=[226]
(Gen. 82 | Time: 470.986) BestSol = Solution: cost=[8915.0], size=[227]
(Gen. 86 | Time: 494.248) BestSol = Solution: cost=[8981.0], size=[234]
(Gen. 91 | Time: 523.154) BestSol = Solution: cost=[9003.0], size=[232]
(Gen. 96 | Time: 551.815) BestSol = Solution: cost=[9042.0], size=[225]
maxVal = Solution: cost=[9042.0], size=[225]
Time = 605.419 seg
