(Gen. 0) BestSol = Solution: cost=[861.0], size=[91]
(Gen. 1 | Time: 1.221) BestSol = Solution: cost=[1013.0], size=[103]
(Gen. 2 | Time: 2.114) BestSol = Solution: cost=[1214.0], size=[105]
(Gen. 3 | Time: 3.537) BestSol = Solution: cost=[1591.0], size=[99]
(Gen. 7 | Time: 7.183) BestSol = Solution: cost=[1706.0], size=[107]
(Gen. 9 | Time: 8.808) BestSol = Solution: cost=[2009.0], size=[112]
(Gen. 11 | Time: 9.905) BestSol = Solution: cost=[2113.0], size=[107]
(Gen. 13 | Time: 11.119) BestSol = Solution: cost=[2275.0], size=[115]
(Gen. 15 | Time: 12.445) BestSol = Solution: cost=[2511.0], size=[118]
(Gen. 20 | Time: 15.668) BestSol = Solution: cost=[2515.0], size=[107]
(Gen. 21 | Time: 16.605) BestSol = Solution: cost=[2590.0], size=[111]
(Gen. 22 | Time: 17.413) BestSol = Solution: cost=[2640.0], size=[105]
(Gen. 23 | Time: 18.448) BestSol = Solution: cost=[2642.0], size=[118]
(Gen. 24 | Time: 19.335) BestSol = Solution: cost=[2748.0], size=[119]
(Gen. 25 | Time: 20.159) BestSol = Solution: cost=[2752.0], size=[115]
(Gen. 26 | Time: 21.019) BestSol = Solution: cost=[2847.0], size=[118]
(Gen. 29 | Time: 23.739) BestSol = Solution: cost=[2869.0], size=[114]
(Gen. 30 | Time: 24.506) BestSol = Solution: cost=[2939.0], size=[106]
(Gen. 31 | Time: 25.234) BestSol = Solution: cost=[3002.0], size=[114]
(Gen. 32 | Time: 25.928) BestSol = Solution: cost=[3004.0], size=[114]
(Gen. 34 | Time: 27.341) BestSol = Solution: cost=[3167.0], size=[118]
(Gen. 35 | Time: 27.978) BestSol = Solution: cost=[3296.0], size=[109]
(Gen. 37 | Time: 29.367) BestSol = Solution: cost=[3367.0], size=[116]
(Gen. 40 | Time: 32.14) BestSol = Solution: cost=[3458.0], size=[111]
(Gen. 42 | Time: 33.941) BestSol = Solution: cost=[3467.0], size=[106]
(Gen. 43 | Time: 34.773) BestSol = Solution: cost=[3690.0], size=[109]
(Gen. 53 | Time: 42.838) BestSol = Solution: cost=[3726.0], size=[120]
(Gen. 54 | Time: 43.565) BestSol = Solution: cost=[3848.0], size=[118]
(Gen. 57 | Time: 45.954) BestSol = Solution: cost=[3883.0], size=[117]
(Gen. 60 | Time: 48.457) BestSol = Solution: cost=[3891.0], size=[113]
(Gen. 63 | Time: 50.891) BestSol = Solution: cost=[4003.0], size=[119]
(Gen. 64 | Time: 51.821) BestSol = Solution: cost=[4075.0], size=[120]
(Gen. 69 | Time: 56.361) BestSol = Solution: cost=[4108.0], size=[117]
(Gen. 71 | Time: 57.83) BestSol = Solution: cost=[4170.0], size=[120]
(Gen. 73 | Time: 59.547) BestSol = Solution: cost=[4185.0], size=[120]
(Gen. 78 | Time: 63.546) BestSol = Solution: cost=[4190.0], size=[120]
(Gen. 84 | Time: 67.862) BestSol = Solution: cost=[4191.0], size=[119]
(Gen. 98 | Time: 78.928) BestSol = Solution: cost=[4251.0], size=[119]
(Gen. 115 | Time: 91.58) BestSol = Solution: cost=[4302.0], size=[121]
(Gen. 122 | Time: 96.522) BestSol = Solution: cost=[4339.0], size=[122]
(Gen. 123 | Time: 97.376) BestSol = Solution: cost=[4355.0], size=[121]
(Gen. 124 | Time: 98.166) BestSol = Solution: cost=[4367.0], size=[121]
(Gen. 129 | Time: 102.175) BestSol = Solution: cost=[4391.0], size=[120]
(Gen. 139 | Time: 111.096) BestSol = Solution: cost=[4400.0], size=[119]
(Gen. 186 | Time: 149.652) BestSol = Solution: cost=[4405.0], size=[118]
(Gen. 200 | Time: 160.033) BestSol = Solution: cost=[4414.0], size=[119]
(Gen. 207 | Time: 165.592) BestSol = Solution: cost=[4437.0], size=[120]
(Gen. 210 | Time: 168.104) BestSol = Solution: cost=[4466.0], size=[118]
(Gen. 258 | Time: 206.051) BestSol = Solution: cost=[4491.0], size=[119]
(Gen. 367 | Time: 294.562) BestSol = Solution: cost=[4503.0], size=[120]
(Gen. 373 | Time: 299.031) BestSol = Solution: cost=[4539.0], size=[121]
(Gen. 457 | Time: 376.433) BestSol = Solution: cost=[4560.0], size=[122]
(Gen. 477 | Time: 394.915) BestSol = Solution: cost=[4563.0], size=[123]
(Gen. 519 | Time: 431.419) BestSol = Solution: cost=[4569.0], size=[120]
(Gen. 566 | Time: 473.772) BestSol = Solution: cost=[4614.0], size=[119]
(Gen. 571 | Time: 477.824) BestSol = Solution: cost=[4645.0], size=[120]
(Gen. 594 | Time: 497.447) BestSol = Solution: cost=[4661.0], size=[120]
maxVal = Solution: cost=[4661.0], size=[120]
Time = 600.354 seg
