(Gen. 0) BestSol = Solution: cost=[861.0], size=[91]
(Gen. 1 | Time: 1.264) BestSol = Solution: cost=[1013.0], size=[103]
(Gen. 2 | Time: 2.236) BestSol = Solution: cost=[1016.0], size=[115]
(Gen. 3 | Time: 4.498) BestSol = Solution: cost=[1334.0], size=[100]
(Gen. 5 | Time: 7.084) BestSol = Solution: cost=[1547.0], size=[98]
(Gen. 7 | Time: 9.78) BestSol = Solution: cost=[1625.0], size=[117]
(Gen. 8 | Time: 10.735) BestSol = Solution: cost=[1715.0], size=[113]
(Gen. 9 | Time: 12.3) BestSol = Solution: cost=[1800.0], size=[111]
(Gen. 10 | Time: 13.507) BestSol = Solution: cost=[1937.0], size=[96]
(Gen. 12 | Time: 15.447) BestSol = Solution: cost=[2167.0], size=[112]
(Gen. 16 | Time: 19.946) BestSol = Solution: cost=[2307.0], size=[109]
(Gen. 18 | Time: 21.461) BestSol = Solution: cost=[2343.0], size=[111]
(Gen. 19 | Time: 22.178) BestSol = Solution: cost=[2365.0], size=[100]
(Gen. 20 | Time: 23.097) BestSol = Solution: cost=[2401.0], size=[105]
(Gen. 21 | Time: 24.296) BestSol = Solution: cost=[2588.0], size=[109]
(Gen. 22 | Time: 25.438) BestSol = Solution: cost=[2622.0], size=[110]
(Gen. 23 | Time: 26.186) BestSol = Solution: cost=[2660.0], size=[113]
(Gen. 25 | Time: 28.923) BestSol = Solution: cost=[2754.0], size=[105]
(Gen. 26 | Time: 29.925) BestSol = Solution: cost=[2843.0], size=[115]
(Gen. 27 | Time: 30.663) BestSol = Solution: cost=[2844.0], size=[107]
(Gen. 28 | Time: 31.484) BestSol = Solution: cost=[2879.0], size=[118]
(Gen. 29 | Time: 32.259) BestSol = Solution: cost=[2982.0], size=[112]
(Gen. 30 | Time: 33.051) BestSol = Solution: cost=[3187.0], size=[113]
(Gen. 34 | Time: 37.244) BestSol = Solution: cost=[3207.0], size=[122]
(Gen. 35 | Time: 38.156) BestSol = Solution: cost=[3247.0], size=[116]
(Gen. 38 | Time: 40.609) BestSol = Solution: cost=[3327.0], size=[121]
(Gen. 39 | Time: 41.539) BestSol = Solution: cost=[3399.0], size=[119]
(Gen. 42 | Time: 44.239) BestSol = Solution: cost=[3414.0], size=[119]
(Gen. 45 | Time: 47.475) BestSol = Solution: cost=[3490.0], size=[123]
(Gen. 46 | Time: 48.425) BestSol = Solution: cost=[3539.0], size=[121]
(Gen. 47 | Time: 49.222) BestSol = Solution: cost=[3563.0], size=[113]
(Gen. 48 | Time: 50.036) BestSol = Solution: cost=[3626.0], size=[116]
(Gen. 49 | Time: 50.965) BestSol = Solution: cost=[3773.0], size=[114]
(Gen. 52 | Time: 53.492) BestSol = Solution: cost=[3775.0], size=[116]
(Gen. 59 | Time: 60.464) BestSol = Solution: cost=[3797.0], size=[121]
(Gen. 61 | Time: 62.258) BestSol = Solution: cost=[3868.0], size=[122]
(Gen. 62 | Time: 63.326) BestSol = Solution: cost=[3889.0], size=[125]
(Gen. 67 | Time: 68.208) BestSol = Solution: cost=[3909.0], size=[120]
(Gen. 68 | Time: 69.33) BestSol = Solution: cost=[3920.0], size=[119]
(Gen. 72 | Time: 73.383) BestSol = Solution: cost=[4004.0], size=[116]
(Gen. 76 | Time: 76.754) BestSol = Solution: cost=[4011.0], size=[121]
(Gen. 82 | Time: 81.887) BestSol = Solution: cost=[4065.0], size=[123]
(Gen. 84 | Time: 83.89) BestSol = Solution: cost=[4117.0], size=[121]
(Gen. 87 | Time: 86.824) BestSol = Solution: cost=[4163.0], size=[125]
(Gen. 97 | Time: 96.06) BestSol = Solution: cost=[4214.0], size=[124]
(Gen. 134 | Time: 132.328) BestSol = Solution: cost=[4260.0], size=[124]
(Gen. 140 | Time: 137.968) BestSol = Solution: cost=[4301.0], size=[125]
(Gen. 156 | Time: 153.164) BestSol = Solution: cost=[4348.0], size=[125]
(Gen. 168 | Time: 165.579) BestSol = Solution: cost=[4384.0], size=[123]
(Gen. 183 | Time: 180.463) BestSol = Solution: cost=[4388.0], size=[122]
(Gen. 256 | Time: 246.348) BestSol = Solution: cost=[4399.0], size=[123]
(Gen. 264 | Time: 254.23) BestSol = Solution: cost=[4469.0], size=[122]
(Gen. 285 | Time: 274.332) BestSol = Solution: cost=[4482.0], size=[123]
(Gen. 287 | Time: 276.177) BestSol = Solution: cost=[4517.0], size=[122]
(Gen. 334 | Time: 319.711) BestSol = Solution: cost=[4538.0], size=[121]
(Gen. 356 | Time: 339.101) BestSol = Solution: cost=[4566.0], size=[120]
(Gen. 364 | Time: 345.627) BestSol = Solution: cost=[4574.0], size=[121]
(Gen. 374 | Time: 354.839) BestSol = Solution: cost=[4589.0], size=[121]
(Gen. 409 | Time: 385.298) BestSol = Solution: cost=[4592.0], size=[123]
(Gen. 410 | Time: 386.412) BestSol = Solution: cost=[4621.0], size=[122]
(Gen. 412 | Time: 388.476) BestSol = Solution: cost=[4629.0], size=[121]
(Gen. 424 | Time: 399.851) BestSol = Solution: cost=[4642.0], size=[120]
(Gen. 543 | Time: 512.02) BestSol = Solution: cost=[4648.0], size=[121]
(Gen. 569 | Time: 536.57) BestSol = Solution: cost=[4650.0], size=[122]
maxVal = Solution: cost=[4650.0], size=[122]
Time = 600.885 seg
