(Gen. 0) BestSol = Solution: cost=[861.0], size=[91]
(Gen. 1 | Time: 0.905) BestSol = Solution: cost=[1013.0], size=[103]
(Gen. 2 | Time: 2.773) BestSol = Solution: cost=[1180.0], size=[108]
(Gen. 3 | Time: 4.553) BestSol = Solution: cost=[1249.0], size=[100]
(Gen. 4 | Time: 5.059) BestSol = Solution: cost=[1465.0], size=[105]
(Gen. 6 | Time: 6.492) BestSol = Solution: cost=[1640.0], size=[112]
(Gen. 7 | Time: 7.416) BestSol = Solution: cost=[1737.0], size=[108]
(Gen. 10 | Time: 9.751) BestSol = Solution: cost=[1759.0], size=[98]
(Gen. 11 | Time: 10.352) BestSol = Solution: cost=[2332.0], size=[106]
(Gen. 16 | Time: 15.28) BestSol = Solution: cost=[2498.0], size=[100]
(Gen. 17 | Time: 16.248) BestSol = Solution: cost=[2531.0], size=[107]
(Gen. 20 | Time: 19.452) BestSol = Solution: cost=[2543.0], size=[121]
(Gen. 21 | Time: 20.089) BestSol = Solution: cost=[2712.0], size=[115]
(Gen. 24 | Time: 22.075) BestSol = Solution: cost=[2743.0], size=[111]
(Gen. 25 | Time: 23.052) BestSol = Solution: cost=[2802.0], size=[114]
(Gen. 26 | Time: 23.793) BestSol = Solution: cost=[2820.0], size=[116]
(Gen. 28 | Time: 26.009) BestSol = Solution: cost=[2837.0], size=[118]
(Gen. 29 | Time: 26.833) BestSol = Solution: cost=[3054.0], size=[110]
(Gen. 32 | Time: 28.92) BestSol = Solution: cost=[3166.0], size=[119]
(Gen. 35 | Time: 31.801) BestSol = Solution: cost=[3216.0], size=[110]
(Gen. 36 | Time: 32.907) BestSol = Solution: cost=[3253.0], size=[123]
(Gen. 39 | Time: 34.945) BestSol = Solution: cost=[3315.0], size=[110]
(Gen. 41 | Time: 36.257) BestSol = Solution: cost=[3351.0], size=[115]
(Gen. 44 | Time: 38.642) BestSol = Solution: cost=[3355.0], size=[115]
(Gen. 45 | Time: 39.937) BestSol = Solution: cost=[3506.0], size=[114]
(Gen. 49 | Time: 43.934) BestSol = Solution: cost=[3617.0], size=[123]
(Gen. 50 | Time: 44.891) BestSol = Solution: cost=[3638.0], size=[116]
(Gen. 61 | Time: 55.228) BestSol = Solution: cost=[3691.0], size=[116]
(Gen. 65 | Time: 58.422) BestSol = Solution: cost=[3693.0], size=[126]
(Gen. 68 | Time: 62.004) BestSol = Solution: cost=[3783.0], size=[125]
(Gen. 69 | Time: 62.853) BestSol = Solution: cost=[3831.0], size=[128]
(Gen. 70 | Time: 63.911) BestSol = Solution: cost=[3842.0], size=[125]
(Gen. 74 | Time: 69.57) BestSol = Solution: cost=[3885.0], size=[126]
(Gen. 84 | Time: 78.784) BestSol = Solution: cost=[3951.0], size=[124]
(Gen. 89 | Time: 84.807) BestSol = Solution: cost=[3978.0], size=[121]
(Gen. 91 | Time: 86.679) BestSol = Solution: cost=[4035.0], size=[119]
(Gen. 97 | Time: 92.154) BestSol = Solution: cost=[4085.0], size=[120]
(Gen. 98 | Time: 93.38) BestSol = Solution: cost=[4116.0], size=[121]
(Gen. 102 | Time: 97.739) BestSol = Solution: cost=[4214.0], size=[122]
(Gen. 108 | Time: 102.567) BestSol = Solution: cost=[4273.0], size=[124]
(Gen. 114 | Time: 108.493) BestSol = Solution: cost=[4305.0], size=[121]
(Gen. 120 | Time: 115.325) BestSol = Solution: cost=[4328.0], size=[121]
(Gen. 126 | Time: 120.548) BestSol = Solution: cost=[4360.0], size=[122]
(Gen. 149 | Time: 138.136) BestSol = Solution: cost=[4370.0], size=[121]
(Gen. 162 | Time: 152.507) BestSol = Solution: cost=[4435.0], size=[121]
(Gen. 176 | Time: 164.847) BestSol = Solution: cost=[4450.0], size=[121]
(Gen. 179 | Time: 167.764) BestSol = Solution: cost=[4463.0], size=[118]
(Gen. 198 | Time: 183.452) BestSol = Solution: cost=[4473.0], size=[117]
(Gen. 227 | Time: 208.093) BestSol = Solution: cost=[4487.0], size=[119]
(Gen. 245 | Time: 224.841) BestSol = Solution: cost=[4488.0], size=[119]
(Gen. 265 | Time: 241.36) BestSol = Solution: cost=[4507.0], size=[118]
(Gen. 292 | Time: 265.443) BestSol = Solution: cost=[4537.0], size=[117]
(Gen. 305 | Time: 278.017) BestSol = Solution: cost=[4574.0], size=[116]
(Gen. 403 | Time: 362.831) BestSol = Solution: cost=[4581.0], size=[117]
(Gen. 535 | Time: 474.914) BestSol = Solution: cost=[4588.0], size=[116]
(Gen. 562 | Time: 498.32) BestSol = Solution: cost=[4599.0], size=[117]
(Gen. 566 | Time: 502.651) BestSol = Solution: cost=[4612.0], size=[116]
(Gen. 594 | Time: 526.827) BestSol = Solution: cost=[4642.0], size=[118]
(Gen. 599 | Time: 531.168) BestSol = Solution: cost=[4645.0], size=[119]
(Gen. 650 | Time: 572.749) BestSol = Solution: cost=[4651.0], size=[120]
maxVal = Solution: cost=[4651.0], size=[120]
Time = 600.645 seg
