(Gen. 0) BestSol = Solution: cost=[861.0], size=[91]
(Gen. 1 | Time: 1.177) BestSol = Solution: cost=[1013.0], size=[103]
(Gen. 2 | Time: 2.092) BestSol = Solution: cost=[1076.0], size=[104]
(Gen. 3 | Time: 3.321) BestSol = Solution: cost=[1148.0], size=[104]
(Gen. 4 | Time: 3.962) BestSol = Solution: cost=[1337.0], size=[105]
(Gen. 5 | Time: 4.916) BestSol = Solution: cost=[1464.0], size=[121]
(Gen. 6 | Time: 6.251) BestSol = Solution: cost=[1607.0], size=[110]
(Gen. 8 | Time: 8.659) BestSol = Solution: cost=[1873.0], size=[114]
(Gen. 9 | Time: 9.921) BestSol = Solution: cost=[2173.0], size=[106]
(Gen. 12 | Time: 12.793) BestSol = Solution: cost=[2223.0], size=[106]
(Gen. 13 | Time: 13.654) BestSol = Solution: cost=[2232.0], size=[109]
(Gen. 15 | Time: 15.132) BestSol = Solution: cost=[2493.0], size=[117]
(Gen. 16 | Time: 16.198) BestSol = Solution: cost=[2655.0], size=[108]
(Gen. 21 | Time: 20.131) BestSol = Solution: cost=[2670.0], size=[107]
(Gen. 23 | Time: 22.076) BestSol = Solution: cost=[2745.0], size=[113]
(Gen. 24 | Time: 22.74) BestSol = Solution: cost=[2853.0], size=[111]
(Gen. 25 | Time: 23.392) BestSol = Solution: cost=[2863.0], size=[113]
(Gen. 26 | Time: 24.08) BestSol = Solution: cost=[2868.0], size=[112]
(Gen. 27 | Time: 24.772) BestSol = Solution: cost=[2885.0], size=[117]
(Gen. 28 | Time: 26.007) BestSol = Solution: cost=[2891.0], size=[116]
(Gen. 29 | Time: 26.736) BestSol = Solution: cost=[2926.0], size=[111]
(Gen. 30 | Time: 27.711) BestSol = Solution: cost=[3068.0], size=[114]
(Gen. 32 | Time: 29.757) BestSol = Solution: cost=[3072.0], size=[107]
(Gen. 33 | Time: 30.881) BestSol = Solution: cost=[3111.0], size=[111]
(Gen. 35 | Time: 32.441) BestSol = Solution: cost=[3279.0], size=[111]
(Gen. 37 | Time: 34.452) BestSol = Solution: cost=[3340.0], size=[114]
(Gen. 39 | Time: 36.481) BestSol = Solution: cost=[3385.0], size=[114]
(Gen. 43 | Time: 39.68) BestSol = Solution: cost=[3407.0], size=[115]
(Gen. 47 | Time: 42.888) BestSol = Solution: cost=[3474.0], size=[119]
(Gen. 48 | Time: 43.63) BestSol = Solution: cost=[3476.0], size=[118]
(Gen. 49 | Time: 44.519) BestSol = Solution: cost=[3540.0], size=[116]
(Gen. 52 | Time: 46.712) BestSol = Solution: cost=[3588.0], size=[116]
(Gen. 53 | Time: 47.492) BestSol = Solution: cost=[3590.0], size=[118]
(Gen. 55 | Time: 49.0) BestSol = Solution: cost=[3705.0], size=[116]
(Gen. 57 | Time: 50.535) BestSol = Solution: cost=[3750.0], size=[120]
(Gen. 59 | Time: 52.703) BestSol = Solution: cost=[3800.0], size=[119]
(Gen. 60 | Time: 53.717) BestSol = Solution: cost=[3819.0], size=[118]
(Gen. 62 | Time: 55.562) BestSol = Solution: cost=[3847.0], size=[117]
(Gen. 64 | Time: 57.311) BestSol = Solution: cost=[3902.0], size=[118]
(Gen. 72 | Time: 63.555) BestSol = Solution: cost=[3971.0], size=[120]
(Gen. 81 | Time: 70.875) BestSol = Solution: cost=[4017.0], size=[122]
(Gen. 94 | Time: 81.842) BestSol = Solution: cost=[4028.0], size=[125]
(Gen. 95 | Time: 82.565) BestSol = Solution: cost=[4088.0], size=[121]
