(Gen. 0) BestSol = Solution: cost=[861.0], size=[91]
(Gen. 1 | Time: 1.291) BestSol = Solution: cost=[1013.0], size=[103]
(Gen. 2 | Time: 1.924) BestSol = Solution: cost=[1042.0], size=[99]
(Gen. 3 | Time: 3.489) BestSol = Solution: cost=[1209.0], size=[106]
(Gen. 4 | Time: 4.27) BestSol = Solution: cost=[1378.0], size=[103]
(Gen. 5 | Time: 5.483) BestSol = Solution: cost=[1552.0], size=[110]
(Gen. 7 | Time: 7.606) BestSol = Solution: cost=[1745.0], size=[104]
(Gen. 9 | Time: 9.595) BestSol = Solution: cost=[1842.0], size=[113]
(Gen. 10 | Time: 11.064) BestSol = Solution: cost=[1891.0], size=[86]
(Gen. 11 | Time: 12.311) BestSol = Solution: cost=[2048.0], size=[97]
(Gen. 12 | Time: 13.205) BestSol = Solution: cost=[2161.0], size=[105]
(Gen. 13 | Time: 14.201) BestSol = Solution: cost=[2169.0], size=[108]
(Gen. 14 | Time: 15.333) BestSol = Solution: cost=[2330.0], size=[105]
(Gen. 16 | Time: 17.384) BestSol = Solution: cost=[2402.0], size=[115]
(Gen. 17 | Time: 18.125) BestSol = Solution: cost=[2446.0], size=[112]
(Gen. 18 | Time: 18.874) BestSol = Solution: cost=[2491.0], size=[105]
(Gen. 19 | Time: 19.775) BestSol = Solution: cost=[2521.0], size=[107]
(Gen. 21 | Time: 21.891) BestSol = Solution: cost=[2633.0], size=[107]
(Gen. 22 | Time: 22.563) BestSol = Solution: cost=[2758.0], size=[127]
(Gen. 23 | Time: 23.274) BestSol = Solution: cost=[2766.0], size=[128]
(Gen. 25 | Time: 24.628) BestSol = Solution: cost=[2806.0], size=[122]
(Gen. 26 | Time: 25.523) BestSol = Solution: cost=[2833.0], size=[122]
(Gen. 27 | Time: 26.761) BestSol = Solution: cost=[2843.0], size=[120]
(Gen. 28 | Time: 27.953) BestSol = Solution: cost=[2950.0], size=[122]
(Gen. 29 | Time: 29.037) BestSol = Solution: cost=[2999.0], size=[124]
(Gen. 33 | Time: 32.168) BestSol = Solution: cost=[3145.0], size=[125]
(Gen. 36 | Time: 34.973) BestSol = Solution: cost=[3211.0], size=[124]
(Gen. 37 | Time: 35.994) BestSol = Solution: cost=[3261.0], size=[130]
(Gen. 39 | Time: 37.48) BestSol = Solution: cost=[3289.0], size=[129]
(Gen. 40 | Time: 38.16) BestSol = Solution: cost=[3291.0], size=[129]
(Gen. 41 | Time: 38.837) BestSol = Solution: cost=[3418.0], size=[123]
(Gen. 45 | Time: 42.314) BestSol = Solution: cost=[3426.0], size=[119]
(Gen. 46 | Time: 43.54) BestSol = Solution: cost=[3465.0], size=[128]
(Gen. 47 | Time: 44.521) BestSol = Solution: cost=[3537.0], size=[118]
(Gen. 50 | Time: 47.278) BestSol = Solution: cost=[3710.0], size=[121]
(Gen. 54 | Time: 50.379) BestSol = Solution: cost=[3762.0], size=[125]
(Gen. 56 | Time: 52.542) BestSol = Solution: cost=[3833.0], size=[125]
(Gen. 57 | Time: 53.485) BestSol = Solution: cost=[3848.0], size=[124]
(Gen. 66 | Time: 59.959) BestSol = Solution: cost=[3914.0], size=[120]
(Gen. 69 | Time: 62.59) BestSol = Solution: cost=[3960.0], size=[122]
(Gen. 73 | Time: 66.093) BestSol = Solution: cost=[3976.0], size=[123]
(Gen. 77 | Time: 69.253) BestSol = Solution: cost=[3987.0], size=[124]
