(Gen. 0) BestSol = Solution: cost=[861.0], size=[91]
(Gen. 1 | Time: 0.976) BestSol = Solution: cost=[1013.0], size=[103]
(Gen. 2 | Time: 1.865) BestSol = Solution: cost=[1064.0], size=[97]
(Gen. 3 | Time: 3.049) BestSol = Solution: cost=[1163.0], size=[103]
(Gen. 4 | Time: 4.702) BestSol = Solution: cost=[1292.0], size=[105]
(Gen. 5 | Time: 5.539) BestSol = Solution: cost=[1362.0], size=[94]
(Gen. 6 | Time: 6.76) BestSol = Solution: cost=[1583.0], size=[97]
(Gen. 7 | Time: 8.807) BestSol = Solution: cost=[1810.0], size=[102]
(Gen. 9 | Time: 10.712) BestSol = Solution: cost=[1859.0], size=[106]
(Gen. 10 | Time: 11.597) BestSol = Solution: cost=[1868.0], size=[104]
(Gen. 12 | Time: 13.133) BestSol = Solution: cost=[2049.0], size=[107]
(Gen. 13 | Time: 13.936) BestSol = Solution: cost=[2086.0], size=[102]
(Gen. 14 | Time: 14.533) BestSol = Solution: cost=[2115.0], size=[95]
(Gen. 15 | Time: 15.247) BestSol = Solution: cost=[2271.0], size=[100]
(Gen. 17 | Time: 16.592) BestSol = Solution: cost=[2377.0], size=[104]
(Gen. 20 | Time: 19.473) BestSol = Solution: cost=[2519.0], size=[104]
(Gen. 22 | Time: 20.794) BestSol = Solution: cost=[2556.0], size=[109]
(Gen. 24 | Time: 22.129) BestSol = Solution: cost=[2596.0], size=[106]
(Gen. 26 | Time: 24.221) BestSol = Solution: cost=[2645.0], size=[112]
(Gen. 27 | Time: 25.688) BestSol = Solution: cost=[2772.0], size=[103]
(Gen. 30 | Time: 28.014) BestSol = Solution: cost=[2799.0], size=[107]
(Gen. 32 | Time: 29.42) BestSol = Solution: cost=[2900.0], size=[107]
(Gen. 35 | Time: 31.6) BestSol = Solution: cost=[2959.0], size=[106]
(Gen. 39 | Time: 36.221) BestSol = Solution: cost=[3150.0], size=[109]
(Gen. 42 | Time: 38.624) BestSol = Solution: cost=[3196.0], size=[111]
(Gen. 43 | Time: 39.454) BestSol = Solution: cost=[3221.0], size=[113]
(Gen. 44 | Time: 40.335) BestSol = Solution: cost=[3288.0], size=[106]
(Gen. 47 | Time: 43.981) BestSol = Solution: cost=[3377.0], size=[115]
(Gen. 49 | Time: 46.011) BestSol = Solution: cost=[3449.0], size=[110]
(Gen. 50 | Time: 46.809) BestSol = Solution: cost=[3455.0], size=[113]
(Gen. 52 | Time: 48.487) BestSol = Solution: cost=[3466.0], size=[111]
(Gen. 53 | Time: 49.508) BestSol = Solution: cost=[3612.0], size=[114]
(Gen. 59 | Time: 55.562) BestSol = Solution: cost=[3712.0], size=[117]
(Gen. 60 | Time: 56.376) BestSol = Solution: cost=[3722.0], size=[105]
(Gen. 66 | Time: 61.223) BestSol = Solution: cost=[3726.0], size=[116]
(Gen. 67 | Time: 62.148) BestSol = Solution: cost=[3757.0], size=[105]
(Gen. 71 | Time: 65.748) BestSol = Solution: cost=[3819.0], size=[117]
(Gen. 74 | Time: 69.199) BestSol = Solution: cost=[3829.0], size=[115]
(Gen. 80 | Time: 74.297) BestSol = Solution: cost=[3913.0], size=[114]
(Gen. 84 | Time: 77.964) BestSol = Solution: cost=[3951.0], size=[113]
(Gen. 85 | Time: 79.026) BestSol = Solution: cost=[3976.0], size=[114]
(Gen. 90 | Time: 84.601) BestSol = Solution: cost=[3990.0], size=[114]
(Gen. 92 | Time: 86.379) BestSol = Solution: cost=[4041.0], size=[116]
(Gen. 95 | Time: 89.134) BestSol = Solution: cost=[4103.0], size=[118]
(Gen. 96 | Time: 90.095) BestSol = Solution: cost=[4147.0], size=[112]
(Gen. 97 | Time: 91.227) BestSol = Solution: cost=[4151.0], size=[117]
(Gen. 111 | Time: 104.234) BestSol = Solution: cost=[4188.0], size=[118]
(Gen. 136 | Time: 127.359) BestSol = Solution: cost=[4303.0], size=[115]
(Gen. 142 | Time: 132.741) BestSol = Solution: cost=[4305.0], size=[115]
(Gen. 143 | Time: 133.74) BestSol = Solution: cost=[4331.0], size=[115]
(Gen. 155 | Time: 143.765) BestSol = Solution: cost=[4332.0], size=[113]
(Gen. 158 | Time: 146.276) BestSol = Solution: cost=[4360.0], size=[114]
(Gen. 164 | Time: 151.9) BestSol = Solution: cost=[4420.0], size=[116]
(Gen. 165 | Time: 152.992) BestSol = Solution: cost=[4462.0], size=[114]
(Gen. 166 | Time: 153.858) BestSol = Solution: cost=[4488.0], size=[113]
(Gen. 217 | Time: 200.131) BestSol = Solution: cost=[4496.0], size=[114]
(Gen. 226 | Time: 208.45) BestSol = Solution: cost=[4499.0], size=[115]
(Gen. 265 | Time: 242.66) BestSol = Solution: cost=[4540.0], size=[117]
(Gen. 323 | Time: 288.748) BestSol = Solution: cost=[4555.0], size=[118]
(Gen. 392 | Time: 345.531) BestSol = Solution: cost=[4575.0], size=[119]
(Gen. 411 | Time: 361.123) BestSol = Solution: cost=[4606.0], size=[118]
(Gen. 442 | Time: 387.665) BestSol = Solution: cost=[4608.0], size=[119]
(Gen. 507 | Time: 440.602) BestSol = Solution: cost=[4609.0], size=[120]
(Gen. 555 | Time: 480.771) BestSol = Solution: cost=[4632.0], size=[119]
(Gen. 558 | Time: 483.438) BestSol = Solution: cost=[4634.0], size=[118]
maxVal = Solution: cost=[4634.0], size=[118]
Time = 600.759 seg
