(Gen. 0) BestSol = Solution: cost=[861.0], size=[91]
(Gen. 1 | Time: 1.061) BestSol = Solution: cost=[1013.0], size=[103]
(Gen. 2 | Time: 2.731) BestSol = Solution: cost=[1046.0], size=[103]
(Gen. 3 | Time: 4.299) BestSol = Solution: cost=[1102.0], size=[100]
(Gen. 4 | Time: 4.841) BestSol = Solution: cost=[1313.0], size=[113]
(Gen. 5 | Time: 5.551) BestSol = Solution: cost=[1465.0], size=[107]
(Gen. 7 | Time: 7.033) BestSol = Solution: cost=[1508.0], size=[112]
(Gen. 8 | Time: 7.87) BestSol = Solution: cost=[1764.0], size=[107]
(Gen. 9 | Time: 8.57) BestSol = Solution: cost=[1906.0], size=[109]
(Gen. 10 | Time: 9.533) BestSol = Solution: cost=[1943.0], size=[102]
(Gen. 12 | Time: 11.214) BestSol = Solution: cost=[2152.0], size=[107]
(Gen. 14 | Time: 12.836) BestSol = Solution: cost=[2294.0], size=[111]
(Gen. 15 | Time: 13.678) BestSol = Solution: cost=[2338.0], size=[114]
(Gen. 18 | Time: 16.159) BestSol = Solution: cost=[2342.0], size=[106]
(Gen. 19 | Time: 16.868) BestSol = Solution: cost=[2429.0], size=[114]
(Gen. 20 | Time: 17.877) BestSol = Solution: cost=[2512.0], size=[104]
(Gen. 21 | Time: 18.461) BestSol = Solution: cost=[2621.0], size=[113]
(Gen. 23 | Time: 19.624) BestSol = Solution: cost=[2690.0], size=[103]
(Gen. 24 | Time: 20.349) BestSol = Solution: cost=[2779.0], size=[107]
(Gen. 27 | Time: 23.177) BestSol = Solution: cost=[2918.0], size=[105]
(Gen. 30 | Time: 25.116) BestSol = Solution: cost=[2978.0], size=[106]
(Gen. 31 | Time: 25.93) BestSol = Solution: cost=[2987.0], size=[106]
(Gen. 33 | Time: 27.711) BestSol = Solution: cost=[3034.0], size=[117]
(Gen. 34 | Time: 28.366) BestSol = Solution: cost=[3070.0], size=[112]
(Gen. 35 | Time: 28.97) BestSol = Solution: cost=[3189.0], size=[112]
(Gen. 38 | Time: 30.746) BestSol = Solution: cost=[3190.0], size=[119]
(Gen. 39 | Time: 31.368) BestSol = Solution: cost=[3200.0], size=[117]
(Gen. 40 | Time: 32.199) BestSol = Solution: cost=[3255.0], size=[121]
(Gen. 41 | Time: 32.912) BestSol = Solution: cost=[3271.0], size=[114]
(Gen. 42 | Time: 33.702) BestSol = Solution: cost=[3315.0], size=[114]
(Gen. 44 | Time: 35.044) BestSol = Solution: cost=[3322.0], size=[109]
(Gen. 45 | Time: 35.642) BestSol = Solution: cost=[3323.0], size=[118]
(Gen. 46 | Time: 36.241) BestSol = Solution: cost=[3449.0], size=[115]
(Gen. 48 | Time: 37.691) BestSol = Solution: cost=[3459.0], size=[113]
(Gen. 53 | Time: 41.812) BestSol = Solution: cost=[3547.0], size=[111]
(Gen. 57 | Time: 44.2) BestSol = Solution: cost=[3591.0], size=[111]
(Gen. 59 | Time: 45.436) BestSol = Solution: cost=[3679.0], size=[116]
(Gen. 61 | Time: 46.793) BestSol = Solution: cost=[3794.0], size=[119]
(Gen. 66 | Time: 50.773) BestSol = Solution: cost=[3812.0], size=[123]
(Gen. 68 | Time: 51.983) BestSol = Solution: cost=[3825.0], size=[118]
(Gen. 69 | Time: 52.549) BestSol = Solution: cost=[3861.0], size=[119]
(Gen. 71 | Time: 53.711) BestSol = Solution: cost=[3866.0], size=[115]
(Gen. 73 | Time: 54.954) BestSol = Solution: cost=[3882.0], size=[116]
(Gen. 74 | Time: 55.651) BestSol = Solution: cost=[3899.0], size=[119]
(Gen. 75 | Time: 56.439) BestSol = Solution: cost=[3917.0], size=[117]
(Gen. 82 | Time: 61.255) BestSol = Solution: cost=[3971.0], size=[115]
(Gen. 87 | Time: 64.269) BestSol = Solution: cost=[3998.0], size=[116]
(Gen. 88 | Time: 64.881) BestSol = Solution: cost=[3999.0], size=[120]
(Gen. 89 | Time: 65.474) BestSol = Solution: cost=[4267.0], size=[120]
(Gen. 96 | Time: 70.461) BestSol = Solution: cost=[4308.0], size=[120]
(Gen. 100 | Time: 73.249) BestSol = Solution: cost=[4311.0], size=[121]
(Gen. 101 | Time: 73.906) BestSol = Solution: cost=[4335.0], size=[118]
(Gen. 150 | Time: 106.214) BestSol = Solution: cost=[4373.0], size=[119]
(Gen. 153 | Time: 107.998) BestSol = Solution: cost=[4382.0], size=[117]
(Gen. 226 | Time: 155.235) BestSol = Solution: cost=[4397.0], size=[118]
(Gen. 249 | Time: 170.37) BestSol = Solution: cost=[4411.0], size=[119]
(Gen. 307 | Time: 207.328) BestSol = Solution: cost=[4413.0], size=[118]
(Gen. 314 | Time: 211.556) BestSol = Solution: cost=[4439.0], size=[119]
(Gen. 323 | Time: 216.857) BestSol = Solution: cost=[4446.0], size=[118]
(Gen. 369 | Time: 245.902) BestSol = Solution: cost=[4458.0], size=[119]
(Gen. 425 | Time: 281.271) BestSol = Solution: cost=[4465.0], size=[121]
(Gen. 476 | Time: 313.103) BestSol = Solution: cost=[4466.0], size=[120]
(Gen. 493 | Time: 323.593) BestSol = Solution: cost=[4470.0], size=[122]
