(Gen. 0) BestSol = Solution: cost=[861.0], size=[91]
(Gen. 1 | Time: 1.638) BestSol = Solution: cost=[1013.0], size=[103]
(Gen. 2 | Time: 2.445) BestSol = Solution: cost=[1036.0], size=[104]
(Gen. 3 | Time: 3.44) BestSol = Solution: cost=[1130.0], size=[107]
(Gen. 4 | Time: 4.56) BestSol = Solution: cost=[1290.0], size=[111]
(Gen. 6 | Time: 6.074) BestSol = Solution: cost=[1408.0], size=[104]
(Gen. 7 | Time: 6.79) BestSol = Solution: cost=[1714.0], size=[101]
(Gen. 9 | Time: 8.173) BestSol = Solution: cost=[1718.0], size=[110]
(Gen. 10 | Time: 8.834) BestSol = Solution: cost=[1724.0], size=[99]
(Gen. 11 | Time: 9.387) BestSol = Solution: cost=[1885.0], size=[118]
(Gen. 12 | Time: 9.92) BestSol = Solution: cost=[1890.0], size=[106]
(Gen. 13 | Time: 10.406) BestSol = Solution: cost=[1976.0], size=[109]
(Gen. 15 | Time: 11.453) BestSol = Solution: cost=[2100.0], size=[115]
(Gen. 16 | Time: 12.027) BestSol = Solution: cost=[2141.0], size=[105]
(Gen. 17 | Time: 12.978) BestSol = Solution: cost=[2215.0], size=[93]
(Gen. 19 | Time: 14.459) BestSol = Solution: cost=[2410.0], size=[101]
(Gen. 20 | Time: 15.089) BestSol = Solution: cost=[2502.0], size=[104]
(Gen. 22 | Time: 16.592) BestSol = Solution: cost=[2689.0], size=[110]
(Gen. 23 | Time: 17.568) BestSol = Solution: cost=[2722.0], size=[111]
(Gen. 25 | Time: 19.24) BestSol = Solution: cost=[2741.0], size=[113]
(Gen. 27 | Time: 20.844) BestSol = Solution: cost=[2947.0], size=[114]
(Gen. 29 | Time: 22.479) BestSol = Solution: cost=[3000.0], size=[113]
(Gen. 33 | Time: 25.696) BestSol = Solution: cost=[3011.0], size=[113]
(Gen. 35 | Time: 27.64) BestSol = Solution: cost=[3038.0], size=[116]
(Gen. 36 | Time: 28.487) BestSol = Solution: cost=[3183.0], size=[115]
(Gen. 38 | Time: 30.354) BestSol = Solution: cost=[3224.0], size=[112]
(Gen. 39 | Time: 31.366) BestSol = Solution: cost=[3283.0], size=[115]
(Gen. 40 | Time: 32.605) BestSol = Solution: cost=[3339.0], size=[115]
(Gen. 41 | Time: 33.387) BestSol = Solution: cost=[3499.0], size=[113]
(Gen. 47 | Time: 38.457) BestSol = Solution: cost=[3559.0], size=[115]
(Gen. 48 | Time: 39.447) BestSol = Solution: cost=[3578.0], size=[116]
(Gen. 53 | Time: 44.019) BestSol = Solution: cost=[3631.0], size=[115]
(Gen. 55 | Time: 45.989) BestSol = Solution: cost=[3694.0], size=[118]
(Gen. 58 | Time: 48.817) BestSol = Solution: cost=[3718.0], size=[114]
(Gen. 61 | Time: 51.293) BestSol = Solution: cost=[3780.0], size=[115]
(Gen. 62 | Time: 52.152) BestSol = Solution: cost=[3782.0], size=[114]
(Gen. 63 | Time: 52.984) BestSol = Solution: cost=[3820.0], size=[117]
(Gen. 65 | Time: 55.078) BestSol = Solution: cost=[3829.0], size=[119]
(Gen. 67 | Time: 57.37) BestSol = Solution: cost=[3968.0], size=[117]
(Gen. 70 | Time: 60.268) BestSol = Solution: cost=[4043.0], size=[114]
(Gen. 71 | Time: 61.488) BestSol = Solution: cost=[4061.0], size=[117]
(Gen. 72 | Time: 62.385) BestSol = Solution: cost=[4066.0], size=[116]
(Gen. 75 | Time: 65.201) BestSol = Solution: cost=[4082.0], size=[117]
