(Gen. 0) BestSol = Solution: cost=[742.0], size=[52]
(Gen. 1 | Time: 0.347) BestSol = Solution: cost=[806.0], size=[50]
(Gen. 4 | Time: 1.477) BestSol = Solution: cost=[831.0], size=[49]
(Gen. 5 | Time: 1.79) BestSol = Solution: cost=[944.0], size=[52]
(Gen. 6 | Time: 2.07) BestSol = Solution: cost=[991.0], size=[55]
(Gen. 7 | Time: 2.197) BestSol = Solution: cost=[1089.0], size=[56]
(Gen. 8 | Time: 2.403) BestSol = Solution: cost=[1091.0], size=[52]
(Gen. 9 | Time: 2.635) BestSol = Solution: cost=[1177.0], size=[51]
(Gen. 12 | Time: 3.327) BestSol = Solution: cost=[1392.0], size=[65]
(Gen. 15 | Time: 4.092) BestSol = Solution: cost=[1424.0], size=[64]
(Gen. 17 | Time: 4.416) BestSol = Solution: cost=[1459.0], size=[65]
(Gen. 18 | Time: 4.654) BestSol = Solution: cost=[1492.0], size=[57]
(Gen. 21 | Time: 5.116) BestSol = Solution: cost=[1582.0], size=[66]
(Gen. 25 | Time: 5.89) BestSol = Solution: cost=[1641.0], size=[65]
(Gen. 28 | Time: 6.494) BestSol = Solution: cost=[1689.0], size=[64]
(Gen. 29 | Time: 6.605) BestSol = Solution: cost=[1697.0], size=[59]
(Gen. 30 | Time: 6.767) BestSol = Solution: cost=[1736.0], size=[67]
(Gen. 32 | Time: 7.065) BestSol = Solution: cost=[1782.0], size=[67]
(Gen. 39 | Time: 8.346) BestSol = Solution: cost=[1853.0], size=[64]
(Gen. 40 | Time: 8.529) BestSol = Solution: cost=[1896.0], size=[67]
(Gen. 47 | Time: 9.53) BestSol = Solution: cost=[1909.0], size=[64]
(Gen. 48 | Time: 9.774) BestSol = Solution: cost=[1913.0], size=[64]
(Gen. 50 | Time: 10.145) BestSol = Solution: cost=[1938.0], size=[65]
(Gen. 62 | Time: 11.667) BestSol = Solution: cost=[1942.0], size=[66]
(Gen. 63 | Time: 11.941) BestSol = Solution: cost=[1944.0], size=[66]
(Gen. 69 | Time: 12.867) BestSol = Solution: cost=[1948.0], size=[67]
(Gen. 70 | Time: 13.006) BestSol = Solution: cost=[1972.0], size=[68]
(Gen. 73 | Time: 13.548) BestSol = Solution: cost=[1976.0], size=[67]
(Gen. 86 | Time: 15.73) BestSol = Solution: cost=[1981.0], size=[67]
(Gen. 97 | Time: 17.304) BestSol = Solution: cost=[1986.0], size=[68]
(Gen. 102 | Time: 18.088) BestSol = Solution: cost=[1997.0], size=[66]
(Gen. 116 | Time: 20.443) BestSol = Solution: cost=[2007.0], size=[65]
(Gen. 221 | Time: 40.457) BestSol = Solution: cost=[2008.0], size=[66]
maxVal = Solution: cost=[2008.0], size=[66]
Time = 1800.634 seg
