(Gen. 0) BestSol = Solution: cost=[1139.0], size=[106]
(Gen. 1 | Time: 1.158) BestSol = Solution: cost=[1331.0], size=[95]
(Gen. 2 | Time: 2.148) BestSol = Solution: cost=[1492.0], size=[113]
(Gen. 3 | Time: 3.493) BestSol = Solution: cost=[1730.0], size=[119]
(Gen. 4 | Time: 4.077) BestSol = Solution: cost=[2038.0], size=[117]
(Gen. 5 | Time: 4.737) BestSol = Solution: cost=[2171.0], size=[116]
(Gen. 8 | Time: 7.986) BestSol = Solution: cost=[2399.0], size=[129]
(Gen. 10 | Time: 9.199) BestSol = Solution: cost=[2441.0], size=[115]
(Gen. 11 | Time: 9.757) BestSol = Solution: cost=[2447.0], size=[132]
(Gen. 12 | Time: 10.781) BestSol = Solution: cost=[2536.0], size=[124]
(Gen. 13 | Time: 11.627) BestSol = Solution: cost=[2588.0], size=[125]
(Gen. 14 | Time: 12.256) BestSol = Solution: cost=[2610.0], size=[121]
(Gen. 15 | Time: 12.831) BestSol = Solution: cost=[2684.0], size=[126]
(Gen. 16 | Time: 13.641) BestSol = Solution: cost=[2716.0], size=[121]
(Gen. 17 | Time: 14.63) BestSol = Solution: cost=[2805.0], size=[118]
(Gen. 18 | Time: 15.401) BestSol = Solution: cost=[3041.0], size=[123]
(Gen. 19 | Time: 16.009) BestSol = Solution: cost=[3048.0], size=[117]
(Gen. 20 | Time: 16.805) BestSol = Solution: cost=[3151.0], size=[123]
(Gen. 26 | Time: 21.357) BestSol = Solution: cost=[3263.0], size=[124]
(Gen. 28 | Time: 22.785) BestSol = Solution: cost=[3269.0], size=[130]
(Gen. 29 | Time: 23.383) BestSol = Solution: cost=[3391.0], size=[127]
(Gen. 33 | Time: 26.662) BestSol = Solution: cost=[3447.0], size=[126]
(Gen. 34 | Time: 27.332) BestSol = Solution: cost=[3470.0], size=[122]
(Gen. 35 | Time: 27.913) BestSol = Solution: cost=[3526.0], size=[124]
(Gen. 37 | Time: 29.127) BestSol = Solution: cost=[3527.0], size=[128]
(Gen. 38 | Time: 29.722) BestSol = Solution: cost=[3643.0], size=[128]
(Gen. 40 | Time: 31.281) BestSol = Solution: cost=[3734.0], size=[128]
(Gen. 45 | Time: 36.103) BestSol = Solution: cost=[3767.0], size=[131]
(Gen. 48 | Time: 37.94) BestSol = Solution: cost=[3822.0], size=[128]
(Gen. 50 | Time: 39.299) BestSol = Solution: cost=[3983.0], size=[124]
(Gen. 60 | Time: 48.021) BestSol = Solution: cost=[4021.0], size=[124]
(Gen. 61 | Time: 48.595) BestSol = Solution: cost=[4063.0], size=[124]
(Gen. 69 | Time: 54.958) BestSol = Solution: cost=[4091.0], size=[116]
(Gen. 71 | Time: 56.875) BestSol = Solution: cost=[4141.0], size=[117]
(Gen. 72 | Time: 57.841) BestSol = Solution: cost=[4169.0], size=[127]
(Gen. 75 | Time: 59.863) BestSol = Solution: cost=[4237.0], size=[126]
(Gen. 83 | Time: 68.379) BestSol = Solution: cost=[4293.0], size=[129]
(Gen. 86 | Time: 70.579) BestSol = Solution: cost=[4303.0], size=[119]
(Gen. 87 | Time: 71.427) BestSol = Solution: cost=[4318.0], size=[126]
(Gen. 88 | Time: 72.186) BestSol = Solution: cost=[4401.0], size=[120]
(Gen. 102 | Time: 83.108) BestSol = Solution: cost=[4459.0], size=[121]
(Gen. 104 | Time: 84.43) BestSol = Solution: cost=[4477.0], size=[117]
(Gen. 106 | Time: 86.291) BestSol = Solution: cost=[4543.0], size=[119]
(Gen. 108 | Time: 87.565) BestSol = Solution: cost=[4552.0], size=[121]
(Gen. 111 | Time: 89.363) BestSol = Solution: cost=[4604.0], size=[121]
(Gen. 119 | Time: 95.493) BestSol = Solution: cost=[4635.0], size=[120]
(Gen. 135 | Time: 106.545) BestSol = Solution: cost=[4637.0], size=[120]
(Gen. 146 | Time: 114.995) BestSol = Solution: cost=[4665.0], size=[121]
(Gen. 151 | Time: 118.787) BestSol = Solution: cost=[4682.0], size=[122]
(Gen. 165 | Time: 130.655) BestSol = Solution: cost=[4703.0], size=[123]
(Gen. 175 | Time: 138.352) BestSol = Solution: cost=[4715.0], size=[123]
(Gen. 212 | Time: 166.407) BestSol = Solution: cost=[4720.0], size=[121]
(Gen. 236 | Time: 184.922) BestSol = Solution: cost=[4729.0], size=[123]
(Gen. 260 | Time: 203.638) BestSol = Solution: cost=[4730.0], size=[124]
(Gen. 263 | Time: 205.848) BestSol = Solution: cost=[4745.0], size=[123]
(Gen. 265 | Time: 207.237) BestSol = Solution: cost=[4746.0], size=[122]
(Gen. 276 | Time: 216.421) BestSol = Solution: cost=[4747.0], size=[124]
(Gen. 313 | Time: 242.729) BestSol = Solution: cost=[4752.0], size=[122]
(Gen. 345 | Time: 265.352) BestSol = Solution: cost=[4777.0], size=[121]
(Gen. 353 | Time: 271.499) BestSol = Solution: cost=[4792.0], size=[121]
(Gen. 490 | Time: 409.829) BestSol = Solution: cost=[4799.0], size=[121]
(Gen. 511 | Time: 428.794) BestSol = Solution: cost=[4831.0], size=[123]
(Gen. 553 | Time: 467.818) BestSol = Solution: cost=[4864.0], size=[124]
(Gen. 558 | Time: 473.06) BestSol = Solution: cost=[4869.0], size=[125]
(Gen. 570 | Time: 484.094) BestSol = Solution: cost=[4870.0], size=[128]
(Gen. 572 | Time: 486.814) BestSol = Solution: cost=[4873.0], size=[127]
(Gen. 579 | Time: 492.684) BestSol = Solution: cost=[4891.0], size=[127]
(Gen. 606 | Time: 520.643) BestSol = Solution: cost=[4922.0], size=[126]
(Gen. 745 | Time: 658.532) BestSol = Solution: cost=[4940.0], size=[126]
(Gen. 798 | Time: 719.658) BestSol = Solution: cost=[4958.0], size=[125]
(Gen. 870 | Time: 816.176) BestSol = Solution: cost=[4975.0], size=[126]
(Gen. 878 | Time: 829.391) BestSol = Solution: cost=[4978.0], size=[127]
(Gen. 938 | Time: 903.643) BestSol = Solution: cost=[4987.0], size=[127]
(Gen. 1058 | Time: 1058.964) BestSol = Solution: cost=[4988.0], size=[128]
(Gen. 1130 | Time: 1157.535) BestSol = Solution: cost=[5012.0], size=[129]
(Gen. 1223 | Time: 1238.856) BestSol = Solution: cost=[5018.0], size=[128]
(Gen. 1488 | Time: 1460.458) BestSol = Solution: cost=[5041.0], size=[127]
maxVal = Solution: cost=[5041.0], size=[127]
Time = 1800.783 seg
