Instance,Configuration,Value,Time_Seconds
instance-11.txt,STANDARD+ALPHA,3132.00,600
instance-13.txt,STANDARD+ALPHA,1435.00,600
instance-14.txt,STANDARD+ALPHA,1427.00,602
