(Iter. 0 | Time: 16.849) BestSol = Solution: cost=[12316.0], size=[244]
(Iter. 1 | Time: 33.029) BestSol = Solution: cost=[12424.0], size=[244]
(Iter. 2 | Time: 48.946) BestSol = Solution: cost=[12535.0], size=[244]
(Iter. 3 | Time: 64.743) BestSol = Solution: cost=[12623.0], size=[244]
(Iter. 4 | Time: 80.442) BestSol = Solution: cost=[12697.0], size=[244]
(Iter. 5 | Time: 96.205) BestSol = Solution: cost=[12762.0], size=[244]
(Iter. 6 | Time: 111.854) BestSol = Solution: cost=[12804.0], size=[243]
(Iter. 7 | Time: 127.252) BestSol = Solution: cost=[12833.0], size=[243]
(Iter. 8 | Time: 142.516) BestSol = Solution: cost=[12860.0], size=[243]
(Iter. 9 | Time: 157.486) BestSol = Solution: cost=[12890.0], size=[243]
(Iter. 10 | Time: 172.613) BestSol = Solution: cost=[12914.0], size=[243]
(Iter. 11 | Time: 187.825) BestSol = Solution: cost=[12939.0], size=[243]
(Iter. 12 | Time: 203.029) BestSol = Solution: cost=[12960.0], size=[243]
(Iter. 13 | Time: 218.339) BestSol = Solution: cost=[12993.0], size=[243]
(Iter. 14 | Time: 233.538) BestSol = Solution: cost=[13029.0], size=[243]
(Iter. 15 | Time: 248.59) BestSol = Solution: cost=[13065.0], size=[243]
(Iter. 16 | Time: 263.858) BestSol = Solution: cost=[13103.0], size=[243]
(Iter. 17 | Time: 278.955) BestSol = Solution: cost=[13138.0], size=[243]
(Iter. 18 | Time: 294.132) BestSol = Solution: cost=[13182.0], size=[243]
(Iter. 19 | Time: 309.348) BestSol = Solution: cost=[13223.0], size=[243]
(Iter. 20 | Time: 324.523) BestSol = Solution: cost=[13269.0], size=[243]
(Iter. 21 | Time: 339.553) BestSol = Solution: cost=[13310.0], size=[243]
(Iter. 22 | Time: 354.554) BestSol = Solution: cost=[13337.0], size=[243]
(Iter. 23 | Time: 369.713) BestSol = Solution: cost=[13367.0], size=[243]
(Iter. 24 | Time: 384.849) BestSol = Solution: cost=[13395.0], size=[243]
(Iter. 25 | Time: 399.882) BestSol = Solution: cost=[13409.0], size=[243]
(Iter. 26 | Time: 414.961) BestSol = Solution: cost=[13428.0], size=[243]
(Iter. 27 | Time: 430.109) BestSol = Solution: cost=[13445.0], size=[243]
(Iter. 28 | Time: 445.24) BestSol = Solution: cost=[13474.0], size=[243]
(Iter. 29 | Time: 460.31) BestSol = Solution: cost=[13479.0], size=[242]
(Iter. 30 | Time: 475.392) BestSol = Solution: cost=[13484.0], size=[242]
(Iter. 31 | Time: 490.501) BestSol = Solution: cost=[13493.0], size=[243]
(Iter. 32 | Time: 505.72) BestSol = Solution: cost=[13498.0], size=[244]
(Iter. 34 | Time: 536.059) BestSol = Solution: cost=[13505.0], size=[245]
(Iter. 35 | Time: 551.232) BestSol = Solution: cost=[13507.0], size=[246]
(Iter. 36 | Time: 566.413) BestSol = Solution: cost=[13509.0], size=[247]
(Iter. 37 | Time: 582.074) BestSol = Solution: cost=[13510.0], size=[247]
(Iter. 38 | Time: 597.404) BestSol = Solution: cost=[13519.0], size=[247]
(Iter. 39 | Time: 613.182) BestSol = Solution: cost=[13533.0], size=[247]
>>> Tempo limite atingido (600s)
Best solution = Solution: cost=[13533.0], size=[247]
Time = 620.525 seg
