(Iter. 0 | Time: 8.344) BestSol = Solution: cost=[14337.0], size=[248]
(Iter. 1 | Time: 15.999) BestSol = Solution: cost=[14410.0], size=[248]
(Iter. 2 | Time: 22.709) BestSol = Solution: cost=[14472.0], size=[248]
(Iter. 3 | Time: 30.813) BestSol = Solution: cost=[14514.0], size=[248]
(Iter. 4 | Time: 38.81) BestSol = Solution: cost=[14534.0], size=[248]
(Iter. 5 | Time: 45.83) BestSol = Solution: cost=[14567.0], size=[248]
(Iter. 6 | Time: 51.812) BestSol = Solution: cost=[14585.0], size=[248]
(Iter. 7 | Time: 58.093) BestSol = Solution: cost=[14611.0], size=[248]
(Iter. 8 | Time: 64.054) BestSol = Solution: cost=[14623.0], size=[247]
(Iter. 9 | Time: 70.163) BestSol = Solution: cost=[14637.0], size=[247]
(Iter. 10 | Time: 76.559) BestSol = Solution: cost=[14644.0], size=[247]
(Iter. 11 | Time: 82.939) BestSol = Solution: cost=[14650.0], size=[248]
(Iter. 12 | Time: 88.865) BestSol = Solution: cost=[14661.0], size=[248]
(Iter. 13 | Time: 95.03) BestSol = Solution: cost=[14679.0], size=[248]
(Iter. 14 | Time: 101.13) BestSol = Solution: cost=[14683.0], size=[248]
(Iter. 15 | Time: 107.92) BestSol = Solution: cost=[14692.0], size=[248]
(Iter. 16 | Time: 115.846) BestSol = Solution: cost=[14703.0], size=[248]
(Iter. 17 | Time: 123.788) BestSol = Solution: cost=[14713.0], size=[247]
(Iter. 18 | Time: 132.002) BestSol = Solution: cost=[14720.0], size=[247]
(Iter. 19 | Time: 139.926) BestSol = Solution: cost=[14726.0], size=[246]
(Iter. 20 | Time: 147.868) BestSol = Solution: cost=[14739.0], size=[245]
(Iter. 21 | Time: 156.001) BestSol = Solution: cost=[14743.0], size=[244]
(Iter. 22 | Time: 163.903) BestSol = Solution: cost=[14752.0], size=[243]
(Iter. 23 | Time: 171.751) BestSol = Solution: cost=[14753.0], size=[242]
(Iter. 24 | Time: 179.663) BestSol = Solution: cost=[14765.0], size=[242]
(Iter. 25 | Time: 186.195) BestSol = Solution: cost=[14780.0], size=[242]
(Iter. 26 | Time: 194.059) BestSol = Solution: cost=[14790.0], size=[242]
(Iter. 27 | Time: 201.913) BestSol = Solution: cost=[14793.0], size=[243]
(Iter. 28 | Time: 209.906) BestSol = Solution: cost=[14800.0], size=[243]
(Iter. 29 | Time: 217.936) BestSol = Solution: cost=[14811.0], size=[243]
(Iter. 30 | Time: 225.789) BestSol = Solution: cost=[14827.0], size=[242]
(Iter. 32 | Time: 238.884) BestSol = Solution: cost=[14833.0], size=[242]
(Iter. 34 | Time: 254.094) BestSol = Solution: cost=[14835.0], size=[240]
(Iter. 64 | Time: 463.153) BestSol = Solution: cost=[14853.0], size=[244]
(Iter. 65 | Time: 471.221) BestSol = Solution: cost=[14866.0], size=[244]
(Iter. 66 | Time: 479.185) BestSol = Solution: cost=[14869.0], size=[243]
(Iter. 69 | Time: 502.975) BestSol = Solution: cost=[14872.0], size=[244]
(Iter. 70 | Time: 510.936) BestSol = Solution: cost=[14885.0], size=[244]
(Iter. 72 | Time: 526.893) BestSol = Solution: cost=[14893.0], size=[246]
(Iter. 73 | Time: 534.933) BestSol = Solution: cost=[14904.0], size=[246]
(Iter. 74 | Time: 542.571) BestSol = Solution: cost=[14922.0], size=[246]
>>> Tempo limite atingido (600s)
Best solution = Solution: cost=[14922.0], size=[246]
Time = 610.673 seg
