(Iter. 0 | Time: 8.591) BestSol = Solution: cost=[14337.0], size=[248]
(Iter. 1 | Time: 16.98) BestSol = Solution: cost=[14410.0], size=[248]
(Iter. 2 | Time: 25.003) BestSol = Solution: cost=[14472.0], size=[248]
(Iter. 3 | Time: 33.482) BestSol = Solution: cost=[14514.0], size=[248]
(Iter. 4 | Time: 41.482) BestSol = Solution: cost=[14534.0], size=[248]
(Iter. 5 | Time: 49.188) BestSol = Solution: cost=[14567.0], size=[248]
(Iter. 6 | Time: 57.034) BestSol = Solution: cost=[14585.0], size=[248]
(Iter. 7 | Time: 64.893) BestSol = Solution: cost=[14611.0], size=[248]
(Iter. 8 | Time: 72.774) BestSol = Solution: cost=[14623.0], size=[247]
(Iter. 9 | Time: 80.66) BestSol = Solution: cost=[14637.0], size=[247]
(Iter. 10 | Time: 88.982) BestSol = Solution: cost=[14644.0], size=[247]
(Iter. 11 | Time: 97.085) BestSol = Solution: cost=[14650.0], size=[248]
(Iter. 12 | Time: 103.451) BestSol = Solution: cost=[14661.0], size=[248]
(Iter. 13 | Time: 109.488) BestSol = Solution: cost=[14679.0], size=[248]
(Iter. 14 | Time: 115.483) BestSol = Solution: cost=[14683.0], size=[248]
(Iter. 15 | Time: 121.489) BestSol = Solution: cost=[14692.0], size=[248]
(Iter. 16 | Time: 127.994) BestSol = Solution: cost=[14703.0], size=[248]
(Iter. 17 | Time: 135.48) BestSol = Solution: cost=[14713.0], size=[247]
(Iter. 18 | Time: 141.431) BestSol = Solution: cost=[14720.0], size=[247]
(Iter. 19 | Time: 147.431) BestSol = Solution: cost=[14726.0], size=[246]
(Iter. 20 | Time: 153.515) BestSol = Solution: cost=[14739.0], size=[245]
(Iter. 21 | Time: 159.54) BestSol = Solution: cost=[14743.0], size=[244]
(Iter. 22 | Time: 165.562) BestSol = Solution: cost=[14752.0], size=[243]
(Iter. 23 | Time: 171.503) BestSol = Solution: cost=[14753.0], size=[242]
(Iter. 24 | Time: 178.034) BestSol = Solution: cost=[14765.0], size=[242]
(Iter. 25 | Time: 184.68) BestSol = Solution: cost=[14780.0], size=[242]
(Iter. 26 | Time: 192.66) BestSol = Solution: cost=[14790.0], size=[242]
(Iter. 27 | Time: 200.827) BestSol = Solution: cost=[14793.0], size=[243]
(Iter. 28 | Time: 208.782) BestSol = Solution: cost=[14800.0], size=[243]
(Iter. 29 | Time: 216.761) BestSol = Solution: cost=[14811.0], size=[243]
(Iter. 30 | Time: 224.853) BestSol = Solution: cost=[14827.0], size=[242]
(Iter. 32 | Time: 239.3) BestSol = Solution: cost=[14833.0], size=[242]
(Iter. 34 | Time: 255.106) BestSol = Solution: cost=[14835.0], size=[240]
(Iter. 64 | Time: 472.965) BestSol = Solution: cost=[14853.0], size=[244]
(Iter. 65 | Time: 478.867) BestSol = Solution: cost=[14866.0], size=[244]
(Iter. 66 | Time: 485.267) BestSol = Solution: cost=[14869.0], size=[243]
(Iter. 69 | Time: 509.212) BestSol = Solution: cost=[14872.0], size=[244]
(Iter. 70 | Time: 517.176) BestSol = Solution: cost=[14885.0], size=[244]
(Iter. 72 | Time: 533.192) BestSol = Solution: cost=[14893.0], size=[246]
(Iter. 73 | Time: 540.36) BestSol = Solution: cost=[14904.0], size=[246]
(Iter. 74 | Time: 546.839) BestSol = Solution: cost=[14922.0], size=[246]
>>> Tempo limite atingido (600s)
Best solution = Solution: cost=[14922.0], size=[246]
Time = 607.667 seg
