(Iter. 0 | Time: 16.308) BestSol = Solution: cost=[12316.0], size=[244]
(Iter. 1 | Time: 33.173) BestSol = Solution: cost=[12424.0], size=[244]
(Iter. 2 | Time: 49.825) BestSol = Solution: cost=[12535.0], size=[244]
(Iter. 3 | Time: 65.77) BestSol = Solution: cost=[12623.0], size=[244]
(Iter. 4 | Time: 81.843) BestSol = Solution: cost=[12697.0], size=[244]
(Iter. 5 | Time: 98.035) BestSol = Solution: cost=[12762.0], size=[244]
(Iter. 6 | Time: 114.082) BestSol = Solution: cost=[12804.0], size=[243]
(Iter. 7 | Time: 129.881) BestSol = Solution: cost=[12833.0], size=[243]
(Iter. 8 | Time: 145.506) BestSol = Solution: cost=[12860.0], size=[243]
(Iter. 9 | Time: 161.187) BestSol = Solution: cost=[12890.0], size=[243]
(Iter. 10 | Time: 176.925) BestSol = Solution: cost=[12914.0], size=[243]
(Iter. 11 | Time: 192.713) BestSol = Solution: cost=[12939.0], size=[243]
(Iter. 12 | Time: 208.467) BestSol = Solution: cost=[12960.0], size=[243]
(Iter. 13 | Time: 224.152) BestSol = Solution: cost=[12993.0], size=[243]
(Iter. 14 | Time: 239.946) BestSol = Solution: cost=[13029.0], size=[243]
(Iter. 15 | Time: 255.559) BestSol = Solution: cost=[13065.0], size=[243]
(Iter. 16 | Time: 271.298) BestSol = Solution: cost=[13103.0], size=[243]
(Iter. 17 | Time: 286.954) BestSol = Solution: cost=[13138.0], size=[243]
(Iter. 18 | Time: 302.785) BestSol = Solution: cost=[13182.0], size=[243]
(Iter. 19 | Time: 318.502) BestSol = Solution: cost=[13223.0], size=[243]
(Iter. 20 | Time: 334.17) BestSol = Solution: cost=[13269.0], size=[243]
(Iter. 21 | Time: 349.834) BestSol = Solution: cost=[13310.0], size=[243]
(Iter. 22 | Time: 365.532) BestSol = Solution: cost=[13337.0], size=[243]
(Iter. 23 | Time: 380.888) BestSol = Solution: cost=[13367.0], size=[243]
(Iter. 24 | Time: 396.269) BestSol = Solution: cost=[13395.0], size=[243]
(Iter. 25 | Time: 411.978) BestSol = Solution: cost=[13409.0], size=[243]
(Iter. 26 | Time: 427.598) BestSol = Solution: cost=[13428.0], size=[243]
(Iter. 27 | Time: 443.476) BestSol = Solution: cost=[13445.0], size=[243]
(Iter. 28 | Time: 459.122) BestSol = Solution: cost=[13474.0], size=[243]
(Iter. 29 | Time: 474.935) BestSol = Solution: cost=[13479.0], size=[242]
(Iter. 30 | Time: 490.842) BestSol = Solution: cost=[13484.0], size=[242]
(Iter. 31 | Time: 506.49) BestSol = Solution: cost=[13493.0], size=[243]
(Iter. 32 | Time: 521.907) BestSol = Solution: cost=[13498.0], size=[244]
(Iter. 34 | Time: 553.22) BestSol = Solution: cost=[13505.0], size=[245]
(Iter. 35 | Time: 569.293) BestSol = Solution: cost=[13507.0], size=[246]
(Iter. 36 | Time: 585.097) BestSol = Solution: cost=[13509.0], size=[247]
(Iter. 37 | Time: 600.989) BestSol = Solution: cost=[13510.0], size=[247]
>>> Tempo limite atingido (600s)
Best solution = Solution: cost=[13510.0], size=[247]
Time = 609.884 seg
