(Iter. 0 | Time: 9.081) BestSol = Solution: cost=[14337.0], size=[248]
(Iter. 1 | Time: 16.934) BestSol = Solution: cost=[14410.0], size=[248]
(Iter. 2 | Time: 23.403) BestSol = Solution: cost=[14472.0], size=[248]
(Iter. 3 | Time: 29.819) BestSol = Solution: cost=[14514.0], size=[248]
(Iter. 4 | Time: 35.949) BestSol = Solution: cost=[14534.0], size=[248]
(Iter. 5 | Time: 41.917) BestSol = Solution: cost=[14567.0], size=[248]
(Iter. 6 | Time: 47.996) BestSol = Solution: cost=[14585.0], size=[248]
(Iter. 7 | Time: 54.038) BestSol = Solution: cost=[14611.0], size=[248]
(Iter. 8 | Time: 60.073) BestSol = Solution: cost=[14623.0], size=[247]
(Iter. 9 | Time: 66.492) BestSol = Solution: cost=[14637.0], size=[247]
(Iter. 10 | Time: 74.687) BestSol = Solution: cost=[14644.0], size=[247]
(Iter. 11 | Time: 82.851) BestSol = Solution: cost=[14650.0], size=[248]
(Iter. 12 | Time: 91.488) BestSol = Solution: cost=[14661.0], size=[248]
(Iter. 13 | Time: 99.984) BestSol = Solution: cost=[14679.0], size=[248]
(Iter. 14 | Time: 108.195) BestSol = Solution: cost=[14683.0], size=[248]
(Iter. 15 | Time: 116.407) BestSol = Solution: cost=[14692.0], size=[248]
(Iter. 16 | Time: 124.961) BestSol = Solution: cost=[14703.0], size=[248]
(Iter. 17 | Time: 133.281) BestSol = Solution: cost=[14713.0], size=[247]
(Iter. 18 | Time: 141.561) BestSol = Solution: cost=[14720.0], size=[247]
(Iter. 19 | Time: 149.952) BestSol = Solution: cost=[14726.0], size=[246]
(Iter. 20 | Time: 158.407) BestSol = Solution: cost=[14739.0], size=[245]
(Iter. 21 | Time: 164.866) BestSol = Solution: cost=[14743.0], size=[244]
(Iter. 22 | Time: 170.893) BestSol = Solution: cost=[14752.0], size=[243]
(Iter. 23 | Time: 176.991) BestSol = Solution: cost=[14753.0], size=[242]
(Iter. 24 | Time: 183.153) BestSol = Solution: cost=[14765.0], size=[242]
(Iter. 25 | Time: 189.278) BestSol = Solution: cost=[14780.0], size=[242]
(Iter. 26 | Time: 195.419) BestSol = Solution: cost=[14790.0], size=[242]
(Iter. 27 | Time: 201.439) BestSol = Solution: cost=[14793.0], size=[243]
(Iter. 28 | Time: 207.625) BestSol = Solution: cost=[14800.0], size=[243]
(Iter. 29 | Time: 215.648) BestSol = Solution: cost=[14811.0], size=[243]
(Iter. 30 | Time: 223.821) BestSol = Solution: cost=[14827.0], size=[242]
(Iter. 32 | Time: 240.304) BestSol = Solution: cost=[14833.0], size=[242]
(Iter. 34 | Time: 256.337) BestSol = Solution: cost=[14835.0], size=[240]
(Iter. 64 | Time: 475.807) BestSol = Solution: cost=[14853.0], size=[244]
(Iter. 65 | Time: 481.844) BestSol = Solution: cost=[14866.0], size=[244]
(Iter. 66 | Time: 487.936) BestSol = Solution: cost=[14869.0], size=[243]
(Iter. 69 | Time: 506.174) BestSol = Solution: cost=[14872.0], size=[244]
(Iter. 70 | Time: 512.184) BestSol = Solution: cost=[14885.0], size=[244]
(Iter. 72 | Time: 524.227) BestSol = Solution: cost=[14893.0], size=[246]
(Iter. 73 | Time: 530.253) BestSol = Solution: cost=[14904.0], size=[246]
(Iter. 74 | Time: 536.339) BestSol = Solution: cost=[14922.0], size=[246]
>>> Tempo limite atingido (600s)
Best solution = Solution: cost=[14922.0], size=[246]
Time = 608.969 seg
