(Iter. 0 | Time: 15.129) BestSol = Solution: cost=[12316.0], size=[244]
(Iter. 1 | Time: 30.339) BestSol = Solution: cost=[12424.0], size=[244]
(Iter. 2 | Time: 45.855) BestSol = Solution: cost=[12535.0], size=[244]
(Iter. 3 | Time: 62.315) BestSol = Solution: cost=[12623.0], size=[244]
(Iter. 4 | Time: 77.766) BestSol = Solution: cost=[12697.0], size=[244]
(Iter. 5 | Time: 93.192) BestSol = Solution: cost=[12762.0], size=[244]
(Iter. 6 | Time: 108.839) BestSol = Solution: cost=[12804.0], size=[243]
(Iter. 7 | Time: 124.002) BestSol = Solution: cost=[12833.0], size=[243]
(Iter. 8 | Time: 138.883) BestSol = Solution: cost=[12860.0], size=[243]
(Iter. 9 | Time: 154.016) BestSol = Solution: cost=[12890.0], size=[243]
(Iter. 10 | Time: 169.163) BestSol = Solution: cost=[12914.0], size=[243]
(Iter. 11 | Time: 184.474) BestSol = Solution: cost=[12939.0], size=[243]
(Iter. 12 | Time: 199.695) BestSol = Solution: cost=[12960.0], size=[243]
(Iter. 13 | Time: 214.856) BestSol = Solution: cost=[12993.0], size=[243]
(Iter. 14 | Time: 230.087) BestSol = Solution: cost=[13029.0], size=[243]
(Iter. 15 | Time: 245.262) BestSol = Solution: cost=[13065.0], size=[243]
(Iter. 16 | Time: 260.415) BestSol = Solution: cost=[13103.0], size=[243]
(Iter. 17 | Time: 275.287) BestSol = Solution: cost=[13138.0], size=[243]
(Iter. 18 | Time: 290.354) BestSol = Solution: cost=[13182.0], size=[243]
(Iter. 19 | Time: 305.393) BestSol = Solution: cost=[13223.0], size=[243]
(Iter. 20 | Time: 320.694) BestSol = Solution: cost=[13269.0], size=[243]
(Iter. 21 | Time: 335.568) BestSol = Solution: cost=[13310.0], size=[243]
(Iter. 22 | Time: 350.677) BestSol = Solution: cost=[13337.0], size=[243]
(Iter. 23 | Time: 366.13) BestSol = Solution: cost=[13367.0], size=[243]
(Iter. 24 | Time: 381.78) BestSol = Solution: cost=[13395.0], size=[243]
(Iter. 25 | Time: 397.144) BestSol = Solution: cost=[13409.0], size=[243]
(Iter. 26 | Time: 412.459) BestSol = Solution: cost=[13428.0], size=[243]
(Iter. 27 | Time: 427.755) BestSol = Solution: cost=[13445.0], size=[243]
(Iter. 28 | Time: 443.15) BestSol = Solution: cost=[13474.0], size=[243]
(Iter. 29 | Time: 458.575) BestSol = Solution: cost=[13479.0], size=[242]
(Iter. 30 | Time: 473.849) BestSol = Solution: cost=[13484.0], size=[242]
(Iter. 31 | Time: 489.137) BestSol = Solution: cost=[13493.0], size=[243]
(Iter. 32 | Time: 504.761) BestSol = Solution: cost=[13498.0], size=[244]
(Iter. 34 | Time: 535.68) BestSol = Solution: cost=[13505.0], size=[245]
(Iter. 35 | Time: 551.155) BestSol = Solution: cost=[13507.0], size=[246]
(Iter. 36 | Time: 566.437) BestSol = Solution: cost=[13509.0], size=[247]
(Iter. 37 | Time: 581.934) BestSol = Solution: cost=[13510.0], size=[247]
(Iter. 38 | Time: 597.402) BestSol = Solution: cost=[13519.0], size=[247]
(Iter. 39 | Time: 612.973) BestSol = Solution: cost=[13533.0], size=[247]
>>> Tempo limite atingido (600s)
Best solution = Solution: cost=[13533.0], size=[247]
Time = 618.479 seg
