(Iter. 0 | Time: 15.389) BestSol = Solution: cost=[12316.0], size=[244]
(Iter. 1 | Time: 31.156) BestSol = Solution: cost=[12424.0], size=[244]
(Iter. 2 | Time: 46.382) BestSol = Solution: cost=[12535.0], size=[244]
(Iter. 3 | Time: 61.848) BestSol = Solution: cost=[12623.0], size=[244]
(Iter. 4 | Time: 76.827) BestSol = Solution: cost=[12697.0], size=[244]
(Iter. 5 | Time: 91.846) BestSol = Solution: cost=[12762.0], size=[244]
(Iter. 6 | Time: 106.772) BestSol = Solution: cost=[12804.0], size=[243]
(Iter. 7 | Time: 122.507) BestSol = Solution: cost=[12833.0], size=[243]
(Iter. 8 | Time: 137.836) BestSol = Solution: cost=[12860.0], size=[243]
(Iter. 9 | Time: 153.091) BestSol = Solution: cost=[12890.0], size=[243]
(Iter. 10 | Time: 168.49) BestSol = Solution: cost=[12914.0], size=[243]
(Iter. 11 | Time: 183.724) BestSol = Solution: cost=[12939.0], size=[243]
(Iter. 12 | Time: 199.358) BestSol = Solution: cost=[12960.0], size=[243]
(Iter. 13 | Time: 214.636) BestSol = Solution: cost=[12993.0], size=[243]
(Iter. 14 | Time: 229.872) BestSol = Solution: cost=[13029.0], size=[243]
(Iter. 15 | Time: 244.894) BestSol = Solution: cost=[13065.0], size=[243]
(Iter. 16 | Time: 260.017) BestSol = Solution: cost=[13103.0], size=[243]
(Iter. 17 | Time: 275.302) BestSol = Solution: cost=[13138.0], size=[243]
(Iter. 18 | Time: 290.803) BestSol = Solution: cost=[13182.0], size=[243]
(Iter. 19 | Time: 306.172) BestSol = Solution: cost=[13223.0], size=[243]
(Iter. 20 | Time: 321.509) BestSol = Solution: cost=[13269.0], size=[243]
(Iter. 21 | Time: 336.809) BestSol = Solution: cost=[13310.0], size=[243]
(Iter. 22 | Time: 351.941) BestSol = Solution: cost=[13337.0], size=[243]
(Iter. 23 | Time: 367.269) BestSol = Solution: cost=[13367.0], size=[243]
(Iter. 24 | Time: 382.392) BestSol = Solution: cost=[13395.0], size=[243]
(Iter. 25 | Time: 397.9) BestSol = Solution: cost=[13409.0], size=[243]
(Iter. 26 | Time: 412.821) BestSol = Solution: cost=[13428.0], size=[243]
(Iter. 27 | Time: 427.813) BestSol = Solution: cost=[13445.0], size=[243]
(Iter. 28 | Time: 443.059) BestSol = Solution: cost=[13474.0], size=[243]
(Iter. 29 | Time: 458.305) BestSol = Solution: cost=[13479.0], size=[242]
(Iter. 30 | Time: 473.693) BestSol = Solution: cost=[13484.0], size=[242]
(Iter. 31 | Time: 488.897) BestSol = Solution: cost=[13493.0], size=[243]
(Iter. 32 | Time: 504.231) BestSol = Solution: cost=[13498.0], size=[244]
(Iter. 34 | Time: 534.864) BestSol = Solution: cost=[13505.0], size=[245]
(Iter. 35 | Time: 550.276) BestSol = Solution: cost=[13507.0], size=[246]
(Iter. 36 | Time: 565.477) BestSol = Solution: cost=[13509.0], size=[247]
(Iter. 37 | Time: 580.434) BestSol = Solution: cost=[13510.0], size=[247]
(Iter. 38 | Time: 595.316) BestSol = Solution: cost=[13519.0], size=[247]
(Iter. 39 | Time: 610.925) BestSol = Solution: cost=[13533.0], size=[247]
>>> Tempo limite atingido (600s)
Best solution = Solution: cost=[13533.0], size=[247]
Time = 620.18 seg
