(Iter. 0 | Time: 0.988) BestSol = Solution: cost=[4511.0], size=[119]
(Iter. 1 | Time: 2.094) BestSol = Solution: cost=[4523.0], size=[119]
(Iter. 2 | Time: 3.006) BestSol = Solution: cost=[4536.0], size=[119]
(Iter. 3 | Time: 4.106) BestSol = Solution: cost=[4543.0], size=[119]
(Iter. 4 | Time: 5.115) BestSol = Solution: cost=[4549.0], size=[120]
(Iter. 5 | Time: 5.757) BestSol = Solution: cost=[4554.0], size=[121]
(Iter. 6 | Time: 6.529) BestSol = Solution: cost=[4567.0], size=[122]
(Iter. 7 | Time: 7.256) BestSol = Solution: cost=[4584.0], size=[123]
(Iter. 8 | Time: 7.952) BestSol = Solution: cost=[4594.0], size=[123]
(Iter. 9 | Time: 8.655) BestSol = Solution: cost=[4603.0], size=[124]
(Iter. 10 | Time: 9.472) BestSol = Solution: cost=[4617.0], size=[124]
(Iter. 11 | Time: 10.064) BestSol = Solution: cost=[4627.0], size=[124]
(Iter. 12 | Time: 10.693) BestSol = Solution: cost=[4635.0], size=[124]
(Iter. 13 | Time: 11.237) BestSol = Solution: cost=[4650.0], size=[125]
(Iter. 15 | Time: 12.308) BestSol = Solution: cost=[4652.0], size=[124]
(Iter. 16 | Time: 12.839) BestSol = Solution: cost=[4662.0], size=[124]
(Iter. 23 | Time: 17.067) BestSol = Solution: cost=[4667.0], size=[120]
(Iter. 24 | Time: 17.604) BestSol = Solution: cost=[4673.0], size=[120]
(Iter. 25 | Time: 18.15) BestSol = Solution: cost=[4675.0], size=[120]
(Iter. 26 | Time: 18.72) BestSol = Solution: cost=[4707.0], size=[120]
(Iter. 27 | Time: 19.266) BestSol = Solution: cost=[4724.0], size=[120]
(Iter. 28 | Time: 19.839) BestSol = Solution: cost=[4729.0], size=[120]
(Iter. 29 | Time: 20.437) BestSol = Solution: cost=[4736.0], size=[120]
(Iter. 30 | Time: 20.996) BestSol = Solution: cost=[4751.0], size=[120]
(Iter. 31 | Time: 21.522) BestSol = Solution: cost=[4764.0], size=[120]
(Iter. 32 | Time: 22.12) BestSol = Solution: cost=[4782.0], size=[120]
Best solution = Solution: cost=[4782.0], size=[120]
Time = 559.333 seg
