(Iter. 0 | Time: 0.947) BestSol = Solution: cost=[4511.0], size=[119]
(Iter. 1 | Time: 1.856) BestSol = Solution: cost=[4523.0], size=[119]
(Iter. 2 | Time: 2.626) BestSol = Solution: cost=[4536.0], size=[119]
(Iter. 3 | Time: 3.331) BestSol = Solution: cost=[4543.0], size=[119]
(Iter. 4 | Time: 4.002) BestSol = Solution: cost=[4549.0], size=[120]
(Iter. 5 | Time: 4.663) BestSol = Solution: cost=[4554.0], size=[121]
(Iter. 6 | Time: 5.294) BestSol = Solution: cost=[4567.0], size=[122]
(Iter. 7 | Time: 5.984) BestSol = Solution: cost=[4584.0], size=[123]
(Iter. 8 | Time: 6.656) BestSol = Solution: cost=[4594.0], size=[123]
(Iter. 9 | Time: 7.333) BestSol = Solution: cost=[4603.0], size=[124]
(Iter. 10 | Time: 8.12) BestSol = Solution: cost=[4617.0], size=[124]
(Iter. 11 | Time: 8.969) BestSol = Solution: cost=[4627.0], size=[124]
(Iter. 12 | Time: 9.647) BestSol = Solution: cost=[4635.0], size=[124]
(Iter. 13 | Time: 10.291) BestSol = Solution: cost=[4650.0], size=[125]
(Iter. 15 | Time: 11.576) BestSol = Solution: cost=[4652.0], size=[124]
(Iter. 16 | Time: 12.162) BestSol = Solution: cost=[4662.0], size=[124]
(Iter. 23 | Time: 16.451) BestSol = Solution: cost=[4667.0], size=[120]
(Iter. 24 | Time: 17.048) BestSol = Solution: cost=[4673.0], size=[120]
(Iter. 25 | Time: 17.666) BestSol = Solution: cost=[4675.0], size=[120]
(Iter. 26 | Time: 18.291) BestSol = Solution: cost=[4707.0], size=[120]
(Iter. 27 | Time: 18.857) BestSol = Solution: cost=[4724.0], size=[120]
(Iter. 28 | Time: 19.441) BestSol = Solution: cost=[4729.0], size=[120]
(Iter. 29 | Time: 20.014) BestSol = Solution: cost=[4736.0], size=[120]
(Iter. 30 | Time: 20.6) BestSol = Solution: cost=[4751.0], size=[120]
(Iter. 31 | Time: 21.198) BestSol = Solution: cost=[4764.0], size=[120]
(Iter. 32 | Time: 21.784) BestSol = Solution: cost=[4782.0], size=[120]
>>> Tempo limite atingido (600s)
Best solution = Solution: cost=[4782.0], size=[120]
Time = 602.173 seg
