(Iter. 0 | Time: 15.85) BestSol = Solution: cost=[12316.0], size=[244]
(Iter. 1 | Time: 31.429) BestSol = Solution: cost=[12424.0], size=[244]
(Iter. 2 | Time: 46.847) BestSol = Solution: cost=[12535.0], size=[244]
(Iter. 3 | Time: 62.065) BestSol = Solution: cost=[12623.0], size=[244]
(Iter. 4 | Time: 77.671) BestSol = Solution: cost=[12697.0], size=[244]
(Iter. 5 | Time: 93.104) BestSol = Solution: cost=[12762.0], size=[244]
(Iter. 6 | Time: 108.488) BestSol = Solution: cost=[12804.0], size=[243]
(Iter. 7 | Time: 123.998) BestSol = Solution: cost=[12833.0], size=[243]
(Iter. 8 | Time: 138.941) BestSol = Solution: cost=[12860.0], size=[243]
(Iter. 9 | Time: 154.049) BestSol = Solution: cost=[12890.0], size=[243]
(Iter. 10 | Time: 169.527) BestSol = Solution: cost=[12914.0], size=[243]
(Iter. 11 | Time: 184.794) BestSol = Solution: cost=[12939.0], size=[243]
(Iter. 12 | Time: 199.951) BestSol = Solution: cost=[12960.0], size=[243]
(Iter. 13 | Time: 215.27) BestSol = Solution: cost=[12993.0], size=[243]
(Iter. 14 | Time: 230.356) BestSol = Solution: cost=[13029.0], size=[243]
(Iter. 15 | Time: 245.433) BestSol = Solution: cost=[13065.0], size=[243]
(Iter. 16 | Time: 260.594) BestSol = Solution: cost=[13103.0], size=[243]
(Iter. 17 | Time: 275.72) BestSol = Solution: cost=[13138.0], size=[243]
(Iter. 18 | Time: 290.823) BestSol = Solution: cost=[13182.0], size=[243]
(Iter. 19 | Time: 305.931) BestSol = Solution: cost=[13223.0], size=[243]
(Iter. 20 | Time: 321.076) BestSol = Solution: cost=[13269.0], size=[243]
(Iter. 21 | Time: 336.241) BestSol = Solution: cost=[13310.0], size=[243]
(Iter. 22 | Time: 351.235) BestSol = Solution: cost=[13337.0], size=[243]
(Iter. 23 | Time: 366.172) BestSol = Solution: cost=[13367.0], size=[243]
(Iter. 24 | Time: 381.19) BestSol = Solution: cost=[13395.0], size=[243]
(Iter. 25 | Time: 396.396) BestSol = Solution: cost=[13409.0], size=[243]
(Iter. 26 | Time: 411.742) BestSol = Solution: cost=[13428.0], size=[243]
(Iter. 27 | Time: 426.835) BestSol = Solution: cost=[13445.0], size=[243]
(Iter. 28 | Time: 442.215) BestSol = Solution: cost=[13474.0], size=[243]
(Iter. 29 | Time: 457.665) BestSol = Solution: cost=[13479.0], size=[242]
(Iter. 30 | Time: 473.079) BestSol = Solution: cost=[13484.0], size=[242]
(Iter. 31 | Time: 488.12) BestSol = Solution: cost=[13493.0], size=[243]
(Iter. 32 | Time: 503.141) BestSol = Solution: cost=[13498.0], size=[244]
(Iter. 34 | Time: 533.358) BestSol = Solution: cost=[13505.0], size=[245]
(Iter. 35 | Time: 549.081) BestSol = Solution: cost=[13507.0], size=[246]
(Iter. 36 | Time: 564.785) BestSol = Solution: cost=[13509.0], size=[247]
(Iter. 37 | Time: 580.105) BestSol = Solution: cost=[13510.0], size=[247]
(Iter. 38 | Time: 594.911) BestSol = Solution: cost=[13519.0], size=[247]
(Iter. 39 | Time: 610.396) BestSol = Solution: cost=[13533.0], size=[247]
>>> Tempo limite atingido (600s)
Best solution = Solution: cost=[13533.0], size=[247]
Time = 618.734 seg
