Instance,Configuration,Value,Time_Seconds,Feasible
instance-14.txt,STANDARD+BEST,1085.00,620,Yes
instance-11.txt,STANDARD+BEST,4019.00,602,Yes
instance-14.txt,STANDARD+BEST,1807.00,611,Yes
instance-13.txt,STANDARD+BEST,241.00,620,Yes
instance-11.txt,STANDARD+BEST,4050.00,606,Yes
instance-14.txt,STANDARD+BEST,1230.00,611,Yes
instance-13.txt,STANDARD+BEST,241.00,620,Yes
instance-11.txt,STANDARD+BEST,4358.00,607,Yes
instance-14.txt,STANDARD+BEST,1667.00,613,Yes
instance-13.txt,STANDARD+BEST,241.00,620,Yes
instance-11.txt,STANDARD+BEST,4019.00,604,Yes
instance-14.txt,STANDARD+BEST,1230.00,607,Yes
instance-13.txt,STANDARD+BEST,241.00,620,Yes
instance-11.txt,STANDARD+BEST,4334.00,602,Yes
instance-13.txt,STANDARD+BEST,284.00,613,Yes
instance-14.txt,STANDARD+BEST,1085.00,621,Yes
instance-11.txt,STANDARD+BEST,4358.00,604,Yes
instance-13.txt,STANDARD+BEST,284.00,611,Yes
instance-14.txt,STANDARD+BEST,1085.00,620,Yes
instance-11.txt,STANDARD+BEST,4019.00,605,Yes
instance-13.txt,STANDARD+BEST,241.00,618,Yes
instance-14.txt,STANDARD+BEST,1085.00,620,Yes
instance-11.txt,STANDARD+BEST,4050.00,605,Yes
instance-14.txt,STANDARD+BEST,1539.00,613,Yes
instance-13.txt,STANDARD+BEST,335.00,622,Yes
instance-11.txt,STANDARD+BEST,4019.00,600,Yes
instance-14.txt,STANDARD+BEST,1085.00,621,Yes
instance-13.txt,STANDARD+BEST,380.00,622,Yes
instance-11.txt,STANDARD+BEST,4308.00,600,Yes
instance-14.txt,STANDARD+BEST,1085.00,620,Yes
instance-13.txt,STANDARD+BEST,335.00,622,Yes
instance-11.txt,STANDARD+BEST,4308.00,607,Yes
instance-14.txt,STANDARD+BEST,1085.00,620,Yes
instance-13.txt,STANDARD+BEST,380.00,623,Yes
instance-11.txt,STANDARD+BEST,4104.00,607,Yes
instance-14.txt,STANDARD+BEST,1387.00,609,Yes
instance-13.txt,STANDARD+BEST,335.00,624,Yes
instance-11.txt,STANDARD+BEST,4358.00,605,Yes
instance-14.txt,STANDARD+BEST,1307.00,619,Yes
instance-13.txt,STANDARD+BEST,335.00,624,Yes
