(Iter. 0 | Time: 15.72) BestSol = Solution: cost=[12316.0], size=[244]
(Iter. 1 | Time: 31.507) BestSol = Solution: cost=[12424.0], size=[244]
(Iter. 2 | Time: 46.761) BestSol = Solution: cost=[12535.0], size=[244]
(Iter. 3 | Time: 61.956) BestSol = Solution: cost=[12623.0], size=[244]
(Iter. 4 | Time: 76.826) BestSol = Solution: cost=[12697.0], size=[244]
(Iter. 5 | Time: 91.835) BestSol = Solution: cost=[12762.0], size=[244]
(Iter. 6 | Time: 106.81) BestSol = Solution: cost=[12804.0], size=[243]
(Iter. 7 | Time: 122.165) BestSol = Solution: cost=[12833.0], size=[243]
(Iter. 8 | Time: 137.302) BestSol = Solution: cost=[12860.0], size=[243]
(Iter. 9 | Time: 152.519) BestSol = Solution: cost=[12890.0], size=[243]
(Iter. 10 | Time: 167.537) BestSol = Solution: cost=[12914.0], size=[243]
(Iter. 11 | Time: 182.816) BestSol = Solution: cost=[12939.0], size=[243]
(Iter. 12 | Time: 197.839) BestSol = Solution: cost=[12960.0], size=[243]
(Iter. 13 | Time: 212.993) BestSol = Solution: cost=[12993.0], size=[243]
(Iter. 14 | Time: 228.112) BestSol = Solution: cost=[13029.0], size=[243]
(Iter. 15 | Time: 243.136) BestSol = Solution: cost=[13065.0], size=[243]
(Iter. 16 | Time: 258.192) BestSol = Solution: cost=[13103.0], size=[243]
(Iter. 17 | Time: 273.057) BestSol = Solution: cost=[13138.0], size=[243]
(Iter. 18 | Time: 288.035) BestSol = Solution: cost=[13182.0], size=[243]
(Iter. 19 | Time: 303.25) BestSol = Solution: cost=[13223.0], size=[243]
(Iter. 20 | Time: 318.308) BestSol = Solution: cost=[13269.0], size=[243]
(Iter. 21 | Time: 333.379) BestSol = Solution: cost=[13310.0], size=[243]
(Iter. 22 | Time: 348.524) BestSol = Solution: cost=[13337.0], size=[243]
(Iter. 23 | Time: 363.339) BestSol = Solution: cost=[13367.0], size=[243]
(Iter. 24 | Time: 378.183) BestSol = Solution: cost=[13395.0], size=[243]
(Iter. 25 | Time: 393.148) BestSol = Solution: cost=[13409.0], size=[243]
(Iter. 26 | Time: 408.217) BestSol = Solution: cost=[13428.0], size=[243]
(Iter. 27 | Time: 423.186) BestSol = Solution: cost=[13445.0], size=[243]
(Iter. 28 | Time: 438.065) BestSol = Solution: cost=[13474.0], size=[243]
(Iter. 29 | Time: 453.095) BestSol = Solution: cost=[13479.0], size=[242]
(Iter. 30 | Time: 468.146) BestSol = Solution: cost=[13484.0], size=[242]
(Iter. 31 | Time: 483.232) BestSol = Solution: cost=[13493.0], size=[243]
(Iter. 32 | Time: 498.132) BestSol = Solution: cost=[13498.0], size=[244]
(Iter. 34 | Time: 528.092) BestSol = Solution: cost=[13505.0], size=[245]
(Iter. 35 | Time: 543.347) BestSol = Solution: cost=[13507.0], size=[246]
(Iter. 36 | Time: 558.684) BestSol = Solution: cost=[13509.0], size=[247]
(Iter. 37 | Time: 574.382) BestSol = Solution: cost=[13510.0], size=[247]
(Iter. 38 | Time: 589.451) BestSol = Solution: cost=[13519.0], size=[247]
(Iter. 39 | Time: 604.496) BestSol = Solution: cost=[13533.0], size=[247]
>>> Tempo limite atingido (600s)
Best solution = Solution: cost=[13533.0], size=[247]
Time = 611.964 seg
