(Iter. 0 | Time: 15.394) BestSol = Solution: cost=[12316.0], size=[244]
(Iter. 1 | Time: 30.715) BestSol = Solution: cost=[12424.0], size=[244]
(Iter. 2 | Time: 46.934) BestSol = Solution: cost=[12535.0], size=[244]
(Iter. 3 | Time: 62.586) BestSol = Solution: cost=[12623.0], size=[244]
(Iter. 4 | Time: 77.929) BestSol = Solution: cost=[12697.0], size=[244]
(Iter. 5 | Time: 93.287) BestSol = Solution: cost=[12762.0], size=[244]
(Iter. 6 | Time: 108.757) BestSol = Solution: cost=[12804.0], size=[243]
(Iter. 7 | Time: 124.567) BestSol = Solution: cost=[12833.0], size=[243]
(Iter. 8 | Time: 139.72) BestSol = Solution: cost=[12860.0], size=[243]
(Iter. 9 | Time: 154.949) BestSol = Solution: cost=[12890.0], size=[243]
(Iter. 10 | Time: 170.458) BestSol = Solution: cost=[12914.0], size=[243]
(Iter. 11 | Time: 185.8) BestSol = Solution: cost=[12939.0], size=[243]
(Iter. 12 | Time: 200.998) BestSol = Solution: cost=[12960.0], size=[243]
(Iter. 13 | Time: 216.102) BestSol = Solution: cost=[12993.0], size=[243]
(Iter. 14 | Time: 231.265) BestSol = Solution: cost=[13029.0], size=[243]
(Iter. 15 | Time: 246.316) BestSol = Solution: cost=[13065.0], size=[243]
(Iter. 16 | Time: 261.597) BestSol = Solution: cost=[13103.0], size=[243]
(Iter. 17 | Time: 276.904) BestSol = Solution: cost=[13138.0], size=[243]
(Iter. 18 | Time: 292.244) BestSol = Solution: cost=[13182.0], size=[243]
(Iter. 19 | Time: 307.502) BestSol = Solution: cost=[13223.0], size=[243]
(Iter. 20 | Time: 322.889) BestSol = Solution: cost=[13269.0], size=[243]
(Iter. 21 | Time: 338.151) BestSol = Solution: cost=[13310.0], size=[243]
(Iter. 22 | Time: 353.275) BestSol = Solution: cost=[13337.0], size=[243]
(Iter. 23 | Time: 368.287) BestSol = Solution: cost=[13367.0], size=[243]
(Iter. 24 | Time: 383.263) BestSol = Solution: cost=[13395.0], size=[243]
(Iter. 25 | Time: 398.88) BestSol = Solution: cost=[13409.0], size=[243]
(Iter. 26 | Time: 414.515) BestSol = Solution: cost=[13428.0], size=[243]
(Iter. 27 | Time: 430.139) BestSol = Solution: cost=[13445.0], size=[243]
(Iter. 28 | Time: 445.747) BestSol = Solution: cost=[13474.0], size=[243]
(Iter. 29 | Time: 461.379) BestSol = Solution: cost=[13479.0], size=[242]
(Iter. 30 | Time: 476.921) BestSol = Solution: cost=[13484.0], size=[242]
(Iter. 31 | Time: 492.596) BestSol = Solution: cost=[13493.0], size=[243]
(Iter. 32 | Time: 508.295) BestSol = Solution: cost=[13498.0], size=[244]
(Iter. 34 | Time: 539.258) BestSol = Solution: cost=[13505.0], size=[245]
(Iter. 35 | Time: 554.685) BestSol = Solution: cost=[13507.0], size=[246]
(Iter. 36 | Time: 569.798) BestSol = Solution: cost=[13509.0], size=[247]
(Iter. 37 | Time: 585.388) BestSol = Solution: cost=[13510.0], size=[247]
(Iter. 38 | Time: 601.166) BestSol = Solution: cost=[13519.0], size=[247]
>>> Tempo limite atingido (600s)
Best solution = Solution: cost=[13519.0], size=[247]
Time = 606.712 seg
