(Iter. 0 | Time: 0.916) BestSol = Solution: cost=[4511.0], size=[119]
(Iter. 1 | Time: 1.883) BestSol = Solution: cost=[4523.0], size=[119]
(Iter. 2 | Time: 2.698) BestSol = Solution: cost=[4536.0], size=[119]
(Iter. 3 | Time: 3.423) BestSol = Solution: cost=[4543.0], size=[119]
(Iter. 4 | Time: 4.139) BestSol = Solution: cost=[4549.0], size=[120]
(Iter. 5 | Time: 4.91) BestSol = Solution: cost=[4554.0], size=[121]
(Iter. 6 | Time: 5.756) BestSol = Solution: cost=[4567.0], size=[122]
(Iter. 7 | Time: 6.434) BestSol = Solution: cost=[4584.0], size=[123]
(Iter. 8 | Time: 7.081) BestSol = Solution: cost=[4594.0], size=[123]
(Iter. 9 | Time: 7.765) BestSol = Solution: cost=[4603.0], size=[124]
(Iter. 10 | Time: 8.328) BestSol = Solution: cost=[4617.0], size=[124]
(Iter. 11 | Time: 8.938) BestSol = Solution: cost=[4627.0], size=[124]
(Iter. 12 | Time: 9.554) BestSol = Solution: cost=[4635.0], size=[124]
(Iter. 13 | Time: 10.052) BestSol = Solution: cost=[4650.0], size=[125]
(Iter. 15 | Time: 11.186) BestSol = Solution: cost=[4652.0], size=[124]
(Iter. 16 | Time: 11.719) BestSol = Solution: cost=[4662.0], size=[124]
(Iter. 23 | Time: 15.372) BestSol = Solution: cost=[4667.0], size=[120]
(Iter. 24 | Time: 15.877) BestSol = Solution: cost=[4673.0], size=[120]
(Iter. 25 | Time: 16.382) BestSol = Solution: cost=[4675.0], size=[120]
(Iter. 26 | Time: 16.92) BestSol = Solution: cost=[4707.0], size=[120]
(Iter. 27 | Time: 17.411) BestSol = Solution: cost=[4724.0], size=[120]
(Iter. 28 | Time: 17.933) BestSol = Solution: cost=[4729.0], size=[120]
(Iter. 29 | Time: 18.493) BestSol = Solution: cost=[4736.0], size=[120]
(Iter. 30 | Time: 19.051) BestSol = Solution: cost=[4751.0], size=[120]
(Iter. 31 | Time: 19.61) BestSol = Solution: cost=[4764.0], size=[120]
(Iter. 32 | Time: 20.189) BestSol = Solution: cost=[4782.0], size=[120]
Best solution = Solution: cost=[4782.0], size=[120]
Time = 562.352 seg
