(Iter. 0 | Time: 16.362) BestSol = Solution: cost=[12316.0], size=[244]
(Iter. 1 | Time: 32.167) BestSol = Solution: cost=[12424.0], size=[244]
(Iter. 2 | Time: 48.664) BestSol = Solution: cost=[12535.0], size=[244]
(Iter. 3 | Time: 66.806) BestSol = Solution: cost=[12623.0], size=[244]
(Iter. 4 | Time: 82.741) BestSol = Solution: cost=[12697.0], size=[244]
(Iter. 5 | Time: 98.257) BestSol = Solution: cost=[12762.0], size=[244]
(Iter. 6 | Time: 113.798) BestSol = Solution: cost=[12804.0], size=[243]
(Iter. 7 | Time: 129.151) BestSol = Solution: cost=[12833.0], size=[243]
(Iter. 8 | Time: 144.369) BestSol = Solution: cost=[12860.0], size=[243]
(Iter. 9 | Time: 159.298) BestSol = Solution: cost=[12890.0], size=[243]
(Iter. 10 | Time: 174.202) BestSol = Solution: cost=[12914.0], size=[243]
(Iter. 11 | Time: 189.29) BestSol = Solution: cost=[12939.0], size=[243]
(Iter. 12 | Time: 204.371) BestSol = Solution: cost=[12960.0], size=[243]
(Iter. 13 | Time: 219.519) BestSol = Solution: cost=[12993.0], size=[243]
(Iter. 14 | Time: 234.549) BestSol = Solution: cost=[13029.0], size=[243]
(Iter. 15 | Time: 249.607) BestSol = Solution: cost=[13065.0], size=[243]
(Iter. 16 | Time: 264.699) BestSol = Solution: cost=[13103.0], size=[243]
(Iter. 17 | Time: 279.583) BestSol = Solution: cost=[13138.0], size=[243]
(Iter. 18 | Time: 294.771) BestSol = Solution: cost=[13182.0], size=[243]
(Iter. 19 | Time: 309.922) BestSol = Solution: cost=[13223.0], size=[243]
(Iter. 20 | Time: 325.393) BestSol = Solution: cost=[13269.0], size=[243]
(Iter. 21 | Time: 341.094) BestSol = Solution: cost=[13310.0], size=[243]
(Iter. 22 | Time: 356.583) BestSol = Solution: cost=[13337.0], size=[243]
(Iter. 23 | Time: 371.588) BestSol = Solution: cost=[13367.0], size=[243]
(Iter. 24 | Time: 386.853) BestSol = Solution: cost=[13395.0], size=[243]
(Iter. 25 | Time: 402.055) BestSol = Solution: cost=[13409.0], size=[243]
(Iter. 26 | Time: 417.414) BestSol = Solution: cost=[13428.0], size=[243]
(Iter. 27 | Time: 432.461) BestSol = Solution: cost=[13445.0], size=[243]
(Iter. 28 | Time: 447.21) BestSol = Solution: cost=[13474.0], size=[243]
(Iter. 29 | Time: 462.112) BestSol = Solution: cost=[13479.0], size=[242]
(Iter. 30 | Time: 477.215) BestSol = Solution: cost=[13484.0], size=[242]
(Iter. 31 | Time: 492.295) BestSol = Solution: cost=[13493.0], size=[243]
(Iter. 32 | Time: 507.194) BestSol = Solution: cost=[13498.0], size=[244]
(Iter. 34 | Time: 537.256) BestSol = Solution: cost=[13505.0], size=[245]
(Iter. 35 | Time: 552.576) BestSol = Solution: cost=[13507.0], size=[246]
(Iter. 36 | Time: 567.677) BestSol = Solution: cost=[13509.0], size=[247]
(Iter. 37 | Time: 582.778) BestSol = Solution: cost=[13510.0], size=[247]
(Iter. 38 | Time: 598.216) BestSol = Solution: cost=[13519.0], size=[247]
(Iter. 39 | Time: 614.097) BestSol = Solution: cost=[13533.0], size=[247]
>>> Tempo limite atingido (600s)
Best solution = Solution: cost=[13533.0], size=[247]
Time = 623.342 seg
